Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.081,0.091,0.113,0.285
2,0.074,0.091,0.105,0.270
3,0.089,0.090,0.104,0.283
4,0.071,0.090,0.104,0.265
5,0.070,0.090,0.104,0.264
6,0.071,0.090,0.104,0.265
7,0.071,0.090,0.104,0.265
8,0.071,0.089,0.103,0.263
9,0.071,0.091,0.104,0.266
10,0.071,0.090,0.103,0.264
11,0.070,0.090,0.104,0.264
12,0.071,0.090,0.104,0.265
13,0.071,0.090,0.104,0.265
14,0.071,0.090,0.104,0.265
15,0.071,0.090,0.104,0.265
16,0.071,0.090,0.104,0.265
17,0.071,0.090,0.104,0.265
18,0.077,0.090,0.104,0.271
19,0.071,0.090,0.104,0.265
20,0.071,0.089,0.103,0.263
21,0.071,0.090,0.104,0.265
22,0.072,0.090,0.104,0.266
23,0.071,0.089,0.103,0.263
24,0.070,0.089,0.104,0.263
25,0.071,0.090,0.104,0.265
26,0.071,0.090,0.104,0.265
27,0.071,0.089,0.104,0.264
28,0.071,0.090,0.104,0.265
29,0.071,0.089,0.104,0.264
30,0.071,0.090,0.104,0.265
31,0.072,0.090,0.104,0.266
32,0.071,0.090,0.104,0.265
33,0.075,0.089,0.104,0.268
34,0.071,0.090,0.104,0.265
35,0.071,0.091,0.104,0.266
36,0.071,0.090,0.104,0.265
37,0.071,0.091,0.104,0.266
38,0.073,0.091,0.104,0.268
39,0.071,0.090,0.103,0.264
40,0.071,0.090,0.108,0.269
41,0.074,0.091,0.107,0.272
42,0.072,0.091,0.107,0.270
43,0.072,0.090,0.104,0.266
44,0.071,0.090,0.104,0.265
45,0.071,0.090,0.103,0.264
46,0.071,0.090,0.104,0.265
47,0.071,0.090,0.119,0.280
48,0.072,0.090,0.104,0.266
49,0.072,0.091,0.107,0.270
50,0.073,0.090,0.105,0.268
51,0.072,0.090,0.104,0.266
52,0.071,0.090,0.104,0.265
53,0.071,0.090,0.103,0.264
54,0.071,0.090,0.103,0.264
55,0.071,0.094,0.104,0.269
56,0.071,0.090,0.104,0.265
57,0.072,0.091,0.104,0.267
58,0.071,0.090,0.104,0.265
59,0.072,0.090,0.104,0.266
60,0.072,0.090,0.104,0.266
61,0.072,0.091,0.104,0.267
62,0.071,0.090,0.115,0.276
63,0.073,0.090,0.107,0.270
64,0.071,0.097,0.103,0.271
65,0.071,0.091,0.103,0.265
66,0.071,0.090,0.105,0.266
67,0.071,0.089,0.103,0.263
68,0.071,0.090,0.104,0.265
69,0.072,0.091,0.104,0.267
70,0.071,0.090,0.106,0.267
71,0.072,0.090,0.104,0.266
72,0.071,0.090,0.104,0.265
73,0.071,0.090,0.104,0.265
74,0.071,0.090,0.104,0.265
75,0.071,0.089,0.103,0.263
76,0.071,0.090,0.104,0.265
77,0.090,0.091,0.104,0.285
78,0.071,0.090,0.104,0.265
79,0.072,0.090,0.103,0.265
80,0.072,0.090,0.104,0.266
81,0.071,0.090,0.103,0.264
82,0.070,0.089,0.104,0.263
83,0.071,0.090,0.105,0.266
84,0.085,0.090,0.104,0.279
85,0.071,0.090,0.104,0.265
86,0.072,0.091,0.104,0.267
87,0.072,0.090,0.103,0.265
88,0.071,0.090,0.104,0.265
89,0.072,0.090,0.104,0.266
90,0.071,0.090,0.104,0.265
91,0.071,0.090,0.107,0.268
92,0.074,0.092,0.106,0.272
93,0.072,0.092,0.104,0.268
94,0.071,0.091,0.106,0.268
95,0.071,0.092,0.105,0.268
96,0.073,0.091,0.104,0.268
97,0.072,0.089,0.105,0.266
98,0.072,0.090,0.104,0.266
99,0.072,0.090,0.104,0.266
100,0.071,0.090,0.104,0.265
101,0.071,0.090,0.104,0.265
102,0.071,0.090,0.104,0.265
103,0.071,0.090,0.103,0.264
104,0.073,0.091,0.105,0.269
105,0.072,0.090,0.104,0.266
106,0.071,0.090,0.134,0.295
107,0.075,0.093,0.104,0.272
108,0.071,0.090,0.104,0.265
109,0.071,0.090,0.104,0.265
110,0.071,0.090,0.104,0.265
111,0.071,0.090,0.103,0.264
112,0.070,0.089,0.103,0.262
113,0.073,0.090,0.104,0.267
114,0.071,0.089,0.114,0.274
115,0.071,0.089,0.104,0.264
116,0.071,0.090,0.104,0.265
117,0.072,0.090,0.104,0.266
118,0.071,0.089,0.103,0.263
119,0.071,0.090,0.104,0.265
120,0.071,0.090,0.104,0.265
121,0.071,0.094,0.104,0.269
122,0.070,0.090,0.103,0.263
123,0.071,0.090,0.104,0.265
124,0.070,0.089,0.103,0.262
125,0.071,0.090,0.104,0.265
126,0.071,0.090,0.104,0.265
127,0.071,0.090,0.104,0.265
128,0.071,0.089,0.104,0.264
129,0.071,0.091,0.104,0.266
130,0.070,0.089,0.103,0.262
131,0.071,0.090,0.104,0.265
132,0.072,0.091,0.104,0.267
133,0.072,0.090,0.104,0.266
