Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.052,0.058,0.070,0.180
2,0.044,0.059,0.070,0.173
3,0.043,0.057,0.068,0.168
4,0.042,0.057,0.068,0.167
5,0.043,0.057,0.068,0.168
6,0.042,0.057,0.093,0.192
7,0.043,0.057,0.068,0.168
8,0.042,0.056,0.067,0.165
9,0.041,0.056,0.068,0.165
10,0.042,0.056,0.067,0.165
11,0.042,0.057,0.068,0.167
12,0.042,0.057,0.067,0.166
13,0.041,0.056,0.068,0.165
14,0.042,0.056,0.067,0.165
15,0.041,0.057,0.068,0.166
16,0.042,0.057,0.067,0.166
17,0.042,0.056,0.068,0.166
18,0.042,0.057,0.068,0.167
19,0.042,0.057,0.068,0.167
20,0.042,0.057,0.067,0.166
21,0.042,0.057,0.068,0.167
22,0.043,0.058,0.068,0.169
23,0.042,0.057,0.068,0.167
24,0.042,0.056,0.068,0.166
25,0.042,0.057,0.068,0.167
26,0.042,0.056,0.068,0.166
27,0.042,0.057,0.068,0.167
28,0.042,0.056,0.067,0.165
29,0.042,0.057,0.068,0.167
30,0.042,0.063,0.068,0.173
31,0.043,0.057,0.068,0.168
32,0.042,0.056,0.068,0.166
33,0.042,0.057,0.068,0.167
34,0.042,0.057,0.067,0.166
35,0.042,0.056,0.067,0.165
36,0.042,0.057,0.068,0.167
37,0.042,0.056,0.067,0.165
38,0.042,0.057,0.068,0.167
39,0.042,0.057,0.068,0.167
40,0.042,0.056,0.067,0.165
41,0.041,0.056,0.068,0.165
42,0.042,0.057,0.068,0.167
43,0.042,0.057,0.067,0.166
44,0.042,0.057,0.068,0.167
45,0.042,0.057,0.068,0.167
46,0.042,0.057,0.068,0.167
47,0.042,0.057,0.068,0.167
48,0.042,0.057,0.068,0.167
49,0.043,0.058,0.068,0.169
50,0.042,0.057,0.068,0.167
51,0.042,0.057,0.068,0.167
52,0.042,0.057,0.068,0.167
53,0.043,0.057,0.068,0.168
54,0.048,0.057,0.068,0.173
55,0.041,0.056,0.067,0.164
56,0.042,0.057,0.068,0.167
57,0.042,0.057,0.068,0.167
58,0.042,0.058,0.068,0.168
59,0.043,0.057,0.068,0.168
60,0.042,0.056,0.067,0.165
61,0.042,0.057,0.068,0.167
62,0.042,0.057,0.068,0.167
63,0.042,0.056,0.068,0.166
64,0.042,0.057,0.068,0.167
65,0.041,0.057,0.068,0.166
66,0.042,0.059,0.070,0.171
67,0.044,0.058,0.068,0.170
68,0.043,0.057,0.070,0.170
69,0.044,0.057,0.069,0.170
70,0.042,0.057,0.067,0.166
71,0.042,0.057,0.068,0.167
72,0.042,0.057,0.068,0.167
73,0.042,0.057,0.068,0.167
74,0.042,0.056,0.067,0.165
75,0.042,0.057,0.068,0.167
76,0.042,0.057,0.067,0.166
77,0.042,0.057,0.085,0.184
78,0.043,0.057,0.069,0.169
79,0.042,0.057,0.068,0.167
80,0.043,0.057,0.068,0.168
81,0.043,0.058,0.068,0.169
82,0.042,0.056,0.068,0.166
83,0.042,0.057,0.067,0.166
84,0.042,0.057,0.068,0.167
85,0.042,0.057,0.068,0.167
86,0.042,0.057,0.068,0.167
87,0.042,0.057,0.068,0.167
88,0.042,0.057,0.067,0.166
89,0.041,0.056,0.067,0.164
90,0.042,0.056,0.068,0.166
91,0.042,0.057,0.068,0.167
92,0.042,0.057,0.068,0.167
93,0.042,0.057,0.068,0.167
94,0.042,0.056,0.067,0.165
95,0.042,0.057,0.068,0.167
96,0.042,0.057,0.068,0.167
97,0.042,0.057,0.068,0.167
98,0.042,0.057,0.068,0.167
99,0.042,0.057,0.068,0.167
100,0.041,0.056,0.067,0.164
101,0.060,0.058,0.068,0.186
102,0.042,0.057,0.071,0.170
103,0.043,0.060,0.069,0.172
104,0.043,0.057,0.067,0.167
105,0.042,0.057,0.068,0.167
106,0.042,0.057,0.068,0.167
107,0.043,0.058,0.068,0.169
108,0.042,0.057,0.068,0.167
109,0.042,0.057,0.068,0.167
110,0.042,0.057,0.067,0.166
111,0.042,0.057,0.068,0.167
112,0.042,0.057,0.068,0.167
113,0.042,0.058,0.068,0.168
114,0.041,0.056,0.067,0.164
115,0.042,0.057,0.068,0.167
116,0.042,0.057,0.068,0.167
117,0.042,0.057,0.068,0.167
118,0.042,0.057,0.068,0.167
119,0.042,0.057,0.068,0.167
120,0.042,0.057,0.068,0.167
121,0.042,0.056,0.067,0.165
122,0.042,0.057,0.068,0.167
123,0.042,0.057,0.068,0.167
124,0.043,0.062,0.069,0.174
125,0.042,0.056,0.068,0.166
126,0.042,0.057,0.068,0.167
127,0.042,0.057,0.068,0.167
128,0.042,0.057,0.068,0.167
129,0.042,0.057,0.068,0.167
130,0.042,0.057,0.068,0.167
131,0.042,0.056,0.068,0.166
132,0.042,0.057,0.068,0.167
133,0.043,0.058,0.069,0.170
134,0.042,0.057,0.068,0.167
135,0.042,0.056,0.068,0.166
136,0.042,0.057,0.068,0.167
137,0.042,0.057,0.068,0.167
138,0.043,0.057,0.068,0.168
139,0.042,0.057,0.068,0.167
140,0.042,0.056,0.068,0.166
141,0.042,0.057,0.067,0.166
142,0.042,0.057,0.068,0.167
143,0.042,0.057,0.067,0.166
144,0.042,0.057,0.068,0.167
145,0.042,0.057,0.068,0.167
146,0.042,0.057,0.068,0.167
147,0.043,0.057,0.068,0.168
148,0.049,0.058,0.070,0.177
149,0.043,0.062,0.068,0.173
150,0.043,0.058,0.069,0.170
151,0.042,0.058,0.069,0.169
152,0.042,0.057,0.067,0.166
153,0.043,0.056,0.071,0.170
154,0.043,0.057,0.068,0.168
155,0.043,0.058,0.068,0.169
156,0.042,0.057,0.068,0.167
157,0.042,0.057,0.068,0.167
158,0.042,0.056,0.068,0.166
159,0.042,0.057,0.067,0.166
160,0.042,0.057,0.068,0.167
161,0.042,0.056,0.068,0.166
162,0.042,0.057,0.068,0.167
163,0.042,0.057,0.069,0.168
164,0.042,0.057,0.069,0.168
165,0.043,0.058,0.069,0.170
166,0.042,0.057,0.068,0.167
167,0.042,0.070,0.074,0.186
168,0.043,0.057,0.068,0.168
169,0.042,0.056,0.068,0.166
170,0.042,0.057,0.081,0.180
171,0.043,0.057,0.068,0.168
172,0.042,0.057,0.067,0.166
173,0.042,0.057,0.068,0.167
174,0.042,0.057,0.068,0.167
175,0.042,0.057,0.068,0.167
176,0.042,0.057,0.068,0.167
177,0.042,0.057,0.067,0.166
178,0.042,0.057,0.068,0.167
179,0.041,0.056,0.068,0.165
180,0.042,0.057,0.068,0.167
181,0.042,0.057,0.067,0.166
182,0.042,0.056,0.068,0.166
183,0.042,0.057,0.067,0.166
184,0.042,0.057,0.068,0.167
185,0.042,0.056,0.067,0.165
186,0.041,0.056,0.067,0.164
187,0.042,0.057,0.068,0.167
188,0.042,0.057,0.068,0.167
189,0.042,0.057,0.068,0.167
190,0.042,0.056,0.068,0.166
191,0.042,0.057,0.068,0.167
192,0.042,0.056,0.068,0.166
