Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.038,0.030,0.026,0.094
2,0.023,0.028,0.027,0.078
3,0.022,0.028,0.026,0.076
4,0.021,0.028,0.026,0.075
5,0.021,0.028,0.026,0.075
6,0.021,0.027,0.025,0.073
7,0.021,0.027,0.026,0.074
8,0.020,0.027,0.025,0.072
9,0.020,0.027,0.025,0.072
10,0.021,0.027,0.025,0.073
11,0.021,0.027,0.026,0.074
12,0.021,0.027,0.025,0.073
13,0.020,0.027,0.025,0.072
14,0.020,0.027,0.025,0.072
15,0.020,0.026,0.025,0.071
16,0.021,0.027,0.025,0.073
17,0.021,0.027,0.025,0.073
18,0.021,0.027,0.025,0.073
19,0.022,0.028,0.027,0.077
20,0.021,0.032,0.027,0.080
21,0.021,0.027,0.025,0.073
22,0.021,0.027,0.025,0.073
23,0.020,0.027,0.025,0.072
24,0.020,0.028,0.025,0.073
25,0.021,0.027,0.025,0.073
26,0.021,0.027,0.026,0.074
27,0.021,0.027,0.026,0.074
28,0.020,0.027,0.025,0.072
29,0.020,0.027,0.025,0.072
30,0.021,0.027,0.025,0.073
31,0.021,0.027,0.025,0.073
32,0.021,0.027,0.026,0.074
33,0.020,0.027,0.025,0.072
34,0.020,0.027,0.025,0.072
35,0.020,0.027,0.025,0.072
36,0.020,0.026,0.025,0.071
37,0.021,0.027,0.025,0.073
38,0.021,0.027,0.025,0.073
39,0.020,0.027,0.025,0.072
40,0.020,0.026,0.025,0.071
41,0.021,0.027,0.026,0.074
42,0.021,0.027,0.026,0.074
43,0.020,0.027,0.025,0.072
44,0.020,0.027,0.025,0.072
45,0.020,0.027,0.025,0.072
46,0.021,0.027,0.025,0.073
47,0.021,0.027,0.026,0.074
48,0.020,0.027,0.025,0.072
49,0.020,0.026,0.025,0.071
50,0.021,0.027,0.025,0.073
51,0.021,0.027,0.026,0.074
52,0.021,0.027,0.025,0.073
53,0.020,0.027,0.025,0.072
54,0.021,0.027,0.025,0.073
55,0.021,0.027,0.026,0.074
56,0.020,0.027,0.025,0.072
57,0.020,0.027,0.025,0.072
58,0.021,0.027,0.025,0.073
59,0.021,0.027,0.025,0.073
60,0.021,0.027,0.026,0.074
61,0.020,0.027,0.025,0.072
62,0.020,0.027,0.025,0.072
63,0.021,0.027,0.025,0.073
64,0.021,0.027,0.025,0.073
65,0.020,0.027,0.025,0.072
66,0.020,0.026,0.025,0.071
67,0.021,0.027,0.026,0.074
68,0.021,0.027,0.025,0.073
69,0.020,0.026,0.025,0.071
70,0.021,0.027,0.025,0.073
71,0.021,0.027,0.026,0.074
72,0.021,0.027,0.025,0.073
73,0.020,0.027,0.033,0.080
74,0.021,0.027,0.025,0.073
75,0.021,0.027,0.025,0.073
76,0.021,0.027,0.025,0.073
77,0.020,0.027,0.025,0.072
