Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
175,0.032,0.042,0.040,0.114
176,0.036,0.043,0.040,0.119
177,0.033,0.042,0.040,0.115
178,0.033,0.043,0.040,0.116
179,0.033,0.043,0.040,0.116
180,0.033,0.043,0.040,0.116
181,0.033,0.042,0.040,0.115
182,0.033,0.042,0.040,0.115
183,0.033,0.042,0.040,0.115
184,0.032,0.042,0.040,0.114
185,0.032,0.042,0.040,0.114
186,0.033,0.042,0.040,0.115
187,0.033,0.043,0.040,0.116
188,0.034,0.044,0.041,0.119
189,0.033,0.043,0.041,0.117
190,0.033,0.043,0.040,0.116
191,0.033,0.043,0.040,0.116
192,0.033,0.042,0.040,0.115
193,0.033,0.043,0.040,0.116
194,0.033,0.043,0.040,0.116
195,0.033,0.043,0.040,0.116
196,0.033,0.042,0.040,0.115
197,0.033,0.042,0.040,0.115
198,0.033,0.042,0.040,0.115
199,0.033,0.043,0.040,0.116
200,0.034,0.043,0.041,0.118
201,0.033,0.042,0.040,0.115
202,0.033,0.042,0.040,0.115
203,0.033,0.042,0.040,0.115
204,0.034,0.044,0.041,0.119
205,0.033,0.043,0.040,0.116
206,0.033,0.043,0.040,0.116
207,0.033,0.043,0.040,0.116
208,0.033,0.043,0.040,0.116
209,0.034,0.043,0.041,0.118
210,0.036,0.042,0.040,0.118
211,0.033,0.042,0.040,0.115
212,0.033,0.043,0.042,0.118
213,0.036,0.044,0.042,0.122
214,0.033,0.045,0.041,0.119
215,0.034,0.044,0.042,0.120
216,0.035,0.044,0.040,0.119
217,0.033,0.043,0.040,0.116
218,0.033,0.043,0.041,0.117
219,0.034,0.042,0.040,0.116
220,0.034,0.043,0.041,0.118
221,0.034,0.042,0.041,0.117
222,0.034,0.043,0.042,0.119
223,0.038,0.048,0.045,0.131
224,0.034,0.044,0.041,0.119
225,0.033,0.043,0.040,0.116
226,0.033,0.042,0.040,0.115
227,0.032,0.042,0.040,0.114
228,0.033,0.043,0.040,0.116
229,0.033,0.043,0.040,0.116
230,0.033,0.042,0.040,0.115
231,0.033,0.042,0.040,0.115
232,0.033,0.042,0.040,0.115
233,0.033,0.042,0.040,0.115
234,0.033,0.043,0.040,0.116
235,0.033,0.043,0.040,0.116
236,0.033,0.043,0.041,0.117
237,0.033,0.042,0.040,0.115
238,0.032,0.043,0.040,0.115
239,0.033,0.042,0.040,0.115
240,0.033,0.043,0.040,0.116
241,0.033,0.043,0.040,0.116
242,0.033,0.043,0.040,0.116
243,0.033,0.043,0.063,0.139
244,0.034,0.042,0.040,0.116
245,0.033,0.043,0.040,0.116
246,0.032,0.042,0.040,0.114
247,0.032,0.042,0.040,0.114
248,0.033,0.042,0.040,0.115
249,0.033,0.042,0.040,0.115
250,0.033,0.043,0.040,0.116
251,0.032,0.042,0.040,0.114
252,0.032,0.042,0.040,0.114
253,0.034,0.043,0.041,0.118
254,0.033,0.043,0.040,0.116
255,0.032,0.042,0.040,0.114
256,0.032,0.042,0.040,0.114
257,0.032,0.042,0.040,0.114
258,0.032,0.042,0.040,0.114
259,0.033,0.042,0.040,0.115
260,0.033,0.042,0.040,0.115
261,0.033,0.042,0.040,0.115
262,0.033,0.043,0.040,0.116
263,0.033,0.043,0.040,0.116
264,0.033,0.043,0.040,0.116
265,0.033,0.043,0.040,0.116
266,0.033,0.043,0.040,0.116
267,0.033,0.043,0.040,0.116
268,0.034,0.043,0.041,0.118
269,0.033,0.042,0.040,0.115
270,0.033,0.043,0.040,0.116
271,0.033,0.043,0.040,0.116
272,0.033,0.043,0.040,0.116
273,0.033,0.043,0.040,0.116
274,0.033,0.042,0.040,0.115
275,0.033,0.042,0.040,0.115
276,0.033,0.042,0.040,0.115
277,0.033,0.045,0.040,0.118
278,0.033,0.042,0.040,0.115
279,0.033,0.043,0.040,0.116
280,0.033,0.043,0.040,0.116
281,0.033,0.042,0.040,0.115
282,0.033,0.043,0.040,0.116
283,0.033,0.043,0.040,0.116
284,0.033,0.043,0.040,0.116
285,0.033,0.043,0.040,0.116
286,0.033,0.043,0.040,0.116
287,0.033,0.043,0.040,0.116
288,0.033,0.043,0.040,0.116
289,0.033,0.043,0.040,0.116
290,0.032,0.042,0.040,0.114
291,0.032,0.042,0.040,0.114
292,0.032,0.042,0.040,0.114
293,0.033,0.043,0.040,0.116
294,0.038,0.043,0.041,0.122
295,0.033,0.042,0.040,0.115
296,0.033,0.043,0.040,0.116
297,0.033,0.042,0.040,0.115
298,0.034,0.043,0.041,0.118
299,0.033,0.043,0.040,0.116
300,0.033,0.042,0.040,0.115
301,0.033,0.043,0.040,0.116
302,0.033,0.043,0.040,0.116
303,0.033,0.043,0.040,0.116
304,0.033,0.042,0.040,0.115
305,0.032,0.042,0.039,0.113
306,0.033,0.042,0.040,0.115
307,0.033,0.042,0.040,0.115
308,0.032,0.042,0.040,0.114
309,0.032,0.042,0.040,0.114
310,0.033,0.043,0.040,0.116
311,0.032,0.046,0.040,0.118
312,0.032,0.042,0.040,0.114
313,0.032,0.043,0.040,0.115
314,0.032,0.043,0.040,0.115
315,0.033,0.043,0.040,0.116
316,0.033,0.043,0.040,0.116
317,0.033,0.043,0.040,0.116
318,0.033,0.043,0.040,0.116
319,0.033,0.043,0.040,0.116
320,0.033,0.043,0.040,0.116
321,0.033,0.042,0.040,0.115
322,0.033,0.043,0.040,0.116
323,0.033,0.043,0.040,0.116
324,0.033,0.042,0.040,0.115
325,0.033,0.042,0.040,0.115
326,0.033,0.042,0.040,0.115
327,0.033,0.042,0.040,0.115
328,0.033,0.042,0.040,0.115
329,0.033,0.043,0.040,0.116
330,0.032,0.042,0.040,0.114
331,0.032,0.042,0.040,0.114
332,0.033,0.043,0.040,0.116
333,0.032,0.042,0.039,0.113
334,0.032,0.042,0.039,0.113
335,0.032,0.042,0.040,0.114
336,0.033,0.042,0.040,0.115
337,0.034,0.043,0.041,0.118
338,0.033,0.043,0.040,0.116
339,0.033,0.043,0.040,0.116
340,0.033,0.043,0.040,0.116
341,0.033,0.043,0.040,0.116
342,0.033,0.043,0.040,0.116
343,0.033,0.043,0.040,0.116
344,0.033,0.043,0.040,0.116
345,0.033,0.045,0.040,0.118
346,0.033,0.042,0.040,0.115
347,0.033,0.042,0.040,0.115
348,0.033,0.042,0.040,0.115
349,0.033,0.042,0.040,0.115
350,0.033,0.043,0.040,0.116
351,0.033,0.043,0.040,0.116
352,0.033,0.043,0.040,0.116
353,0.032,0.042,0.040,0.114
354,0.032,0.042,0.040,0.114
355,0.033,0.043,0.040,0.116
356,0.033,0.043,0.040,0.116
357,0.033,0.043,0.040,0.116
358,0.032,0.043,0.040,0.115
359,0.033,0.043,0.040,0.116
360,0.033,0.043,0.040,0.116
361,0.032,0.042,0.040,0.114
362,0.032,0.042,0.040,0.114
363,0.032,0.042,0.040,0.114
364,0.033,0.042,0.040,0.115
365,0.033,0.042,0.040,0.115
366,0.033,0.042,0.040,0.115
367,0.033,0.042,0.040,0.115
368,0.033,0.043,0.040,0.116
369,0.033,0.043,0.040,0.116
370,0.033,0.043,0.040,0.116
371,0.033,0.043,0.040,0.116
372,0.033,0.043,0.040,0.116
373,0.033,0.043,0.040,0.116
374,0.033,0.043,0.040,0.116
375,0.033,0.043,0.040,0.116
376,0.033,0.043,0.040,0.116
377,0.033,0.043,0.040,0.116
378,0.032,0.042,0.040,0.114
379,0.032,0.043,0.042,0.117
380,0.032,0.042,0.040,0.114
381,0.032,0.042,0.040,0.114
382,0.032,0.042,0.040,0.114
383,0.033,0.042,0.040,0.115
384,0.032,0.042,0.040,0.114
385,0.032,0.042,0.040,0.114
386,0.033,0.042,0.040,0.115
387,0.034,0.043,0.041,0.118
388,0.033,0.042,0.039,0.114
389,0.033,0.042,0.040,0.115
390,0.032,0.042,0.040,0.114
391,0.032,0.042,0.040,0.114
392,0.033,0.043,0.040,0.116
393,0.033,0.043,0.040,0.116
394,0.032,0.042,0.040,0.114
395,0.032,0.042,0.040,0.114
396,0.033,0.042,0.040,0.115
397,0.033,0.043,0.040,0.116
398,0.033,0.043,0.040,0.116
399,0.034,0.044,0.041,0.119
400,0.033,0.043,0.040,0.116
401,0.033,0.042,0.040,0.115
402,0.032,0.042,0.040,0.114
403,0.032,0.042,0.040,0.114
404,0.033,0.042,0.040,0.115
405,0.032,0.042,0.040,0.114
406,0.032,0.042,0.040,0.114
407,0.032,0.042,0.040,0.114
408,0.033,0.042,0.039,0.114
409,0.033,0.042,0.040,0.115
410,0.033,0.043,0.040,0.116
411,0.033,0.043,0.040,0.116
412,0.033,0.043,0.040,0.116
413,0.033,0.043,0.046,0.122
414,0.032,0.042,0.040,0.114
415,0.033,0.042,0.040,0.115
416,0.033,0.042,0.039,0.114
417,0.032,0.042,0.040,0.114
418,0.033,0.042,0.040,0.115
419,0.033,0.042,0.039,0.114
420,0.033,0.042,0.040,0.115
421,0.034,0.043,0.041,0.118
422,0.033,0.042,0.040,0.115
423,0.033,0.042,0.040,0.115
424,0.033,0.042,0.040,0.115
425,0.033,0.043,0.040,0.116
426,0.032,0.042,0.040,0.114
427,0.032,0.042,0.040,0.114
428,0.032,0.043,0.040,0.115
429,0.032,0.042,0.040,0.114
430,0.032,0.042,0.040,0.114
431,0.034,0.043,0.041,0.118
432,0.033,0.042,0.040,0.115
433,0.033,0.042,0.040,0.115
434,0.033,0.043,0.040,0.116
435,0.034,0.044,0.041,0.119
436,0.033,0.043,0.040,0.116
437,0.033,0.042,0.040,0.115
438,0.033,0.042,0.040,0.115
439,0.033,0.042,0.039,0.114
440,0.032,0.042,0.040,0.114
441,0.033,0.042,0.040,0.115
442,0.033,0.043,0.040,0.116
443,0.033,0.042,0.040,0.115
444,0.033,0.042,0.039,0.114
445,0.032,0.042,0.040,0.114
446,0.032,0.042,0.039,0.113
447,0.032,0.042,0.043,0.117
448,0.033,0.042,0.040,0.115
449,0.033,0.042,0.040,0.115
450,0.033,0.043,0.040,0.116
451,0.033,0.043,0.040,0.116
452,0.033,0.043,0.040,0.116
453,0.033,0.043,0.040,0.116
454,0.032,0.042,0.040,0.114
455,0.032,0.042,0.040,0.114
456,0.032,0.042,0.040,0.114
457,0.032,0.042,0.040,0.114
458,0.033,0.043,0.040,0.116
459,0.034,0.044,0.041,0.119
460,0.034,0.044,0.041,0.119
461,0.033,0.043,0.040,0.116
