Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
1,0.100,0.125,0.101,0.326
2,0.087,0.103,0.097,0.287
3,0.083,0.103,0.098,0.284
4,0.080,0.101,0.097,0.278
5,0.081,0.101,0.097,0.279
6,0.081,0.101,0.096,0.278
7,0.083,0.103,0.098,0.284
8,0.082,0.102,0.098,0.282
9,0.081,0.100,0.096,0.277
10,0.081,0.100,0.096,0.277
11,0.081,0.100,0.096,0.277
12,0.081,0.101,0.097,0.279
13,0.081,0.101,0.097,0.279
14,0.081,0.101,0.097,0.279
15,0.081,0.110,0.096,0.287
16,0.083,0.102,0.098,0.283
17,0.081,0.100,0.096,0.277
18,0.080,0.100,0.096,0.276
19,0.081,0.101,0.097,0.279
20,0.081,0.101,0.096,0.278
21,0.080,0.100,0.096,0.276
22,0.081,0.100,0.096,0.277
23,0.081,0.100,0.096,0.277
24,0.082,0.101,0.096,0.279
25,0.081,0.101,0.097,0.279
26,0.081,0.101,0.096,0.278
27,0.081,0.100,0.096,0.277
28,0.081,0.101,0.097,0.279
29,0.081,0.109,0.096,0.286
30,0.081,0.101,0.097,0.279
31,0.081,0.101,0.097,0.279
32,0.081,0.100,0.096,0.277
33,0.080,0.100,0.101,0.281
34,0.095,0.103,0.098,0.296
35,0.083,0.102,0.098,0.283
36,0.081,0.101,0.096,0.278
37,0.081,0.101,0.096,0.278
38,0.081,0.110,0.101,0.292
39,0.082,0.101,0.096,0.279
40,0.082,0.101,0.097,0.280
41,0.081,0.101,0.097,0.279
42,0.082,0.101,0.098,0.281
43,0.081,0.101,0.096,0.278
44,0.080,0.100,0.096,0.276
45,0.081,0.101,0.096,0.278
46,0.081,0.100,0.092,0.273
47,0.076,0.107,0.093,0.276
48,0.076,0.094,0.090,0.260
49,0.076,0.095,0.091,0.262
50,0.075,0.094,0.090,0.259
51,0.078,0.096,0.092,0.266
52,0.076,0.095,0.091,0.262
53,0.075,0.094,0.090,0.259
54,0.076,0.094,0.090,0.260
55,0.076,0.094,0.090,0.260
56,0.078,0.096,0.092,0.266
57,0.076,0.094,0.090,0.260
58,0.076,0.094,0.090,0.260
59,0.076,0.094,0.090,0.260
60,0.076,0.095,0.090,0.261
61,0.075,0.094,0.090,0.259
62,0.076,0.099,0.091,0.266
63,0.076,0.095,0.091,0.262
64,0.076,0.094,0.090,0.260
65,0.076,0.094,0.090,0.260
66,0.076,0.094,0.090,0.260
67,0.076,0.094,0.091,0.261
68,0.076,0.095,0.091,0.262
69,0.076,0.095,0.090,0.261
70,0.076,0.094,0.091,0.261
71,0.076,0.095,0.091,0.262
72,0.076,0.095,0.091,0.262
73,0.075,0.094,0.090,0.259
74,0.076,0.094,0.090,0.260
75,0.076,0.094,0.090,0.260
76,0.076,0.094,0.090,0.260
77,0.076,0.095,0.095,0.266
78,0.078,0.096,0.091,0.265
79,0.077,0.095,0.092,0.264
80,0.076,0.094,0.090,0.260
81,0.076,0.094,0.090,0.260
82,0.076,0.095,0.091,0.262
83,0.078,0.095,0.093,0.266
84,0.078,0.095,0.091,0.264
85,0.077,0.097,0.091,0.265
86,0.079,0.095,0.091,0.265
87,0.077,0.095,0.095,0.267
88,0.078,0.096,0.091,0.265
89,0.076,0.094,0.090,0.260
90,0.075,0.094,0.090,0.259
91,0.076,0.094,0.090,0.260
92,0.076,0.094,0.109,0.279
93,0.076,0.095,0.091,0.262
94,0.076,0.094,0.090,0.260
95,0.075,0.094,0.091,0.260
96,0.076,0.094,0.090,0.260
97,0.077,0.095,0.092,0.264
98,0.076,0.095,0.091,0.262
99,0.076,0.094,0.090,0.260
100,0.076,0.094,0.090,0.260
101,0.076,0.095,0.091,0.262
102,0.076,0.094,0.090,0.260
103,0.076,0.094,0.090,0.260
104,0.076,0.094,0.090,0.260
105,0.078,0.096,0.091,0.265
106,0.075,0.094,0.090,0.259
107,0.078,0.096,0.098,0.272
108,0.078,0.096,0.092,0.266
109,0.076,0.094,0.090,0.260
110,0.078,0.096,0.091,0.265
111,0.076,0.094,0.091,0.261
112,0.076,0.095,0.091,0.262
113,0.077,0.095,0.092,0.264
114,0.076,0.095,0.091,0.262
115,0.076,0.095,0.090,0.261
116,0.076,0.094,0.090,0.260
117,0.076,0.094,0.090,0.260
118,0.078,0.096,0.091,0.265
119,0.075,0.094,0.090,0.259
120,0.076,0.095,0.090,0.261
121,0.076,0.094,0.090,0.260
122,0.076,0.095,0.094,0.265
123,0.077,0.095,0.091,0.263
124,0.075,0.094,0.090,0.259
125,0.076,0.095,0.091,0.262
126,0.075,0.094,0.090,0.259
127,0.076,0.095,0.091,0.262
128,0.075,0.094,0.090,0.259
129,0.076,0.095,0.090,0.261
130,0.076,0.094,0.090,0.260
131,0.076,0.094,0.090,0.260
132,0.076,0.094,0.090,0.260
133,0.076,0.094,0.090,0.260
134,0.076,0.095,0.090,0.261
135,0.076,0.094,0.091,0.261
136,0.077,0.095,0.092,0.264
137,0.076,0.094,0.095,0.265
138,0.077,0.095,0.090,0.262
139,0.076,0.094,0.090,0.260
140,0.076,0.095,0.090,0.261
141,0.076,0.094,0.090,0.260
142,0.076,0.095,0.091,0.262
143,0.076,0.095,0.091,0.262
144,0.076,0.094,0.090,0.260
145,0.076,0.094,0.090,0.260
146,0.076,0.095,0.091,0.262
147,0.076,0.094,0.090,0.260
148,0.086,0.095,0.091,0.272
149,0.076,0.095,0.091,0.262
150,0.076,0.094,0.091,0.261
151,0.076,0.095,0.091,0.262
152,0.076,0.102,0.090,0.268
153,0.076,0.095,0.091,0.262
154,0.077,0.096,0.092,0.265
155,0.076,0.094,0.090,0.260
156,0.076,0.094,0.090,0.260
157,0.076,0.094,0.090,0.260
158,0.076,0.094,0.090,0.260
159,0.076,0.094,0.090,0.260
160,0.077,0.096,0.092,0.265
161,0.076,0.094,0.091,0.261
162,0.075,0.094,0.090,0.259
163,0.076,0.094,0.091,0.261
164,0.077,0.096,0.092,0.265
165,0.078,0.096,0.092,0.266
166,0.076,0.094,0.090,0.260
167,0.076,0.098,0.091,0.265
168,0.076,0.094,0.091,0.261
169,0.076,0.095,0.091,0.262
170,0.075,0.094,0.090,0.259
171,0.076,0.094,0.091,0.261
172,0.076,0.094,0.090,0.260
173,0.076,0.094,0.090,0.260
174,0.076,0.094,0.091,0.261
175,0.075,0.094,0.090,0.259
176,0.078,0.096,0.091,0.265
177,0.075,0.094,0.090,0.259
178,0.076,0.095,0.091,0.262
179,0.076,0.095,0.090,0.261
180,0.076,0.094,0.091,0.261
181,0.076,0.095,0.090,0.261
182,0.075,0.098,0.091,0.264
183,0.076,0.094,0.090,0.260
184,0.076,0.094,0.091,0.261
185,0.077,0.096,0.092,0.265
186,0.078,0.096,0.092,0.266
187,0.076,0.094,0.090,0.260
188,0.075,0.094,0.091,0.260
189,0.076,0.095,0.090,0.261
190,0.076,0.095,0.091,0.262
191,0.075,0.094,0.090,0.259
192,0.076,0.095,0.091,0.262
193,0.077,0.096,0.092,0.265
194,0.076,0.094,0.091,0.261
195,0.076,0.094,0.090,0.260
196,0.076,0.094,0.090,0.260
197,0.076,0.098,0.091,0.265
198,0.077,0.096,0.092,0.265
199,0.076,0.095,0.091,0.262
200,0.076,0.095,0.091,0.262
201,0.076,0.094,0.090,0.260
202,0.076,0.094,0.090,0.260
203,0.076,0.095,0.091,0.262
204,0.076,0.095,0.091,0.262
205,0.076,0.094,0.090,0.260
206,0.079,0.097,0.093,0.269
207,0.076,0.094,0.090,0.260
208,0.076,0.094,0.091,0.261
209,0.077,0.096,0.093,0.266
210,0.075,0.094,0.090,0.259
211,0.077,0.095,0.091,0.263
212,0.075,0.094,0.094,0.263
213,0.076,0.095,0.091,0.262
214,0.077,0.096,0.092,0.265
215,0.076,0.094,0.090,0.260
216,0.075,0.094,0.095,0.264
217,0.077,0.095,0.091,0.263
218,0.076,0.095,0.091,0.262
219,0.076,0.094,0.090,0.260
220,0.076,0.094,0.090,0.260
221,0.076,0.095,0.091,0.262
222,0.075,0.094,0.090,0.259
223,0.076,0.094,0.090,0.260
224,0.076,0.094,0.090,0.260
225,0.076,0.095,0.091,0.262
226,0.077,0.095,0.100,0.272
227,0.075,0.094,0.090,0.259
228,0.076,0.094,0.091,0.261
229,0.077,0.095,0.092,0.264
230,0.076,0.094,0.090,0.260
231,0.076,0.094,0.091,0.261
232,0.076,0.094,0.091,0.261
233,0.075,0.094,0.090,0.259
234,0.076,0.094,0.090,0.260
235,0.076,0.094,0.091,0.261
236,0.075,0.094,0.090,0.259
237,0.076,0.094,0.090,0.260
238,0.076,0.094,0.090,0.260
239,0.076,0.095,0.091,0.262
240,0.075,0.094,0.090,0.259
241,0.075,0.094,0.094,0.263
242,0.076,0.094,0.090,0.260
243,0.076,0.095,0.091,0.262
244,0.076,0.095,0.091,0.262
245,0.076,0.095,0.091,0.262
246,0.076,0.094,0.090,0.260
247,0.075,0.094,0.090,0.259
248,0.076,0.094,0.091,0.261
249,0.075,0.094,0.090,0.259
250,0.076,0.095,0.092,0.263
251,0.076,0.094,0.090,0.260
252,0.078,0.096,0.092,0.266
253,0.076,0.094,0.090,0.260
254,0.076,0.094,0.090,0.260
255,0.076,0.094,0.090,0.260
256,0.076,0.095,0.090,0.261
257,0.084,0.095,0.091,0.270
258,0.076,0.094,0.091,0.261
259,0.076,0.095,0.090,0.261
260,0.075,0.094,0.090,0.259
261,0.076,0.095,0.091,0.262
