Iteración,Tiempo Keygen (ms),Tiempo Encapsulación (ms),Tiempo Decapsulación (ms),Tiempo Total (ms)
175,0.110,0.145,0.154,0.409
176,0.112,0.136,0.152,0.400
177,0.109,0.135,0.151,0.395
178,0.110,0.135,0.152,0.397
179,0.110,0.136,0.152,0.398
180,0.110,0.135,0.152,0.397
181,0.110,0.134,0.151,0.395
182,0.111,0.138,0.153,0.402
183,0.110,0.134,0.151,0.395
184,0.110,0.135,0.151,0.396
185,0.109,0.144,0.151,0.404
186,0.111,0.135,0.151,0.397
187,0.111,0.135,0.152,0.398
188,0.110,0.137,0.152,0.399
189,0.110,0.136,0.151,0.397
190,0.111,0.136,0.159,0.406
191,0.116,0.137,0.152,0.405
192,0.109,0.135,0.152,0.396
193,0.111,0.135,0.151,0.397
194,0.110,0.135,0.151,0.396
195,0.110,0.152,0.152,0.414
196,0.111,0.135,0.152,0.398
197,0.110,0.134,0.150,0.394
198,0.110,0.135,0.151,0.396
199,0.109,0.135,0.151,0.395
200,0.112,0.135,0.152,0.399
201,0.112,0.137,0.151,0.400
202,0.110,0.135,0.152,0.397
203,0.110,0.135,0.152,0.397
204,0.110,0.135,0.151,0.396
205,0.121,0.137,0.151,0.409
206,0.109,0.135,0.152,0.396
207,0.110,0.135,0.153,0.398
208,0.110,0.135,0.151,0.396
209,0.110,0.135,0.151,0.396
210,0.110,0.135,0.151,0.396
211,0.110,0.135,0.151,0.396
212,0.110,0.135,0.151,0.396
213,0.111,0.136,0.152,0.399
214,0.110,0.135,0.151,0.396
215,0.116,0.136,0.153,0.405
216,0.111,0.136,0.152,0.399
217,0.110,0.135,0.151,0.396
218,0.110,0.136,0.152,0.398
219,0.111,0.136,0.152,0.399
220,0.111,0.135,0.151,0.397
221,0.109,0.134,0.150,0.393
222,0.110,0.135,0.152,0.397
223,0.110,0.135,0.151,0.396
224,0.109,0.135,0.152,0.396
225,0.112,0.135,0.150,0.397
226,0.110,0.136,0.151,0.397
227,0.111,0.136,0.152,0.399
228,0.109,0.135,0.151,0.395
229,0.110,0.137,0.152,0.399
230,0.115,0.138,0.152,0.405
231,0.110,0.135,0.152,0.397
232,0.110,0.136,0.151,0.397
233,0.109,0.134,0.151,0.394
234,0.110,0.136,0.151,0.397
235,0.117,0.137,0.152,0.406
236,0.111,0.136,0.152,0.399
237,0.112,0.137,0.153,0.402
238,0.110,0.135,0.151,0.396
239,0.110,0.135,0.152,0.397
240,0.110,0.135,0.152,0.397
241,0.110,0.135,0.152,0.397
242,0.110,0.135,0.152,0.397
243,0.111,0.136,0.152,0.399
244,0.109,0.134,0.151,0.394
245,0.115,0.136,0.151,0.402
246,0.109,0.134,0.151,0.394
247,0.109,0.134,0.150,0.393
248,0.109,0.136,0.151,0.396
249,0.110,0.135,0.152,0.397
250,0.110,0.135,0.152,0.397
251,0.110,0.135,0.151,0.396
252,0.110,0.136,0.153,0.399
253,0.111,0.136,0.152,0.399
254,0.110,0.135,0.151,0.396
255,0.109,0.140,0.154,0.403
256,0.111,0.135,0.151,0.397
257,0.111,0.136,0.152,0.399
258,0.110,0.135,0.150,0.395
259,0.110,0.136,0.151,0.397
260,0.110,0.136,0.152,0.398
261,0.110,0.136,0.151,0.397
262,0.109,0.135,0.151,0.395
263,0.110,0.135,0.151,0.396
264,0.111,0.135,0.151,0.397
265,0.113,0.136,0.151,0.400
266,0.110,0.135,0.151,0.396
267,0.112,0.135,0.152,0.399
268,0.111,0.136,0.153,0.400
269,0.111,0.135,0.151,0.397
270,0.110,0.135,0.151,0.396
271,0.110,0.136,0.152,0.398
272,0.111,0.136,0.153,0.400
273,0.111,0.138,0.161,0.410
274,0.117,0.138,0.167,0.422
275,0.111,0.135,0.151,0.397
276,0.110,0.135,0.151,0.396
277,0.110,0.135,0.151,0.396
278,0.111,0.136,0.151,0.398
279,0.110,0.136,0.151,0.397
280,0.110,0.136,0.152,0.398
281,0.110,0.136,0.152,0.398
282,0.110,0.135,0.151,0.396
283,0.110,0.134,0.151,0.395
284,0.111,0.136,0.158,0.405
285,0.110,0.135,0.151,0.396
286,0.110,0.135,0.151,0.396
287,0.109,0.134,0.151,0.394
288,0.110,0.136,0.152,0.398
289,0.110,0.136,0.152,0.398
290,0.110,0.135,0.152,0.397
291,0.110,0.135,0.151,0.396
292,0.111,0.135,0.150,0.396
293,0.110,0.135,0.151,0.396
294,0.118,0.137,0.160,0.415
295,0.110,0.135,0.152,0.397
296,0.109,0.134,0.151,0.394
297,0.111,0.135,0.151,0.397
298,0.110,0.136,0.153,0.399
299,0.110,0.135,0.154,0.399
300,0.114,0.139,0.152,0.405
301,0.114,0.136,0.152,0.402
302,0.110,0.135,0.151,0.396
303,0.110,0.136,0.152,0.398
304,0.110,0.135,0.159,0.404
305,0.110,0.136,0.152,0.398
306,0.109,0.134,0.151,0.394
307,0.110,0.135,0.152,0.397
308,0.109,0.134,0.151,0.394
309,0.109,0.134,0.150,0.393
310,0.109,0.134,0.151,0.394
311,0.112,0.136,0.152,0.400
312,0.111,0.135,0.154,0.400
313,0.111,0.136,0.152,0.399
314,0.109,0.135,0.157,0.401
315,0.112,0.137,0.153,0.402
316,0.113,0.139,0.154,0.406
317,0.113,0.136,0.153,0.402
318,0.110,0.135,0.151,0.396
319,0.112,0.137,0.152,0.401
320,0.110,0.135,0.151,0.396
321,0.109,0.134,0.150,0.393
322,0.111,0.135,0.151,0.397
323,0.110,0.135,0.151,0.396
324,0.109,0.136,0.159,0.404
325,0.112,0.135,0.151,0.398
326,0.110,0.135,0.151,0.396
327,0.110,0.135,0.151,0.396
328,0.111,0.136,0.153,0.400
329,0.110,0.135,0.151,0.396
330,0.111,0.135,0.152,0.398
331,0.110,0.135,0.151,0.396
332,0.110,0.135,0.151,0.396
333,0.110,0.135,0.150,0.395
334,0.111,0.136,0.159,0.406
335,0.111,0.135,0.151,0.397
336,0.110,0.135,0.151,0.396
337,0.110,0.135,0.151,0.396
338,0.110,0.135,0.151,0.396
339,0.110,0.135,0.151,0.396
340,0.110,0.135,0.151,0.396
341,0.110,0.134,0.150,0.394
342,0.109,0.135,0.151,0.395
343,0.110,0.135,0.152,0.397
344,0.110,0.135,0.156,0.401
345,0.109,0.135,0.150,0.394
346,0.109,0.134,0.150,0.393
347,0.110,0.135,0.151,0.396
348,0.111,0.136,0.152,0.399
349,0.109,0.134,0.150,0.393
350,0.109,0.134,0.151,0.394
351,0.110,0.135,0.151,0.396
352,0.112,0.136,0.152,0.400
353,0.110,0.135,0.152,0.397
354,0.111,0.135,0.155,0.401
355,0.110,0.136,0.151,0.397
356,0.110,0.135,0.151,0.396
357,0.111,0.136,0.152,0.399
358,0.110,0.135,0.151,0.396
359,0.110,0.135,0.151,0.396
360,0.110,0.136,0.152,0.398
361,0.110,0.135,0.152,0.397
362,0.110,0.136,0.152,0.398
363,0.109,0.135,0.151,0.395
364,0.110,0.135,0.158,0.403
365,0.109,0.134,0.151,0.394
366,0.110,0.136,0.151,0.397
367,0.111,0.135,0.151,0.397
368,0.109,0.135,0.151,0.395
369,0.109,0.134,0.150,0.393
370,0.110,0.136,0.151,0.397
371,0.110,0.135,0.151,0.396
372,0.110,0.134,0.152,0.396
373,0.110,0.135,0.158,0.403
374,0.112,0.136,0.164,0.412
375,0.117,0.137,0.152,0.406
376,0.111,0.136,0.152,0.399
377,0.111,0.135,0.151,0.397
378,0.111,0.135,0.154,0.400
379,0.110,0.136,0.155,0.401
380,0.112,0.137,0.152,0.401
381,0.110,0.135,0.152,0.397
382,0.110,0.135,0.151,0.396
383,0.125,0.141,0.152,0.418
384,0.111,0.135,0.151,0.397
385,0.110,0.138,0.154,0.402
386,0.113,0.138,0.153,0.404
387,0.110,0.134,0.151,0.395
388,0.109,0.134,0.151,0.394
389,0.110,0.136,0.151,0.397
390,0.110,0.135,0.150,0.395
391,0.109,0.135,0.151,0.395
392,0.110,0.135,0.150,0.395
393,0.118,0.136,0.151,0.405
394,0.110,0.135,0.151,0.396
395,0.110,0.135,0.153,0.398
396,0.110,0.135,0.151,0.396
397,0.110,0.135,0.151,0.396
398,0.109,0.134,0.150,0.393
