Iteración,Tiempo Generación Claves (ms),Tiempo Firma (ms),Tiempo Verificación (ms),Tiempo Total (ms)
6,272.9960,2445.8940,2.1200,2721.0100
7,272.9710,2445.7430,2.0640,2720.7780
8,272.9230,2446.0400,2.0000,2720.9630
9,272.8470,2445.7470,1.9560,2720.5500
10,272.8580,2446.1250,2.0550,2721.0380
11,272.8520,2446.1290,1.9490,2720.9300
12,272.8390,2446.0530,2.0650,2720.9570
13,272.8980,2446.0930,2.0170,2721.0080
14,272.8260,2446.3190,1.9420,2721.0870
15,272.8400,2445.7630,2.1030,2720.7060
16,272.8430,2446.1040,1.9180,2720.8650
17,272.8480,2445.6350,2.0810,2720.5640
18,272.8330,2445.9260,2.0040,2720.7630
19,272.8230,2446.9350,2.0000,2721.7580
20,272.8580,2445.7230,2.0280,2720.6090
21,272.9450,2445.6220,2.0170,2720.5840
22,272.8300,2445.8390,2.0400,2720.7090
23,272.8400,2445.6310,2.0630,2720.5340
24,272.8220,2445.9040,2.0080,2720.7340
25,272.8410,2445.7970,2.0860,2720.7240
26,272.8630,2446.0770,2.0420,2720.9820
27,272.8370,2445.6730,2.0580,2720.5680
28,272.8690,2445.6290,1.9850,2720.4830
29,272.8450,2445.8990,2.0250,2720.7690
30,272.8250,2445.7940,1.9470,2720.5660
31,272.8260,2445.7000,2.0750,2720.6010
32,272.8300,2445.2680,2.0460,2720.1440
33,272.8400,2445.7030,2.0040,2720.5470
34,272.8260,2445.9210,2.0820,2720.8290
35,272.8660,2445.7380,2.0230,2720.6270
36,272.8420,2446.0440,1.9260,2720.8120
37,272.8250,2445.8130,1.9910,2720.6290
38,272.8280,2445.4890,2.0280,2720.3450
39,272.8260,2445.4850,2.0280,2720.3390
40,272.8320,2447.2520,2.0210,2722.1050
41,272.8200,2445.4940,1.9640,2720.2780
42,272.8460,2446.0960,1.9810,2720.9230
43,272.8280,2445.8800,1.9520,2720.6600
44,272.8500,2445.7660,2.0530,2720.6690
45,272.8510,2446.7240,1.9690,2721.5440
46,272.8410,2446.2390,2.0730,2721.1530
47,272.8210,2446.0520,2.0880,2720.9610
48,272.8510,2445.5350,1.9540,2720.3400
49,272.8520,2446.0020,2.0490,2720.9030
50,272.8760,2446.0850,2.1410,2721.1020
51,272.8360,2446.4290,2.0070,2721.2720
52,272.8200,2445.9750,1.9530,2720.7480
53,272.8190,2446.0820,2.0180,2720.9190
54,272.8360,2445.8510,2.0290,2720.7160
55,272.8280,2445.8160,2.0570,2720.7010
56,272.8230,2445.8360,2.0760,2720.7350
57,272.8740,2446.0180,2.0310,2720.9230
58,272.8180,2446.3630,2.0760,2721.2570
59,272.8550,2446.1810,2.0300,2721.0660
60,272.8300,2446.1360,2.0090,2720.9750
61,272.8530,2445.8360,2.0580,2720.7470
62,272.8290,2445.4410,2.0490,2720.3190
63,272.8310,2446.0300,2.1070,2720.9680
64,272.8770,2445.8350,2.0130,2720.7250
65,272.8440,2446.1790,2.0780,2721.1010
66,272.8380,2445.7580,1.9450,2720.5410
67,272.8350,2445.9880,2.0070,2720.8300
68,272.8290,2445.8540,2.1180,2720.8010
69,272.8260,2445.4720,2.0000,2720.2980
70,272.8350,2447.1990,2.0270,2722.0610
1,178.9900,2126.5270,2.9980,2308.5150
2,178.7340,2126.4780,2.9420,2308.1540
3,178.9030,2124.5360,2.7780,2306.2170
4,179.6090,2124.7140,3.0720,2307.3950
5,180.7800,2125.7800,2.8810,2309.4410
6,178.6250,2125.1600,2.8960,2306.6810
7,178.9930,2126.5600,2.9160,2308.4690
8,178.8250,2126.4330,2.9330,2308.1910
9,178.6320,2126.2190,2.9010,2307.7520
10,178.5860,2126.9050,2.9250,2308.4160
11,178.5950,2126.5420,2.9890,2308.1260
12,178.5340,2126.0550,2.8920,2307.4810
13,178.6230,2126.6770,2.8580,2308.1580
14,178.5610,2125.3210,2.9400,2306.8220
15,178.5300,2126.4830,2.8620,2307.8750
16,178.5820,2124.2370,2.9660,2305.7850
17,178.5740,2124.2130,2.9720,2305.7590
18,178.5700,2124.9790,2.9640,2306.5130
19,178.5470,2124.0190,2.8470,2305.4130
20,178.5450,2126.2480,2.8990,2307.6920
21,178.5750,2125.6230,2.8930,2307.0910
22,178.5880,2125.7130,2.9080,2307.2090
23,178.4990,2126.4820,2.9230,2307.9040
24,178.5740,2125.2490,2.8500,2306.6730
25,178.6070,2125.4510,2.9110,2306.9690
26,178.5140,2124.2000,3.0700,2305.7840
27,178.4790,2126.6550,2.9330,2308.0670
28,178.5800,2126.4170,2.9710,2307.9680
29,178.5010,2126.4340,3.0020,2307.9370
30,178.5680,2126.3120,2.9350,2307.8150
31,178.5730,2124.7480,2.9410,2306.2620
32,178.5270,2125.5750,3.0990,2307.2010
33,178.6500,2126.0570,2.8740,2307.5810
34,178.4850,2126.4530,2.8790,2307.8170
35,178.5070,2125.6810,2.9660,2307.1540
36,178.4860,2126.4530,2.9930,2307.9320
37,178.6570,2125.8440,2.8350,2307.3360
38,178.5370,2126.3000,3.1520,2307.9890
39,178.5320,2126.9710,2.9500,2308.4530
40,178.6280,2124.9820,2.9480,2306.5580
41,178.5140,2125.7920,2.8150,2307.1210
42,178.5080,2126.3580,2.9090,2307.7750
43,178.5430,2126.7460,3.0130,2308.3020
44,178.4900,2125.7160,2.9220,2307.1280
45,178.6250,2126.3380,2.9060,2307.8690
46,178.5590,2125.7960,2.7630,2307.1180
47,178.5730,2126.3180,3.0040,2307.8950
48,178.5600,2126.0510,3.0080,2307.6190
49,178.5640,2125.7660,2.9130,2307.2430
50,178.5750,2125.9170,3.0290,2307.5210
51,178.5030,2125.7080,2.9590,2307.1700
52,178.5040,2125.7280,2.8930,2307.1250
53,178.6050,2126.2530,3.0910,2307.9490
54,178.5330,2125.8650,3.0010,2307.3990
55,178.5580,2126.7100,2.9890,2308.2570
56,178.4650,2125.7460,3.0030,2307.2140
57,178.5170,2126.9580,3.0850,2308.5600
58,178.5490,2126.0100,2.9810,2307.5400
59,178.5630,2126.0310,2.9360,2307.5300
60,178.5640,2126.0500,2.9030,2307.5170
61,178.5070,2125.4940,2.9290,2306.9300
62,178.5290,2124.8240,2.9840,2306.3370
63,178.5050,2124.4750,3.0360,2306.0160
64,178.5490,2126.5230,2.8830,2307.9550
65,178.5050,2126.0650,2.8790,2307.4490
66,178.5450,2124.8610,2.9110,2306.3170
67,178.5500,2126.0260,2.9390,2307.5150
68,178.5720,2126.3310,2.8480,2307.7510
69,178.5800,2126.3720,2.9380,2307.8900
70,178.5850,2126.6630,2.9520,2308.2000
1,1.6110,36.7620,2.1340,40.5070
2,1.5960,36.7470,2.1430,40.4860
3,1.5780,36.7370,2.2450,40.5600
4,1.5730,36.7020,2.2020,40.4770
5,1.5730,36.6680,2.1030,40.3440
6,1.5750,36.7760,2.1620,40.5130
7,1.5810,36.7750,2.1400,40.4960
8,1.5730,36.7420,2.1360,40.4510
9,1.5820,36.7430,2.0660,40.3910
10,1.5710,36.7390,2.2440,40.5540
11,1.5970,36.7700,2.1810,40.5480
12,1.5760,36.8830,2.1280,40.5870
13,1.5730,36.8880,2.2090,40.6700
14,1.5760,37.0460,2.1510,40.7730
15,1.5730,36.9510,2.3190,40.8430
16,1.5750,36.9590,2.1060,40.6400
17,1.5730,36.9150,2.2400,40.7280
18,1.6120,36.9020,2.2110,40.7250
19,1.5800,36.8090,2.1210,40.5100
20,1.5710,36.7870,2.2300,40.5880
21,1.5810,36.7680,2.2180,40.5670
22,1.5700,36.6330,2.2200,40.4230
23,1.5900,36.6270,2.1820,40.3990
24,1.5950,36.6730,2.1910,40.4590
25,1.5910,36.7670,2.2260,40.5840
26,1.5790,36.7260,2.1030,40.4080
27,1.5800,36.7610,2.1780,40.5190
28,1.5770,36.7150,2.2830,40.5750
29,1.5780,36.7440,2.1730,40.4950
30,1.5810,36.7620,2.2430,40.5860
31,1.5780,36.8320,2.2140,40.6240
32,1.5770,36.8530,2.2100,40.6400
33,1.5790,36.8430,2.2790,40.7010
34,1.5780,36.8460,2.1860,40.6100
35,1.5810,36.8110,2.1240,40.5160
36,1.5790,36.8390,2.2090,40.6270
37,1.5790,36.7740,2.1730,40.5260
38,1.5720,36.6880,2.2250,40.4850
39,1.5680,36.7970,2.2020,40.5670
40,1.5740,36.7910,2.1640,40.5290
41,1.5790,36.6850,2.2300,40.4940
42,1.5790,36.6720,2.2400,40.4910
43,1.5800,36.6550,2.1900,40.4250
44,1.5790,36.6390,2.2520,40.4700
45,1.5770,36.6620,2.1020,40.3410
46,1.5680,36.7870,2.1670,40.5220
47,1.5690,36.7970,2.2180,40.5840
48,1.5780,36.7680,2.2450,40.5910
49,1.5790,36.8570,2.2080,40.6440
50,1.5810,36.8630,2.2020,40.6460
51,1.5780,36.7590,2.0970,40.4340
52,1.5780,36.7390,2.2520,40.5690
53,1.5750,36.7260,2.1620,40.4630
54,1.5700,36.7580,2.1460,40.4740
55,1.5710,36.7740,2.2330,40.5780
56,1.5700,36.7550,2.1850,40.5100
57,1.5700,36.7550,2.1780,40.5030
58,1.5790,36.7470,2.2230,40.5490
59,1.5800,36.7800,2.1410,40.5010
60,1.5870,36.7060,2.1430,40.4360
61,1.5780,36.7730,2.2210,40.5720
62,1.5790,36.7490,2.0930,40.4210
63,1.5850,36.7750,2.2270,40.5870
64,1.5820,36.7630,2.1110,40.4560
65,1.5820,36.7600,2.2500,40.5920
66,1.5780,36.7820,2.1220,40.4820
67,1.5790,36.7980,2.2220,40.5990
68,1.5850,36.7990,2.1190,40.5030
69,1.5800,36.7670,2.1620,40.5090
70,1.5800,36.7330,2.2440,40.5570
1,2.2960,59.6740,3.1730,65.1430
2,2.2650,59.6600,3.2470,65.1720
3,2.2700,59.7440,3.1600,65.1740
4,2.2640,59.7360,3.1860,65.1860
5,2.2700,59.6360,3.2470,65.1530
6,2.2640,59.6930,3.2370,65.1940
7,2.2670,59.7180,3.1940,65.1790
8,2.2690,59.9100,3.1540,65.3330
9,2.2640,60.0720,3.2250,65.5610
10,2.2700,60.0150,3.2040,65.4890
11,2.2650,60.1050,3.2030,65.5730
12,2.2670,60.5020,3.2860,66.0550
13,2.2640,59.7340,3.1860,65.1840
14,2.2700,59.7310,3.1750,65.1760
15,2.2650,59.6750,3.2360,65.1760
16,2.2640,59.7230,3.1830,65.1700
