Iteración,Tiempo Generación Claves (ms),Tiempo Firma (ms),Tiempo Verificación (ms),Tiempo Total (ms)
65,144.8270,1336.5890,1.1260,1482.5420
66,144.8010,1336.4590,1.1270,1482.3870
67,145.0270,1336.7150,1.1370,1482.8790
68,144.9530,1336.2490,1.1330,1482.3350
69,144.8480,1336.2580,1.1140,1482.2200
70,144.7900,1336.8510,1.1110,1482.7520
1,95.8590,1179.1890,1.6480,1276.6960
2,95.6490,1179.1860,1.6220,1276.4570
3,95.7960,1179.9810,1.6810,1277.4580
4,95.6380,1179.8690,1.6490,1277.1560
5,95.4930,1179.3920,1.6090,1276.4940
6,95.8720,1179.7010,1.5990,1277.1720
7,95.8800,1179.4420,1.6450,1276.9670
8,96.1300,1179.4130,1.5630,1277.1060
9,96.6130,1179.7850,1.6760,1278.0740
10,96.2490,1178.9660,1.6300,1276.8450
11,95.6190,1179.0470,1.6510,1276.3170
12,95.7860,1179.9250,1.6200,1277.3310
13,95.7420,1179.6830,1.6800,1277.1050
14,95.6760,1179.9250,1.5990,1277.2000
15,95.8670,1179.6850,1.6150,1277.1670
16,95.8120,1179.4460,1.6980,1276.9560
17,95.9230,1179.9210,1.6630,1277.5070
18,95.9820,1180.0780,1.6550,1277.7150
19,95.7870,1179.4540,1.6320,1276.8730
20,95.6090,1179.1640,1.6590,1276.4320
21,95.8390,1179.3880,1.6090,1276.8360
22,95.6830,1179.4830,1.6500,1276.8160
23,95.6450,1180.1580,1.7150,1277.5180
24,95.7570,1180.0650,1.6800,1277.5020
25,95.7850,1180.7680,1.6530,1278.2060
26,95.6340,1179.8350,1.6840,1277.1530
27,95.8430,1179.9030,1.6200,1277.3660
28,95.5300,1178.8500,1.5340,1275.9140
29,95.6470,1179.3510,1.6340,1276.6320
30,95.6480,1180.0150,1.6300,1277.2930
31,95.7750,1180.0170,1.6860,1277.4780
32,95.7120,1179.2610,1.6300,1276.6030
33,95.7260,1179.5190,1.6340,1276.8790
34,95.7210,1179.0810,1.6450,1276.4470
35,95.6610,1179.0920,1.6200,1276.3730
36,95.8040,1179.7470,1.6320,1277.1830
37,95.8810,1179.1800,1.6210,1276.6820
38,95.9090,1179.6990,1.6670,1277.2750
39,95.8240,1179.6920,1.5920,1277.1080
40,95.6900,1179.5120,1.6600,1276.8620
41,95.6920,1179.7270,1.6280,1277.0470
42,95.6460,1179.9440,1.6920,1277.2820
43,95.7400,1180.0910,1.6570,1277.4880
44,95.4580,1180.2590,1.5980,1277.3150
45,95.7050,1180.1440,1.5700,1277.4190
46,95.6700,1179.9700,1.6600,1277.3000
47,95.7760,1180.1700,1.6330,1277.5790
48,95.7340,1179.6450,1.6540,1277.0330
49,95.5790,1179.1830,1.6500,1276.4120
50,95.7100,1179.2340,1.6240,1276.5680
51,95.5640,1179.9950,1.6080,1277.1670
52,95.6690,1179.0210,1.6210,1276.3110
53,95.8190,1179.5850,1.6680,1277.0720
54,95.5610,1179.4540,1.5740,1276.5890
55,95.7730,1178.8010,1.6190,1276.1930
56,95.6960,1179.3930,1.6340,1276.7230
57,95.5750,1179.8590,1.6320,1277.0660
58,95.7040,1179.0410,1.6580,1276.4030
59,95.7230,1180.0420,1.6670,1277.4320
60,95.8700,1180.3560,1.6110,1277.8370
61,95.8670,1179.3840,1.6190,1276.8700
62,95.6970,1179.9940,1.6630,1277.3540
63,95.8050,1179.7870,1.6250,1277.2170
64,95.6580,1179.8450,1.6850,1277.1880
65,95.6200,1180.4600,1.5670,1277.6470
66,95.6920,1179.8420,1.7400,1277.2740
67,95.6770,1179.4190,1.6050,1276.7010
68,95.7840,1179.4280,1.6640,1276.8760
69,95.6340,1179.1070,1.6700,1276.4110
70,95.6950,1179.4610,1.6170,1276.7730
