Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber512,0.0496,0.0567,0.0752,0.1815
2,kyber512,0.0581,0.0579,0.0747,0.1907
3,kyber512,0.0490,0.0573,0.0773,0.1836
4,kyber512,0.0492,0.0573,0.0875,0.1940
5,kyber512,0.0474,0.0558,0.0748,0.1780
6,kyber512,0.0472,0.0556,0.0748,0.1776
7,kyber512,0.0477,0.0562,0.0755,0.1794
8,kyber512,0.0479,0.0571,0.0764,0.1814
9,kyber512,0.0474,0.0555,0.0743,0.1772
10,kyber512,0.0581,0.0566,0.0751,0.1898
11,kyber512,0.0490,0.0562,0.0764,0.1816
12,kyber512,0.0479,0.0562,0.0747,0.1788
13,kyber512,0.0478,0.0570,0.0750,0.1798
14,kyber512,0.0482,0.0561,0.0747,0.1790
15,kyber512,0.0479,0.0663,0.0757,0.1899
16,kyber512,0.0495,0.0573,0.0773,0.1841
17,kyber512,0.0491,0.0576,0.0762,0.1829
18,kyber512,0.0476,0.0558,0.0754,0.1788
19,kyber512,0.0481,0.0558,0.0743,0.1782
20,kyber512,0.0486,0.0561,0.0846,0.1893
21,kyber512,0.0481,0.0563,0.0743,0.1787
22,kyber512,0.0491,0.0577,0.0771,0.1839
23,kyber512,0.0473,0.0560,0.0758,0.1791
24,kyber512,0.0476,0.0567,0.0750,0.1793
25,kyber512,0.0471,0.0561,0.2461,0.3493
26,kyber512,0.0492,0.0560,0.0756,0.1808
27,kyber512,0.0486,0.0561,0.0750,0.1797
28,kyber512,0.0474,0.0600,0.0754,0.1828
29,kyber512,0.0475,0.0564,0.0747,0.1786
30,kyber512,0.0481,0.0657,0.0755,0.1893
31,kyber512,0.0476,0.0558,0.0747,0.1781
32,kyber512,0.0475,0.0556,0.0747,0.1778
33,kyber512,0.0482,0.0562,0.0757,0.1801
34,kyber512,0.0481,0.0567,0.0750,0.1798
35,kyber512,0.0481,0.0558,0.0844,0.1883
36,kyber512,0.0476,0.0564,0.0743,0.1783
37,kyber512,0.0481,0.0558,0.0754,0.1793
38,kyber512,0.0487,0.0571,0.0775,0.1833
39,kyber512,0.0482,0.0560,0.0743,0.1785
40,kyber512,0.0477,0.0551,0.0759,0.1787
41,kyber512,0.0557,0.0562,0.0743,0.1862
42,kyber512,0.0488,0.0571,0.0754,0.1813
43,kyber512,0.0490,0.0572,0.0754,0.1816
44,kyber512,0.0499,0.0562,0.0752,0.1813
45,kyber512,0.0476,0.0558,0.0748,0.1782
46,kyber512,0.0482,0.0659,0.0761,0.1902
47,kyber512,0.0476,0.0559,0.0748,0.1783
48,kyber512,0.0482,0.0562,0.0743,0.1787
49,kyber512,0.0483,0.0566,0.0791,0.1840
50,kyber512,0.0478,0.0550,0.0754,0.1782
51,kyber512,0.0476,0.0562,0.0857,0.1895
52,kyber512,0.0484,0.0562,0.0759,0.1805
53,kyber512,0.0479,0.0569,0.0748,0.1796
54,kyber512,0.0475,0.0563,0.0759,0.1797
55,kyber512,0.0491,0.0572,0.0752,0.1815
56,kyber512,0.0486,0.0567,0.0761,0.1814
57,kyber512,0.0568,0.0561,0.0756,0.1885
58,kyber512,0.0487,0.0571,0.0759,0.1817
59,kyber512,0.0490,0.0576,0.0764,0.1830
60,kyber512,0.0489,0.0555,0.0750,0.1794
61,kyber512,0.0476,0.0558,0.0761,0.1795
62,kyber512,0.0482,0.0657,0.0764,0.1903
63,kyber512,0.0476,0.0572,0.0752,0.1800
64,kyber512,0.0476,0.0556,0.0755,0.1787
65,kyber512,0.0611,0.2086,0.0762,0.3459
66,kyber512,0.0495,0.0576,0.0887,0.1958
67,kyber512,0.0485,0.0566,0.0754,0.1805
68,kyber512,0.0486,0.0576,0.0763,0.1825
69,kyber512,0.0478,0.0562,0.0795,0.1835
70,kyber512,0.0486,0.0571,0.0760,0.1817
71,kyber512,0.0473,0.0562,0.0847,0.1882
72,kyber512,0.0477,0.0558,0.0761,0.1796
73,kyber512,0.0483,0.0566,0.0754,0.1803
