Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
457,kyber1024,0.1064,0.1169,0.1317,0.3550
458,kyber1024,0.0971,0.1166,0.1313,0.3450
459,kyber1024,0.0990,0.1178,0.1405,0.3573
460,kyber1024,0.0972,0.1163,0.1312,0.3447
461,kyber1024,0.0982,0.1175,0.1315,0.3472
462,kyber1024,0.0977,0.1209,0.1364,0.3550
463,kyber1024,0.1111,0.1304,0.1326,0.3741
464,kyber1024,0.0968,0.1164,0.1320,0.3452
465,kyber1024,0.0981,0.1229,0.1319,0.3529
466,kyber1024,0.0985,0.1173,0.1322,0.3480
467,kyber1024,0.0981,0.1168,0.1331,0.3480
468,kyber1024,0.1190,0.1196,0.2706,0.5092
469,kyber1024,0.1087,0.1135,0.1285,0.3507
470,kyber1024,0.1090,0.1181,0.1382,0.3653
471,kyber1024,0.0978,0.1162,0.1311,0.3451
472,kyber1024,0.0978,0.1172,0.1307,0.3457
473,kyber1024,0.0977,0.1220,0.1315,0.3512
474,kyber1024,0.0992,0.1182,0.1322,0.3496
475,kyber1024,0.0983,0.1181,0.1356,0.3520
476,kyber1024,0.1090,0.1206,0.1339,0.3635
477,kyber1024,0.0987,0.1178,0.1315,0.3480
478,kyber1024,0.0988,0.1182,0.1349,0.3519
479,kyber1024,0.1059,0.1166,0.1317,0.3542
480,kyber1024,0.0972,0.1168,0.1312,0.3452
481,kyber1024,0.0991,0.1187,0.1364,0.3542
482,kyber1024,0.1086,0.1186,0.1330,0.3602
483,kyber1024,0.0980,0.1180,0.1319,0.3479
484,kyber1024,0.1085,0.1268,0.1316,0.3669
485,kyber1024,0.0976,0.1178,0.1305,0.3459
486,kyber1024,0.1083,0.1187,0.1349,0.3619
487,kyber1024,0.0988,0.1204,0.1304,0.3496
488,kyber1024,0.2143,0.1206,0.1341,0.4690
489,kyber1024,0.0991,0.1187,0.1386,0.3564
490,kyber1024,0.0988,0.1164,0.1309,0.3461
491,kyber1024,0.0996,0.1183,0.1331,0.3510
492,kyber1024,0.0986,0.1241,0.1326,0.3553
493,kyber1024,0.0983,0.1172,0.1314,0.3469
494,kyber1024,0.1083,0.1180,0.1333,0.3596
495,kyber1024,0.0986,0.1222,0.1324,0.3532
496,kyber1024,0.0974,0.1164,0.1314,0.3452
497,kyber1024,0.0996,0.1176,0.1362,0.3534
498,kyber1024,0.1086,0.1199,0.1295,0.3580
499,kyber1024,0.1208,0.1182,0.1310,0.3700
500,kyber1024,0.0982,0.1210,0.1370,0.3562
501,kyber1024,0.0983,0.1186,0.1331,0.3500
502,kyber1024,0.1085,0.1206,0.1301,0.3592
503,kyber1024,0.0972,0.1127,0.1367,0.3466
504,kyber1024,0.1007,0.1202,0.1345,0.3554
505,kyber1024,0.0988,0.1175,0.1321,0.3484
506,kyber1024,0.1087,0.1217,0.1264,0.3568
507,kyber1024,0.0983,0.2655,0.1316,0.4954
508,kyber1024,0.0985,0.1205,0.1379,0.3569
509,kyber1024,0.0986,0.1167,0.1310,0.3463
510,kyber1024,0.1090,0.1209,0.1359,0.3658
511,kyber1024,0.0995,0.1264,0.1322,0.3581
512,kyber1024,0.0977,0.1164,0.1317,0.3458
513,kyber1024,0.0989,0.1192,0.1333,0.3514
514,kyber1024,0.1016,0.1210,0.1312,0.3538
515,kyber1024,0.0983,0.1181,0.1326,0.3490
516,kyber1024,0.0977,0.1171,0.1357,0.3505
517,kyber1024,0.1077,0.1174,0.1316,0.3567
518,kyber1024,0.1087,0.1196,0.1335,0.3618
519,kyber1024,0.0992,0.1182,0.1415,0.3589
520,kyber1024,0.1082,0.1188,0.1339,0.3609
521,kyber1024,0.0970,0.1171,0.1310,0.3451
522,kyber1024,0.0985,0.1182,0.1406,0.3573
523,kyber1024,0.0996,0.1178,0.1326,0.3500
524,kyber1024,0.0993,0.1187,0.1337,0.3517
525,kyber1024,0.1085,0.1224,0.1329,0.3638
526,kyber1024,0.0978,0.3419,0.1365,0.5762
527,kyber1024,0.1082,0.1320,0.1281,0.3683
528,kyber1024,0.0978,0.1171,0.1307,0.3456
529,kyber1024,0.0992,0.1178,0.1282,0.3452
530,kyber1024,0.1007,0.1230,0.1319,0.3556
531,kyber1024,0.1086,0.1192,0.1335,0.3613
532,kyber1024,0.0971,0.1166,0.1343,0.3480
533,kyber1024,0.1088,0.1196,0.1324,0.3608
534,kyber1024,0.1087,0.1200,0.1351,0.3638
535,kyber1024,0.0991,0.1180,0.1410,0.3581
