Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber512,0.3700,0.9931,0.4496,1.8127
2,kyber512,0.3073,0.4921,0.4294,1.2288
3,kyber512,0.2773,0.3454,0.4200,1.0427
4,kyber512,0.2818,0.3386,0.4207,1.0411
5,kyber512,0.2773,0.3421,0.4199,1.0393
6,kyber512,0.2822,0.3466,0.4225,1.0513
7,kyber512,0.2912,0.3665,0.4226,1.0803
8,kyber512,0.2777,0.3824,0.4249,1.0850
9,kyber512,0.2799,0.3427,0.4257,1.0483
10,kyber512,0.2894,0.3620,0.4281,1.0795
11,kyber512,0.2806,0.3480,0.4208,1.0494
12,kyber512,0.2854,0.3414,0.4137,1.0405
13,kyber512,0.2767,0.3501,0.4146,1.0414
14,kyber512,0.2695,0.3383,0.4163,1.0241
15,kyber512,0.2804,0.3439,0.4099,1.0342
16,kyber512,0.2965,0.3486,0.4242,1.0693
17,kyber512,0.2889,0.3490,0.4220,1.0599
18,kyber512,0.2721,0.3404,0.4201,1.0326
19,kyber512,0.2755,0.3343,0.4233,1.0331
20,kyber512,0.2817,0.3407,0.4229,1.0453
21,kyber512,0.2770,0.3335,0.4071,1.0176
22,kyber512,0.2792,0.3365,0.4105,1.0262
23,kyber512,0.2735,0.3402,0.4104,1.0241
24,kyber512,0.2741,0.3320,0.4242,1.0303
25,kyber512,0.2748,0.3401,0.4245,1.0394
26,kyber512,0.2750,0.3365,0.4066,1.0181
27,kyber512,0.2724,0.3393,0.4110,1.0227
28,kyber512,0.2779,0.3381,0.4021,1.0181
29,kyber512,0.2785,0.3394,0.4104,1.0283
30,kyber512,0.2750,0.3335,0.4103,1.0188
31,kyber512,0.2731,0.3405,0.4072,1.0208
32,kyber512,0.2764,0.3408,0.4147,1.0319
33,kyber512,0.2752,0.3313,0.4073,1.0138
34,kyber512,0.2757,0.3458,0.4126,1.0341
35,kyber512,0.2745,0.3312,0.4138,1.0195
36,kyber512,0.2749,0.3300,0.9613,1.5662
37,kyber512,0.2654,0.3216,0.3993,0.9863
38,kyber512,0.2631,0.3198,0.3943,0.9772
39,kyber512,0.2627,0.3212,0.3953,0.9792
40,kyber512,0.2703,0.3273,0.4004,0.9980
41,kyber512,0.2606,0.3206,0.3952,0.9764
42,kyber512,0.2669,0.3281,0.4044,0.9994
43,kyber512,0.2644,0.3211,0.3951,0.9806
44,kyber512,0.2606,0.3204,0.3974,0.9784
45,kyber512,0.2636,0.3216,0.3950,0.9802
46,kyber512,0.2623,0.3204,0.3977,0.9804
47,kyber512,0.2609,0.3198,0.3948,0.9755
48,kyber512,0.2740,0.3308,0.4043,1.0091
49,kyber512,0.2688,0.3258,0.3992,0.9938
50,kyber512,0.2598,0.3194,0.4031,0.9823
51,kyber512,0.2590,0.3183,0.3931,0.9704
52,kyber512,0.2603,0.3196,0.3923,0.9722
53,kyber512,0.2593,0.3187,0.3919,0.9699
54,kyber512,0.2645,0.3236,0.3983,0.9864
55,kyber512,0.2588,0.3185,0.3931,0.9704
56,kyber512,0.2602,0.3184,0.3947,0.9733
57,kyber512,0.2596,0.3177,0.3925,0.9698
58,kyber512,0.2594,0.3179,0.3927,0.9700
59,kyber512,0.2594,0.3183,0.3896,0.9673
60,kyber512,0.2629,0.3216,0.3898,0.9743
61,kyber512,0.2622,0.3172,0.3891,0.9685
62,kyber512,0.2629,0.3193,0.3930,0.9752
63,kyber512,0.2626,0.3174,0.3877,0.9677
