Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber768,0.0643,0.0780,0.0907,0.2330
2,kyber768,0.0629,0.0914,0.0904,0.2447
3,kyber768,0.0637,0.0782,0.0898,0.2317
4,kyber768,0.0634,0.0934,0.0902,0.2470
5,kyber768,0.0639,0.0777,0.0899,0.2315
6,kyber768,0.0622,0.0781,0.0891,0.2294
7,kyber768,0.0632,0.0772,0.0896,0.2300
8,kyber768,0.0627,0.0877,0.0891,0.2395
9,kyber768,0.0648,0.0794,0.0914,0.2356
10,kyber768,0.0639,0.0791,0.0901,0.2331
11,kyber768,0.0634,0.0777,0.0905,0.2316
12,kyber768,0.0629,0.0782,0.0990,0.2401
13,kyber768,0.0637,0.0787,0.0900,0.2324
14,kyber768,0.0629,0.0777,0.0893,0.2299
15,kyber768,0.0624,0.0767,0.0889,0.2280
16,kyber768,0.0629,0.0777,0.0982,0.2388
17,kyber768,0.0656,0.0795,0.3167,0.4618
18,kyber768,0.0656,0.0794,0.0916,0.2366
19,kyber768,0.0643,0.0792,0.0919,0.2354
20,kyber768,0.0787,0.0789,0.0910,0.2486
21,kyber768,0.0634,0.0775,0.0895,0.2304
22,kyber768,0.0624,0.0775,0.0893,0.2292
23,kyber768,0.0638,0.0792,0.0905,0.2335
24,kyber768,0.0634,0.0891,0.0900,0.2425
25,kyber768,0.0629,0.0782,0.0895,0.2306
26,kyber768,0.0618,0.0780,0.0891,0.2289
27,kyber768,0.0627,0.0777,0.0895,0.2299
28,kyber768,0.0639,0.0877,0.0935,0.2451
29,kyber768,0.0628,0.0782,0.0891,0.2301
30,kyber768,0.0629,0.0777,0.0891,0.2297
31,kyber768,0.0625,0.0787,0.0896,0.2308
32,kyber768,0.0629,0.0784,0.1009,0.2422
33,kyber768,0.0638,0.0797,0.0908,0.2343
34,kyber768,0.0629,0.0780,0.0903,0.2312
35,kyber768,0.0623,0.0771,0.0897,0.2291
36,kyber768,0.0652,0.0810,0.1088,0.2550
37,kyber768,0.0634,0.0777,0.0897,0.2308
38,kyber768,0.0642,0.0790,0.0905,0.2337
39,kyber768,0.0629,0.0774,0.0901,0.2304
40,kyber768,0.0632,0.0779,0.0991,0.2402
41,kyber768,0.0638,0.0775,0.0901,0.2314
42,kyber768,0.0624,0.0774,0.0896,0.2294
43,kyber768,0.0633,0.0781,0.0898,0.2312
44,kyber768,0.0629,0.3287,0.0925,0.4841
45,kyber768,0.0643,0.0780,0.0900,0.2323
46,kyber768,0.0629,0.0778,0.0898,0.2305
47,kyber768,0.0636,0.0772,0.0897,0.2305
48,kyber768,0.0625,0.0891,0.0896,0.2412
49,kyber768,0.0653,0.0781,0.0910,0.2344
50,kyber768,0.0757,0.0782,0.0896,0.2435
51,kyber768,0.0657,0.0774,0.0905,0.2336
52,kyber768,0.0654,0.0934,0.0905,0.2493
53,kyber768,0.0643,0.0777,0.0896,0.2316
54,kyber768,0.0676,0.0800,0.0919,0.2395
55,kyber768,0.0648,0.0771,0.0898,0.2317
56,kyber768,0.0662,0.0888,0.0907,0.2457
57,kyber768,0.0657,0.0776,0.0897,0.2330
58,kyber768,0.0662,0.0792,0.0903,0.2357
59,kyber768,0.0644,0.0771,0.0891,0.2306
60,kyber768,0.0650,0.0792,0.1034,0.2476
61,kyber768,0.0664,0.0797,0.0915,0.2376
62,kyber768,0.0662,0.0800,0.0910,0.2372
63,kyber768,0.0662,0.0820,0.0916,0.2398
64,kyber768,0.0648,0.0786,0.1031,0.2465
65,kyber768,0.0643,0.0781,0.0886,0.2310
66,kyber768,0.0667,0.0794,0.0911,0.2372
67,kyber768,0.0652,0.0789,0.0905,0.2346
68,kyber768,0.0643,0.0768,0.0972,0.2383
69,kyber768,0.0648,0.0810,0.1111,0.2569
70,kyber768,0.0695,0.0792,0.0916,0.2403
71,kyber768,0.0639,0.2859,0.0906,0.4404
72,kyber768,0.0688,0.0768,0.0902,0.2358
73,kyber768,0.0644,0.0775,0.0900,0.2319
74,kyber768,0.0655,0.0777,0.0900,0.2332
75,kyber768,0.0648,0.0783,0.0900,0.2331
76,kyber768,0.0778,0.0777,0.0910,0.2465
77,kyber768,0.0652,0.0784,0.0896,0.2332
78,kyber768,0.0658,0.0787,0.0910,0.2355
79,kyber768,0.0648,0.0778,0.0893,0.2319
80,kyber768,0.0754,0.0819,0.0905,0.2478
81,kyber768,0.0668,0.0796,0.0907,0.2371
82,kyber768,0.0638,0.0777,0.0893,0.2308
83,kyber768,0.0648,0.0793,0.0906,0.2347
84,kyber768,0.0651,0.0916,0.0901,0.2468
85,kyber768,0.0643,0.0776,0.0905,0.2324
86,kyber768,0.0641,0.0773,0.0891,0.2305
87,kyber768,0.0661,0.0789,0.0900,0.2350
88,kyber768,0.0648,0.0863,0.0901,0.2412
89,kyber768,0.0663,0.0787,0.0906,0.2356
90,kyber768,0.0648,0.0775,0.0908,0.2331
91,kyber768,0.0648,0.0775,0.0908,0.2331
92,kyber768,0.0648,0.0778,0.1028,0.2454
93,kyber768,0.0657,0.0791,0.0891,0.2339
94,kyber768,0.0639,0.0773,0.0895,0.2307
95,kyber768,0.0646,0.0785,0.0896,0.2327
96,kyber768,0.0641,0.0782,0.1020,0.2443
97,kyber768,0.0666,0.0787,0.0900,0.2353
98,kyber768,0.2198,0.0787,0.0892,0.3877
99,kyber768,0.0657,0.0782,0.0893,0.2332
100,kyber768,0.0666,0.0886,0.0914,0.2466
101,kyber768,0.0657,0.0778,0.0889,0.2324
102,kyber768,0.0647,0.0772,0.0910,0.2329
103,kyber768,0.0735,0.0791,0.0898,0.2424
104,kyber768,0.0763,0.0780,0.0892,0.2435
105,kyber768,0.0652,0.0791,0.0900,0.2343
106,kyber768,0.0653,0.0796,0.0911,0.2360
107,kyber768,0.0646,0.0771,0.0891,0.2308
108,kyber768,0.0652,0.0898,0.0911,0.2461
109,kyber768,0.0652,0.0919,0.1083,0.2654
110,kyber768,0.0723,0.0777,0.0891,0.2391
111,kyber768,0.0657,0.0788,0.0901,0.2346
112,kyber768,0.0676,0.0903,0.0915,0.2494
113,kyber768,0.0662,0.0789,0.0900,0.2351
114,kyber768,0.0658,0.0787,0.0907,0.2352
115,kyber768,0.0662,0.0781,0.0902,0.2345
116,kyber768,0.0672,0.0882,0.0907,0.2461
117,kyber768,0.0648,0.0773,0.0888,0.2309
118,kyber768,0.0639,0.0776,0.0897,0.2312
119,kyber768,0.0683,0.0815,0.0915,0.2413
120,kyber768,0.0657,0.0866,0.0901,0.2424
121,kyber768,0.0653,0.0778,0.0887,0.2318
122,kyber768,0.0662,0.0794,0.0911,0.2367
123,kyber768,0.0667,0.0788,0.0916,0.2371
124,kyber768,0.0676,0.0811,0.1002,0.2489
125,kyber768,0.2208,0.0805,0.0900,0.3913
126,kyber768,0.0639,0.0935,0.1043,0.2617
127,kyber768,0.0685,0.0795,0.0905,0.2385
128,kyber768,0.0798,0.0799,0.0909,0.2506
129,kyber768,0.0650,0.0782,0.0906,0.2338
130,kyber768,0.0669,0.0786,0.0905,0.2360
131,kyber768,0.0666,0.0794,0.0906,0.2366
132,kyber768,0.0756,0.0803,0.0920,0.2479
133,kyber768,0.0662,0.0791,0.0902,0.2355
134,kyber768,0.0658,0.0785,0.0911,0.2354
135,kyber768,0.0663,0.0794,0.0899,0.2356
136,kyber768,0.0739,0.0813,0.0903,0.2455
137,kyber768,0.0662,0.0787,0.0900,0.2349
138,kyber768,0.0653,0.0784,0.0896,0.2333
139,kyber768,0.0648,0.0777,0.0894,0.2319
140,kyber768,0.0646,0.0891,0.0891,0.2428
141,kyber768,0.0655,0.0782,0.0900,0.2337
142,kyber768,0.0639,0.0777,0.0891,0.2307
143,kyber768,0.0653,0.0791,0.0891,0.2335
144,kyber768,0.0654,0.0867,0.0896,0.2417
145,kyber768,0.0652,0.0779,0.0886,0.2317
146,kyber768,0.0658,0.0782,0.0896,0.2336
147,kyber768,0.0657,0.0778,0.0888,0.2323
148,kyber768,0.0648,0.0777,0.1007,0.2432
149,kyber768,0.0653,0.0773,0.0891,0.2317
150,kyber768,0.0648,0.0766,0.0886,0.2300
151,kyber768,0.0652,0.0780,0.2406,0.3838
152,kyber768,0.0738,0.0817,0.0891,0.2446
153,kyber768,0.0648,0.0775,0.0885,0.2308
154,kyber768,0.0639,0.0773,0.0887,0.2299
155,kyber768,0.0663,0.0784,0.0896,0.2343
156,kyber768,0.0643,0.0863,0.0894,0.2400
157,kyber768,0.0651,0.0776,0.0882,0.2309
158,kyber768,0.0655,0.0782,0.0900,0.2337
159,kyber768,0.0653,0.0782,0.0891,0.2326
160,kyber768,0.0648,0.0863,0.0926,0.2437
161,kyber768,0.0639,0.0767,0.0882,0.2288
162,kyber768,0.0639,0.0768,0.0886,0.2293
163,kyber768,0.0634,0.0775,0.0880,0.2289
164,kyber768,0.0657,0.0789,0.0985,0.2431
165,kyber768,0.0657,0.0787,0.0893,0.2337
166,kyber768,0.0643,0.0772,0.0888,0.2303
167,kyber768,0.0639,0.0774,0.0879,0.2292
168,kyber768,0.0641,0.0767,0.1063,0.2471
169,kyber768,0.0680,0.0772,0.0882,0.2334
170,kyber768,0.0646,0.0775,0.0886,0.2307
