Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
954,kyber1024,0.0961,0.1125,0.1256,0.3342
955,kyber1024,0.0948,0.1117,0.1249,0.3314
956,kyber1024,0.0954,0.1140,0.1248,0.3342
957,kyber1024,0.0954,0.1119,0.1254,0.3327
958,kyber1024,0.0962,0.1153,0.1254,0.3369
959,kyber1024,0.1902,0.1154,0.1286,0.4342
960,kyber1024,0.0960,0.1114,0.1255,0.3329
961,kyber1024,0.1000,0.1106,0.1261,0.3367
962,kyber1024,0.0989,0.1117,0.1247,0.3353
963,kyber1024,0.0969,0.1125,0.1263,0.3357
964,kyber1024,0.0952,0.1105,0.1249,0.3306
965,kyber1024,0.0993,0.1117,0.1253,0.3363
966,kyber1024,0.0946,0.1110,0.1252,0.3308
967,kyber1024,0.1001,0.1119,0.1263,0.3383
968,kyber1024,0.0998,0.1125,0.1273,0.3396
969,kyber1024,0.0965,0.1118,0.1273,0.3356
970,kyber1024,0.0967,0.1114,0.1253,0.3334
971,kyber1024,0.1007,0.1137,0.1273,0.3417
972,kyber1024,0.0960,0.1119,0.1255,0.3334
973,kyber1024,0.0947,0.1107,0.1282,0.3336
974,kyber1024,0.0956,0.1122,0.1261,0.3339
975,kyber1024,0.0946,0.1108,0.1274,0.3328
976,kyber1024,0.0971,0.1133,0.1295,0.3399
977,kyber1024,0.0953,0.1122,0.1263,0.3338
978,kyber1024,0.0965,0.1125,0.1324,0.3414
979,kyber1024,0.1070,0.1121,0.1254,0.3445
980,kyber1024,0.0954,0.1117,0.1260,0.3331
981,kyber1024,0.0982,0.1135,0.1276,0.3393
982,kyber1024,0.1010,0.1135,0.1273,0.3418
983,kyber1024,0.0957,0.1116,0.1262,0.3335
984,kyber1024,0.0970,0.1124,0.1278,0.3372
985,kyber1024,0.1033,0.1148,0.1294,0.3475
986,kyber1024,0.0961,0.1114,0.1279,0.3354
987,kyber1024,0.0978,0.1129,0.1279,0.3386
