Iteración,Kyber Version,Tiempo Generación Claves,Tiempo Encapsulación,Tiempo Decapsulación,Tiempo Total
1,kyber768,0.1299,0.1394,0.1657,0.4350
2,kyber768,0.0992,0.0883,0.1121,0.2996
3,kyber768,0.0763,0.0856,0.1359,0.2978
4,kyber768,0.0829,0.0864,1.2499,1.4192
5,kyber768,0.1319,0.1305,0.1750,0.4374
6,kyber768,0.1236,0.1092,0.1113,0.3441
7,kyber768,0.0780,0.0869,0.1119,0.2768
8,kyber768,0.0801,0.0975,0.1111,0.2887
9,kyber768,0.0772,0.1029,1.0457,1.2258
10,kyber768,0.0801,0.0855,0.1103,0.2759
11,kyber768,0.0788,0.0913,0.1134,0.2835
12,kyber768,0.0770,0.0872,0.1105,0.2747
13,kyber768,0.0887,0.0857,0.1105,0.2849
14,kyber768,0.0765,0.0858,0.1136,0.2759
15,kyber768,0.0768,0.0859,0.1116,0.2743
16,kyber768,0.0771,0.0853,0.1145,0.2769
17,kyber768,0.0754,0.0846,0.1091,0.2691
18,kyber768,0.0759,0.0844,0.1091,0.2694
19,kyber768,0.0759,0.0844,0.1127,0.2730
20,kyber768,0.0770,0.0908,0.1105,0.2783
21,kyber768,0.0770,0.0851,0.1115,0.2736
22,kyber768,0.0788,0.0876,0.1103,0.2767
23,kyber768,0.0764,0.0849,0.1088,0.2701
24,kyber768,0.0799,0.0847,0.1092,0.2738
25,kyber768,0.2772,0.0870,0.1095,0.4737
26,kyber768,0.0770,0.0855,0.1190,0.2815
27,kyber768,0.0747,0.0841,0.1087,0.2675
28,kyber768,0.0774,0.0866,0.1143,0.2783
29,kyber768,0.0775,0.0860,0.1092,0.2727
30,kyber768,0.0770,0.0900,0.1104,0.2774
31,kyber768,0.0761,0.0843,0.1091,0.2695
32,kyber768,0.0771,0.0858,0.1093,0.2722
33,kyber768,0.0757,0.0842,0.1090,0.2689
34,kyber768,0.0976,0.0838,0.1087,0.2901
35,kyber768,0.0755,0.0844,0.1090,0.2689
36,kyber768,0.0763,0.0838,0.1089,0.2690
37,kyber768,0.0757,0.0844,0.1136,0.2737
38,kyber768,0.0766,0.0844,0.1093,0.2703
39,kyber768,0.0773,0.0886,0.1098,0.2757
40,kyber768,0.0762,0.0847,0.1098,0.2707
41,kyber768,0.0757,0.1131,0.1088,0.2976
42,kyber768,0.0749,0.0844,0.1088,0.2681
43,kyber768,0.0762,0.0848,0.1090,0.2700
44,kyber768,0.0757,0.0845,0.1135,0.2737
45,kyber768,0.0751,0.0849,0.1090,0.2690
46,kyber768,0.0769,0.0846,0.1092,0.2707
47,kyber768,0.0751,0.0852,0.1091,0.2694
48,kyber768,0.0755,0.0837,0.1134,0.2726
49,kyber768,0.0757,0.0843,0.1089,0.2689
50,kyber768,0.0756,0.0884,0.1103,0.2743
51,kyber768,0.0758,0.0844,0.2498,0.4100
52,kyber768,0.0765,0.0852,0.1087,0.2704
53,kyber768,0.0756,0.0853,0.1102,0.2711
54,kyber768,0.0749,0.0840,0.1095,0.2684
55,kyber768,0.0759,0.0901,0.1084,0.2744
56,kyber768,0.0762,0.0837,0.1082,0.2681
57,kyber768,0.0758,0.0844,0.1089,0.2691
58,kyber768,0.0748,0.0841,0.1090,0.2679
59,kyber768,0.0816,0.0847,0.1095,0.2758
60,kyber768,0.0751,0.0847,0.1117,0.2715
61,kyber768,0.0749,0.0832,0.1082,0.2663
62,kyber768,0.0752,0.0843,0.1119,0.2714
63,kyber768,0.0753,0.0835,0.1082,0.2670
64,kyber768,0.0758,0.0833,0.1081,0.2672
65,kyber768,0.0760,0.0841,0.1093,0.2694
66,kyber768,0.0764,0.0877,0.1089,0.2730
67,kyber768,0.0752,0.0843,0.1090,0.2685
68,kyber768,0.0796,0.0839,0.1087,0.2722
69,kyber768,0.0783,0.0851,0.1099,0.2733
70,kyber768,0.0791,0.0844,0.1091,0.2726
71,kyber768,0.0768,0.0860,0.1109,0.2737
72,kyber768,0.0753,0.0839,0.1079,0.2671
73,kyber768,0.0753,0.0843,0.1132,0.2728
74,kyber768,0.0751,0.0833,0.1079,0.2663
75,kyber768,0.0746,0.0836,0.1082,0.2664
76,kyber768,0.0776,0.0849,0.1094,0.2719
77,kyber768,0.0755,0.0870,0.1078,0.2703
78,kyber768,0.0750,0.0832,0.2302,0.3884
79,kyber768,0.0771,0.0854,0.1085,0.2710
80,kyber768,0.0752,0.0832,0.1119,0.2703
81,kyber768,0.0764,0.0842,0.1097,0.2703
82,kyber768,0.0750,0.0851,0.1076,0.2677
83,kyber768,0.0764,0.0848,0.1092,0.2704
84,kyber768,0.0754,0.0879,0.1078,0.2711
