Version,Iteration,KeyGenTime,EncapTime,DecapTime,EncryptTime,DecryptTime,TotalTime
ML-KEM-768,622,0.1506,0.0915,0.1019,0.0284,0.0100,0.3824
ML-KEM-768,623,0.1246,2.5358,0.1316,0.0512,0.0119,2.8550
ML-KEM-768,624,0.1876,0.0786,0.0846,0.0374,0.0098,0.3980
ML-KEM-768,625,0.1145,0.0764,0.0813,0.0252,0.0081,0.3055
ML-KEM-768,626,0.0985,0.0678,0.0812,0.0227,0.0088,0.2790
ML-KEM-768,627,0.1031,0.0683,0.0872,0.0312,0.0116,0.3015
ML-KEM-768,628,0.1100,0.0698,0.0815,0.0258,0.0097,0.2968
ML-KEM-768,629,0.1124,0.0823,0.0809,0.0269,0.0088,0.3114
ML-KEM-768,630,0.1176,0.0705,0.0903,0.0350,0.0091,0.3225
ML-KEM-768,631,0.1255,0.0717,0.0825,0.0329,0.0241,0.3366
ML-KEM-768,632,0.1224,0.0949,0.1145,0.0425,0.0146,0.3889
ML-KEM-768,633,0.1580,0.0790,0.0859,0.0438,0.0399,0.4066
ML-KEM-768,634,0.1389,0.0775,0.1033,0.0433,0.0164,0.3794
ML-KEM-768,635,0.1511,0.0943,0.0875,0.0544,0.0097,0.3969
ML-KEM-768,636,0.1367,0.0724,0.0825,0.0319,0.0088,0.3324
ML-KEM-768,637,0.1194,0.0704,0.0859,0.0294,0.0086,0.3138
ML-KEM-768,638,0.1380,0.0716,0.0822,0.0350,0.0109,0.3378
ML-KEM-768,639,0.1245,0.0710,0.0822,0.0297,0.0088,0.3162
ML-KEM-768,640,0.1213,0.0829,0.0834,0.0347,0.0143,0.3365
ML-KEM-768,641,0.1239,0.0755,0.0830,0.0578,0.0133,0.3535
ML-KEM-768,642,0.0922,0.0666,0.0843,0.0155,0.0063,0.2650
ML-KEM-768,643,0.0859,0.0665,0.0860,0.0239,0.0091,0.2714
ML-KEM-768,644,0.1013,0.0665,0.0792,0.0152,0.0061,0.2683
ML-KEM-768,645,0.0882,0.0666,0.0796,0.0176,0.0068,0.2588
ML-KEM-768,646,0.0995,0.0672,0.0787,0.0161,0.0069,0.2684
ML-KEM-768,647,0.0915,0.0656,0.0808,0.0190,0.0071,0.2639
ML-KEM-768,648,0.0738,0.0736,0.0897,0.0173,0.0071,0.2616
ML-KEM-768,649,0.1087,0.0776,0.0808,0.0273,0.0079,0.3023
ML-KEM-768,650,0.1241,0.0740,0.0813,0.0203,0.0077,0.3073
ML-KEM-768,651,0.1040,0.0691,0.0798,0.0405,0.0097,0.3031
ML-KEM-768,652,0.1664,0.0999,0.1147,0.0296,0.0111,0.4217
ML-KEM-768,653,0.1293,0.0961,0.1154,0.0475,0.0116,0.3999
ML-KEM-768,654,0.1239,0.0932,0.1119,0.0173,0.0096,0.3559
ML-KEM-768,655,0.1082,0.0940,0.1114,0.0268,0.0107,0.3511
ML-KEM-768,656,0.1538,0.0966,0.1120,0.0235,0.0089,0.3948
ML-KEM-768,657,0.1350,0.1029,0.1195,0.0371,0.0127,0.4072
ML-KEM-768,658,0.1521,0.0986,0.1145,0.0391,0.0124,0.4167
