Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-192, robust",9.166,190.446,10.319,209.931
2,"SHAKE-192, robust",7.274,190.148,10.572,207.994
3,"SHAKE-192, robust",7.338,190.745,10.386,208.470
4,"SHAKE-192, robust",7.316,193.046,10.571,210.932
5,"SHAKE-192, robust",7.320,190.870,10.626,208.817
6,"SHAKE-192, robust",7.364,191.559,10.908,209.831
7,"SHAKE-192, robust",7.340,191.229,10.493,209.063
8,"SHAKE-192, robust",7.266,191.243,10.520,209.029
9,"SHAKE-192, robust",7.325,191.673,10.378,209.377
10,"SHAKE-192, robust",8.985,191.765,10.754,211.504
11,"SHAKE-192, robust",7.283,191.205,10.358,208.846
12,"SHAKE-192, robust",7.342,191.412,10.399,209.153
13,"SHAKE-192, robust",7.320,192.444,10.445,210.209
14,"SHAKE-192, robust",7.312,195.823,10.181,213.316
15,"SHAKE-192, robust",7.268,191.397,10.490,209.156
16,"SHAKE-192, robust",7.337,190.656,10.438,208.431
17,"SHAKE-192, robust",7.308,189.996,10.282,207.587
18,"SHAKE-192, robust",7.342,191.277,10.244,208.863
19,"SHAKE-192, robust",7.316,191.879,10.551,209.746
20,"SHAKE-192, robust",8.250,191.343,10.062,209.655
21,"SHAKE-192, robust",7.341,190.966,10.436,208.742
22,"SHAKE-192, robust",7.336,193.172,10.500,211.009
23,"SHAKE-192, robust",7.273,191.686,10.596,209.555
24,"SHAKE-192, robust",7.266,191.475,10.735,209.476
25,"SHAKE-192, robust",7.327,191.168,10.575,209.070
26,"SHAKE-192, robust",7.320,191.101,10.725,209.146
27,"SHAKE-192, robust",7.259,190.868,10.532,208.659
28,"SHAKE-192, robust",7.269,191.490,10.477,209.236
29,"SHAKE-192, robust",7.353,191.044,10.635,209.031
30,"SHAKE-192, robust",8.261,191.657,10.224,210.143
31,"SHAKE-192, robust",7.271,193.495,10.224,210.990
32,"SHAKE-192, robust",7.366,202.162,10.310,219.837
33,"SHAKE-192, robust",7.358,206.657,10.568,224.583
34,"SHAKE-192, robust",7.327,191.070,10.477,208.874
35,"SHAKE-192, robust",7.320,191.606,10.556,209.482
36,"SHAKE-192, robust",7.277,190.955,10.267,208.499
37,"SHAKE-192, robust",7.286,191.052,10.659,208.996
38,"SHAKE-192, robust",7.306,190.948,10.696,208.950
39,"SHAKE-192, robust",7.321,191.407,10.508,209.236
40,"SHAKE-192, robust",7.324,191.919,10.497,209.741
41,"SHAKE-192, robust",7.332,191.283,10.736,209.351
42,"SHAKE-192, robust",7.300,191.182,10.222,208.704
43,"SHAKE-192, robust",7.292,191.343,10.148,208.783
44,"SHAKE-192, robust",7.382,191.675,10.377,209.434
45,"SHAKE-192, robust",7.354,190.679,10.352,208.385
46,"SHAKE-192, robust",7.359,191.294,10.414,209.066
47,"SHAKE-192, robust",7.325,190.143,10.148,207.616
48,"SHAKE-192, robust",7.324,191.130,10.482,208.936
49,"SHAKE-192, robust",7.284,192.057,10.361,209.701
50,"SHAKE-192, robust",7.309,189.842,10.470,207.621
51,"SHAKE-192, robust",7.269,190.945,10.486,208.700
52,"SHAKE-192, robust",7.839,203.276,10.729,221.844
53,"SHAKE-192, robust",7.310,191.191,10.686,209.187
54,"SHAKE-192, robust",7.349,189.955,10.692,207.996
55,"SHAKE-192, robust",7.359,191.117,10.667,209.143
56,"SHAKE-192, robust",7.286,191.576,10.667,209.528
57,"SHAKE-192, robust",7.280,190.153,10.610,208.043
58,"SHAKE-192, robust",7.340,199.429,10.742,217.511
59,"SHAKE-192, robust",9.767,191.351,10.672,211.790
60,"SHAKE-192, robust",7.329,192.177,10.531,210.037
61,"SHAKE-192, robust",7.302,190.580,10.166,208.047
62,"SHAKE-192, robust",7.248,190.964,10.698,208.910
63,"SHAKE-192, robust",7.346,191.165,10.526,209.037
64,"SHAKE-192, robust",7.328,190.184,10.181,207.692
65,"SHAKE-192, robust",7.295,191.320,10.422,209.037
66,"SHAKE-192, robust",7.261,190.824,10.528,208.612
67,"SHAKE-192, robust",7.343,192.639,10.411,210.392
68,"SHAKE-192, robust",7.345,190.284,10.754,208.383
69,"SHAKE-192, robust",7.358,191.801,10.555,209.714
70,"SHAKE-192, robust",7.330,191.119,10.226,208.675
71,"SHAKE-192, robust",7.280,196.247,10.377,213.904
72,"SHAKE-192, robust",7.345,191.586,10.741,209.672
73,"SHAKE-192, robust",7.295,191.037,10.505,208.838
74,"SHAKE-192, robust",7.344,190.087,10.557,207.988
75,"SHAKE-192, robust",7.267,191.480,10.660,209.408
76,"SHAKE-192, robust",7.268,192.138,10.493,209.898
77,"SHAKE-192, robust",7.292,191.392,10.737,209.421
78,"SHAKE-192, robust",7.282,190.189,10.647,208.119
79,"SHAKE-192, robust",7.398,191.843,10.459,209.699
80,"SHAKE-192, robust",7.296,191.287,10.417,209.000
81,"SHAKE-192, robust",7.465,191.446,10.690,209.600
82,"SHAKE-192, robust",7.340,192.581,10.671,210.592
83,"SHAKE-192, robust",7.321,191.076,10.676,209.072
84,"SHAKE-192, robust",7.324,191.614,10.496,209.434
85,"SHAKE-192, robust",7.344,191.998,10.645,209.986
86,"SHAKE-192, robust",7.392,190.119,10.833,208.344
87,"SHAKE-192, robust",7.240,191.124,10.351,208.715
88,"SHAKE-192, robust",7.259,190.336,10.236,207.830
89,"SHAKE-192, robust",7.349,191.152,10.308,208.809
90,"SHAKE-192, robust",7.351,224.650,10.654,242.655
91,"SHAKE-192, robust",7.299,190.212,10.682,208.193
92,"SHAKE-192, robust",7.290,191.265,10.453,209.008
93,"SHAKE-192, robust",7.321,191.320,10.390,209.031
94,"SHAKE-192, robust",7.254,192.751,10.551,210.555
95,"SHAKE-192, robust",7.322,190.767,10.579,208.668
96,"SHAKE-192, robust",7.370,191.654,10.703,209.727
97,"SHAKE-192, robust",7.338,190.703,10.423,208.464
98,"SHAKE-192, robust",7.399,190.034,10.533,207.965
99,"SHAKE-192, robust",7.275,191.684,10.522,209.481
100,"SHAKE-192, robust",7.326,191.431,10.695,209.452
