Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHA-2 192-bit, standard, robust",378.405,3680.316,2.970,4061.692
2,"SHA-2 192-bit, standard, robust",377.090,3671.454,2.848,4051.391
3,"SHA-2 192-bit, standard, robust",369.757,3673.875,2.900,4046.533
4,"SHA-2 192-bit, standard, robust",371.830,3655.010,3.062,4029.901
5,"SHA-2 192-bit, standard, robust",378.615,3646.688,2.856,4028.159
6,"SHA-2 192-bit, standard, robust",371.008,3662.543,2.998,4036.548
7,"SHA-2 192-bit, standard, robust",373.543,3665.339,3.083,4041.966
8,"SHA-2 192-bit, standard, robust",367.813,3644.685,3.012,4015.511
9,"SHA-2 192-bit, standard, robust",368.976,3655.427,2.962,4027.365
10,"SHA-2 192-bit, standard, robust",368.528,3665.705,2.949,4037.181
11,"SHA-2 192-bit, standard, robust",370.086,3647.458,2.933,4020.477
12,"SHA-2 192-bit, standard, robust",369.008,3672.433,3.030,4044.471
13,"SHA-2 192-bit, standard, robust",373.148,3655.181,3.025,4031.354
14,"SHA-2 192-bit, standard, robust",368.401,3652.449,2.955,4023.805
15,"SHA-2 192-bit, standard, robust",370.893,3654.140,3.012,4028.044
16,"SHA-2 192-bit, standard, robust",368.316,3652.886,2.971,4024.173
17,"SHA-2 192-bit, standard, robust",369.409,3647.799,2.874,4020.082
18,"SHA-2 192-bit, standard, robust",369.818,3664.561,2.855,4037.233
19,"SHA-2 192-bit, standard, robust",368.918,3642.119,3.052,4014.088
20,"SHA-2 192-bit, standard, robust",369.832,3649.999,2.933,4022.764
21,"SHA-2 192-bit, standard, robust",369.845,3654.563,2.954,4027.362
22,"SHA-2 192-bit, standard, robust",369.054,3645.256,3.182,4017.492
23,"SHA-2 192-bit, standard, robust",369.522,3646.314,2.978,4018.813
24,"SHA-2 192-bit, standard, robust",368.174,3642.517,2.890,4013.580
25,"SHA-2 192-bit, standard, robust",369.696,3645.985,2.908,4018.590
26,"SHA-2 192-bit, standard, robust",368.666,3642.578,3.006,4014.251
27,"SHA-2 192-bit, standard, robust",369.560,3639.190,3.709,4012.458
28,"SHA-2 192-bit, standard, robust",367.461,3645.567,2.915,4015.942
29,"SHA-2 192-bit, standard, robust",369.328,3647.811,3.847,4020.986
30,"SHA-2 192-bit, standard, robust",368.887,3668.279,2.945,4040.112
31,"SHA-2 192-bit, standard, robust",369.588,3666.009,3.002,4038.600
32,"SHA-2 192-bit, standard, robust",370.402,3651.231,2.967,4024.599
33,"SHA-2 192-bit, standard, robust",371.440,3668.921,2.992,4043.353
34,"SHA-2 192-bit, standard, robust",370.983,3647.404,3.107,4021.494
35,"SHA-2 192-bit, standard, robust",369.725,3643.715,2.971,4016.411
36,"SHA-2 192-bit, standard, robust",369.071,3653.942,3.001,4026.014
37,"SHA-2 192-bit, standard, robust",371.560,3664.171,2.921,4038.652
38,"SHA-2 192-bit, standard, robust",369.698,3661.709,2.975,4034.382
39,"SHA-2 192-bit, standard, robust",370.862,3668.846,2.967,4042.675
40,"SHA-2 192-bit, standard, robust",371.928,3656.907,2.941,4031.776
41,"SHA-2 192-bit, standard, robust",369.226,3673.015,3.036,4045.277
42,"SHA-2 192-bit, standard, robust",369.824,3645.900,3.007,4018.730
43,"SHA-2 192-bit, standard, robust",370.343,3645.408,2.969,4018.720
44,"SHA-2 192-bit, standard, robust",368.987,3645.389,2.992,4017.368
45,"SHA-2 192-bit, standard, robust",370.940,3655.132,3.077,4029.149
46,"SHA-2 192-bit, standard, robust",370.025,3660.781,3.268,4034.073
47,"SHA-2 192-bit, standard, robust",375.974,3675.983,3.121,4055.079
48,"SHA-2 192-bit, standard, robust",383.163,3695.193,2.904,4081.260
49,"SHA-2 192-bit, standard, robust",370.106,3644.827,2.991,4017.923
50,"SHA-2 192-bit, standard, robust",369.703,3659.608,2.822,4032.133
