Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-128, robust",19.220,125.901,7.441,152.562
2,"SHAKE-128, robust",5.017,120.590,7.214,132.821
3,"SHAKE-128, robust",5.026,121.093,7.076,133.195
4,"SHAKE-128, robust",5.045,121.976,7.265,134.286
5,"SHAKE-128, robust",5.037,120.006,7.428,132.471
6,"SHAKE-128, robust",5.126,117.407,6.763,129.295
7,"SHAKE-128, robust",4.838,116.655,7.182,128.676
8,"SHAKE-128, robust",4.832,116.771,6.344,127.946
9,"SHAKE-128, robust",4.848,117.924,7.083,129.855
10,"SHAKE-128, robust",4.920,116.799,6.763,128.481
11,"SHAKE-128, robust",4.849,117.855,7.092,129.796
12,"SHAKE-128, robust",4.836,118.397,6.929,130.161
13,"SHAKE-128, robust",4.914,118.170,7.124,130.208
14,"SHAKE-128, robust",4.872,117.452,6.942,129.266
15,"SHAKE-128, robust",4.803,116.848,6.799,128.449
16,"SHAKE-128, robust",6.325,116.790,6.937,130.053
17,"SHAKE-128, robust",4.852,116.516,6.938,128.306
18,"SHAKE-128, robust",4.831,116.454,7.047,128.332
19,"SHAKE-128, robust",4.816,117.512,7.252,129.581
20,"SHAKE-128, robust",4.817,116.775,6.759,128.351
21,"SHAKE-128, robust",4.831,116.808,6.877,128.517
22,"SHAKE-128, robust",4.851,116.350,6.889,128.091
23,"SHAKE-128, robust",4.820,116.554,7.053,128.427
24,"SHAKE-128, robust",4.843,116.659,6.727,128.229
25,"SHAKE-128, robust",4.834,116.636,6.763,128.233
26,"SHAKE-128, robust",4.820,116.480,6.961,128.261
27,"SHAKE-128, robust",4.849,116.419,7.248,128.516
28,"SHAKE-128, robust",4.819,116.513,6.748,128.081
29,"SHAKE-128, robust",4.831,116.340,6.923,128.094
30,"SHAKE-128, robust",4.850,116.437,6.986,128.273
31,"SHAKE-128, robust",4.840,116.633,7.079,128.552
32,"SHAKE-128, robust",5.827,116.739,6.688,129.254
33,"SHAKE-128, robust",4.838,116.789,6.702,128.329
34,"SHAKE-128, robust",4.824,116.805,6.842,128.472
35,"SHAKE-128, robust",4.857,116.827,7.029,128.714
36,"SHAKE-128, robust",4.854,116.795,7.130,128.779
37,"SHAKE-128, robust",4.832,117.604,6.787,129.222
38,"SHAKE-128, robust",4.816,116.460,6.753,128.029
39,"SHAKE-128, robust",4.827,116.407,6.842,128.076
40,"SHAKE-128, robust",4.829,116.413,7.084,128.326
41,"SHAKE-128, robust",4.828,116.362,7.005,128.195
42,"SHAKE-128, robust",4.816,116.278,6.909,128.003
43,"SHAKE-128, robust",4.812,116.324,6.664,127.800
44,"SHAKE-128, robust",4.833,116.814,7.069,128.717
45,"SHAKE-128, robust",4.855,116.687,6.786,128.327
46,"SHAKE-128, robust",4.806,116.634,6.830,128.270
47,"SHAKE-128, robust",4.821,116.519,7.188,128.528
48,"SHAKE-128, robust",4.820,116.596,6.792,128.208
49,"SHAKE-128, robust",4.840,116.369,7.072,128.281
50,"SHAKE-128, robust",4.842,116.582,6.727,128.151
51,"SHAKE-128, robust",4.838,116.295,6.988,128.121
52,"SHAKE-128, robust",4.828,116.823,7.333,128.984
