Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
87,"SHAKE-256, standard, robust",302.035,3760.958,5.206,4068.198
88,"SHAKE-256, standard, robust",302.872,3773.440,5.276,4081.588
89,"SHAKE-256, standard, robust",302.672,3778.269,5.217,4086.158
90,"SHAKE-256, standard, robust",304.079,3740.055,5.188,4049.322
91,"SHAKE-256, standard, robust",300.192,3750.440,5.376,4056.008
92,"SHAKE-256, standard, robust",301.475,3758.147,5.177,4064.799
93,"SHAKE-256, standard, robust",301.728,3771.934,5.024,4078.687
94,"SHAKE-256, standard, robust",306.721,3794.497,5.041,4106.258
95,"SHAKE-256, standard, robust",303.679,3832.820,5.190,4141.689
96,"SHAKE-256, standard, robust",302.090,3749.895,5.152,4057.137
97,"SHAKE-256, standard, robust",305.834,3739.344,5.197,4050.376
98,"SHAKE-256, standard, robust",303.821,3771.114,5.688,4080.624
99,"SHAKE-256, standard, robust",304.236,3808.834,5.223,4118.293
100,"SHAKE-256, standard, robust",303.344,3758.965,5.035,4067.344
