Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
0.8978,0.2920,0.3211,1.2116,1.6175
0.4778,0.2799,0.3065,1.7137,1.1771
0.5542,0.2849,0.3223,1.3413,1.2769
0.6905,0.2794,0.3115,1.3786,1.3971
1.7819,0.2860,0.3229,1.1117,2.5204
1.1527,0.2847,0.3266,1.5566,1.8682
1.2035,0.2785,0.3050,1.6853,1.8890
0.4521,0.2760,0.3020,1.0983,1.1582
0.5755,0.2860,0.3083,1.0783,1.2761
0.6950,0.2766,0.3290,1.0999,1.4417
1.1818,0.2798,0.3197,1.3290,1.8815
0.4335,0.2826,0.3205,1.0807,1.1232
0.6200,0.2877,0.3046,1.2878,1.3737
1.0664,0.2799,0.3256,1.9819,1.8036
1.0698,0.2823,0.3169,2.0180,1.7716
0.4530,0.2859,0.3023,1.8901,1.1658
0.7073,0.2808,0.3120,1.1053,1.4354
1.0317,0.3135,0.3224,1.1256,1.7528
0.6785,0.2913,0.3034,1.7189,1.3875
0.5852,0.2762,0.3018,1.1847,1.2705
0.7076,0.2767,0.3183,1.2809,1.4121
1.0392,0.2757,0.3032,1.1004,1.7428
0.9424,0.2852,0.3157,1.0860,1.6516
1.1680,0.2884,0.3291,1.0972,1.8839
0.4445,0.2813,0.3268,1.1285,1.1632
0.6888,0.2917,0.3068,1.5918,1.3855
1.0830,0.2822,0.3169,1.8268,1.7856
0.4303,0.2809,0.3218,1.1026,1.1404
2.3696,0.2884,0.3173,1.2102,3.0764
1.2856,0.3004,0.3190,1.2321,1.9898
1.2945,0.2805,0.3041,1.7702,1.9824
0.4523,0.3009,0.3313,1.1230,1.1987
1.3165,0.2894,0.3014,1.1209,2.0163
0.6618,0.2932,0.3095,1.6254,1.3595
0.4375,0.2942,0.3058,1.8712,1.1495
0.4516,3.2671,0.3078,4.4252,1.1526
0.4453,0.2964,0.3065,1.7029,1.1496
0.9940,0.2822,0.3214,1.7828,1.7052
