Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
1.1603,0.2944,0.3037,1.2636,1.7873
0.6793,0.2852,0.3025,1.5352,1.3404
0.7154,0.2838,0.3261,1.0304,1.3771
2.9702,0.2757,0.3021,1.2756,3.6220
0.4509,0.2769,0.3015,1.1305,1.0965
0.4290,0.2896,0.3045,1.7381,1.0738
0.7154,0.2776,0.3413,1.3626,1.4518
0.4384,0.2845,0.3089,1.5991,1.2026
0.5922,0.2731,0.3055,1.0324,1.2528
1.0521,0.3418,0.3464,1.2125,1.7584
0.5352,0.3801,0.3569,1.1760,1.2708
0.7012,0.3108,0.3048,1.6347,1.3925
0.4437,0.2802,0.3215,1.5810,1.2443
0.7411,0.2838,0.3180,1.5968,1.4012
0.5619,0.2788,0.3272,1.0546,1.2377
0.5617,0.2759,0.3081,1.3954,1.2269
0.5838,0.3021,0.3067,1.9193,1.2412
1.6210,0.3111,0.3280,1.4086,2.3247
0.6668,0.3821,0.3428,1.5114,1.3543
0.6888,0.2720,0.3048,1.0645,1.3785
0.5450,0.2779,0.3174,1.1467,1.1979
0.6634,0.3948,0.3571,1.7662,1.3635
1.6666,0.2905,0.3021,1.2115,2.3232
0.4366,0.2980,0.3062,1.1991,1.0886
0.5689,0.3880,0.3735,1.5836,1.2853
1.0736,0.2849,0.3209,1.4802,1.7646
0.4643,0.2766,0.3083,1.5579,1.1360
0.9950,0.3870,0.3911,1.5444,1.7669
0.4301,0.3400,0.3727,1.7346,1.2192
0.7140,0.2965,0.3085,1.5855,1.4837
0.5676,0.3037,0.3057,1.2587,1.2286
0.4314,0.3213,0.4003,1.1195,1.2242
0.8710,0.2861,0.3036,1.8310,1.6497
1.1179,0.2827,0.3103,1.4131,1.7697
0.4345,0.3327,0.4165,1.3466,1.2228
1.3140,0.3004,0.3055,1.3339,2.0816
0.4345,0.2984,0.3136,1.7623,1.1090
0.9482,0.3407,0.3156,1.3747,1.6069
0.4265,0.2727,0.3332,1.4464,1.1200
3.4826,0.3690,0.3432,1.2950,4.2050
0.4637,0.2972,0.3528,2.2831,1.1952
0.4823,0.3010,0.3200,1.0985,1.1849
1.6446,0.3814,0.3507,1.5570,2.3654
0.6674,0.3027,0.3414,1.5212,1.3854
0.5419,0.3031,0.3097,1.2106,1.2222
0.6849,0.3180,0.3062,2.1353,1.3292
0.6361,0.3575,0.4236,1.8673,1.4406
0.6022,0.2801,0.3018,1.7183,1.3058
1.0798,0.2956,0.3006,1.2857,1.7551
0.6948,0.3970,0.4132,1.7676,1.4684
1.4987,0.2942,0.3024,1.0881,2.1879
0.6833,0.2845,0.3261,1.4391,1.3807
1.0659,0.3142,0.3082,1.1862,1.7131
0.4551,0.2757,0.3056,1.0383,1.1140
0.4754,0.2782,0.3113,1.1360,1.1322
1.0340,0.3341,0.4192,1.3411,1.7965
0.4727,0.2784,0.3326,1.3240,1.2704
0.5351,0.3079,0.3162,1.1843,1.1988
0.8354,0.2805,0.3183,1.5029,1.4937
1.8985,0.2866,0.3092,1.4058,2.5657
0.5603,0.2783,0.3121,1.1709,1.2307
0.4381,0.2828,0.4175,1.0289,1.1804
2.2584,0.2988,0.3156,1.3473,3.0176
0.5511,0.2898,0.3046,1.2044,1.2122
2.0550,0.3150,0.3041,1.4439,2.7816
2.0178,0.3631,0.4329,2.0061,2.9179
0.4524,0.2908,0.3075,1.6578,1.1695
0.7159,0.2808,0.3209,1.0583,1.4081
0.8532,0.3435,0.3065,1.2844,1.5561
0.4492,0.2816,0.3086,1.0856,1.1415
2.2325,0.4083,0.4646,1.7360,3.0815
0.6388,0.3989,0.4625,1.6928,1.5873
0.7676,0.2864,0.3121,1.2819,1.5159
0.5908,0.2837,0.3644,1.3951,1.3988
0.8294,0.2841,0.3136,1.3377,1.5206
0.6063,0.2777,0.3289,1.1855,1.3069
0.5469,0.2933,0.3269,1.4611,1.2221
0.4423,0.2801,0.3106,2.1849,1.1343
0.5768,0.2726,0.3052,1.0541,1.2560
0.4847,0.2779,0.3137,2.0486,1.1517
0.7901,0.3305,0.3197,1.5725,1.5071
2.1805,0.2891,0.3525,1.5625,2.9652
1.9188,0.2787,0.3058,1.6035,2.6272
0.6553,0.2902,0.3060,2.1366,1.4550
0.5574,0.2854,0.3058,1.4877,1.3178
0.4299,0.3232,0.4006,1.1397,1.2346
1.2579,0.3393,0.3260,1.7892,2.0166
0.8283,0.4067,0.4303,2.1728,1.7523
0.9998,0.2739,0.3029,2.5403,1.7040
1.6057,0.2808,0.3044,1.8726,2.3419
0.5878,0.2750,0.3237,1.4277,1.3167
0.4330,0.2712,0.3236,1.0702,1.1328
0.6460,0.2922,0.3052,1.3387,1.3225
0.9147,0.2767,0.3137,1.0442,1.5926
0.5119,0.2847,0.3272,2.1497,1.1644
2.7022,0.2803,0.3074,1.5379,3.4054
1.1875,0.4062,0.4634,1.5165,2.1450
1.3610,0.3085,0.3372,1.1922,2.1258
1.1758,0.3237,0.3127,2.1882,1.9569
0.5779,0.2974,0.3116,1.3777,1.2598
2.1372,0.4490,0.4597,1.7100,3.0561
0.6947,0.4232,0.4558,3.2503,1.6262
0.4736,0.2901,0.3175,2.2236,1.2858
1.1429,0.2981,0.3060,1.2802,1.8668
0.4523,0.3419,0.3495,1.4049,1.1925
0.6727,0.2947,0.3173,1.1619,1.4184
0.5335,0.2889,0.3178,1.2232,1.2287
0.5813,0.3116,0.3281,1.1300,1.3190
0.4577,0.2965,0.3014,1.8390,1.2404
1.9298,0.2937,0.3341,1.3938,2.7068
0.9052,0.3024,0.3074,1.6098,1.6295
0.4546,0.2790,0.3012,1.3550,1.1986
0.6912,0.2911,0.3390,1.3442,1.4551
0.6742,0.2983,0.3038,1.2074,1.3462
0.8280,0.4151,0.4623,2.9535,1.7992
0.4338,0.2952,0.3045,1.4823,1.1041
0.6488,0.4187,0.4418,2.2287,1.5852
1.0616,0.2794,0.3125,1.6883,1.7581
1.3741,0.2882,0.3235,1.2709,2.1225
0.5702,0.2903,0.3126,1.1273,1.2992
0.4494,0.2920,0.3074,1.1522,1.1790
0.4394,0.3024,0.3061,2.0493,1.1755
1.1131,0.2842,0.3027,1.6011,1.8615
0.9925,0.3703,0.3127,1.3125,1.7157
0.4273,0.3114,0.3515,1.9679,1.1872
0.4331,0.3021,0.3076,1.3600,1.1267
0.6808,0.2772,0.3136,1.1050,1.4127
0.9774,0.2913,0.3052,1.0840,1.6673
0.5779,0.2755,0.3020,1.4338,1.2426
1.4376,0.4445,0.4275,1.9493,2.3605
0.7812,0.4165,0.4511,1.5177,1.7211
1.5532,0.4343,0.4253,1.6967,2.4733
0.4553,0.2896,0.3077,4.3538,1.2077
1.1484,0.2708,0.3248,1.6818,1.8782
0.4246,0.2780,0.3157,1.2278,1.1198
0.6845,0.2831,0.3033,1.0971,1.3692
0.9413,0.2784,0.3680,2.0957,1.7271
0.4597,0.2811,0.3219,3.2842,1.1871
0.5517,0.2897,0.3092,1.1470,1.2763
0.9141,0.2822,0.3128,1.2556,1.6208
0.4392,0.2819,0.3289,1.4022,1.1926
0.5718,0.3055,0.3123,1.2322,1.2759
0.6785,0.3221,0.3182,1.7470,1.4096
0.6041,0.2804,0.3123,1.3716,1.3387
0.8225,0.2937,0.3104,3.7975,3.5869
0.8333,0.3093,0.3078,1.3547,1.5312
0.5892,0.2859,0.3127,1.3759,1.3255
0.5104,0.3037,0.3273,1.3815,1.2690
0.6752,0.4268,0.4458,3.1310,1.6272
0.6864,0.2729,0.3120,2.1285,1.4300
1.5243,0.2792,0.3132,2.5523,2.2071
0.4412,0.2870,0.3070,1.8561,1.1487
1.0342,0.2752,0.3021,2.0485,1.6952
0.4501,0.2713,0.3064,1.0678,1.1433
0.9436,0.2768,0.3175,2.0621,1.6099
0.8199,0.2932,0.2965,1.0974,1.4912
0.7768,0.2801,0.3153,1.3558,1.4592
0.4350,0.2932,0.3102,1.3131,1.0944
1.4560,0.2706,0.3003,1.5368,2.1629
0.9325,0.2974,0.3092,1.1034,1.6479
0.7025,0.2859,0.3067,2.0655,1.3690
0.4522,0.2965,0.2967,2.1398,1.2237
0.4619,0.2774,0.3160,1.5027,1.2148
0.4334,0.2994,0.3095,1.4727,1.1350
0.5700,0.2833,0.3242,1.7517,1.2710
0.6112,0.3867,0.3160,1.4155,1.3663
0.4755,0.2807,0.3081,1.2499,1.1760
0.6865,0.4295,0.4783,2.2451,1.6410
0.8408,0.2848,0.3504,1.3374,1.6053
1.0329,0.2907,0.3107,1.1108,1.7305
0.7116,0.3834,0.3216,1.3374,1.4428
0.7060,0.2861,0.3536,1.7707,1.4532
0.4389,0.3466,0.3175,1.1676,1.1426
0.5952,0.3027,0.3104,1.3859,1.2784
1.1741,0.2853,0.3267,1.5082,1.9621
0.4617,0.2840,0.3492,1.2967,1.2303
1.5306,0.2875,0.3296,1.4388,2.2296
1.1832,0.4230,0.4629,1.9597,2.1594
1.1361,0.4297,0.4613,2.5520,2.0904
0.8364,0.4386,0.4690,1.7124,1.7977
0.8189,0.4377,0.4781,2.5079,1.7534
0.6391,0.3783,0.3206,2.4190,1.4536
0.7061,0.4449,0.4373,1.5746,1.6539
1.9160,0.3920,0.4686,2.4935,2.8743
0.8923,0.4204,0.4639,2.2930,1.8340
1.2160,0.4325,0.4699,1.7448,2.1442
1.2677,0.3695,0.3117,2.0668,2.0834
1.2964,0.3949,0.4281,1.5096,2.2381
1.5563,0.2803,0.3342,1.1443,2.3253
0.4398,0.2825,0.3284,1.0779,1.1271
1.0798,0.2852,0.3351,1.3940,1.7485
0.4597,0.2780,0.3125,1.8501,1.1289
0.4602,0.2812,0.3093,1.0539,1.1303
1.4716,0.2995,0.3055,1.4703,2.1246
1.0172,0.2775,0.3377,1.0456,1.6931
0.4505,0.2846,0.3118,1.0826,1.1412
1.3015,0.2883,0.3448,1.1749,1.9945
0.9986,0.3995,0.4550,1.8423,1.9441
1.3139,0.4100,0.4514,2.9222,2.2380
0.6617,0.4082,0.4410,3.0401,1.5894
0.6572,0.4245,0.4355,1.7059,1.6109
1.9048,0.4311,0.4473,1.7075,2.8728
0.8432,0.2851,0.3106,1.7243,1.7380
0.4588,0.2829,0.3039,1.1843,1.1370
0.4478,0.3204,0.3211,1.2253,1.1338
1.0778,0.2861,0.3245,1.6892,1.7742
1.4170,0.2847,0.3226,1.0784,2.0968
1.1537,0.2977,0.3345,1.4255,1.8625
0.5825,0.2866,0.3169,1.2902,1.2545
0.5737,0.2934,0.3134,1.2345,1.2631
0.7314,0.2912,0.3139,1.6119,1.4187
1.0630,0.2935,0.3433,2.0053,1.7779
2.2864,0.2875,0.3263,1.0936,2.9768
1.3535,0.3007,0.3247,2.0856,2.0540
1.9903,0.2963,0.3152,1.2366,2.6818
0.5843,0.3014,0.3178,1.7240,1.3050
0.9134,0.3967,0.4325,1.4677,1.7386
0.6259,0.2909,0.3147,2.7659,1.4513
0.5939,0.2870,0.3192,1.1230,1.3224
0.4667,0.3060,0.3136,1.1030,1.1517
0.4574,0.3030,0.3187,1.4597,1.1399
0.4742,0.2904,0.3194,1.4523,1.1652
0.8652,0.3155,0.3226,1.2641,1.5579
0.5688,0.2921,0.3360,1.6756,1.3053
0.4692,0.3096,0.3160,1.2368,1.1343
0.4528,0.3053,0.3166,1.2217,1.1311
0.5620,0.2843,0.3317,1.6076,1.3126
0.8683,0.2863,0.3246,1.2346,1.5706
1.9458,0.3016,0.3166,1.1062,2.6474
0.6727,0.4213,0.4829,2.5173,1.6860
1.8935,0.4133,0.4656,1.6867,2.8429
1.2460,0.4103,0.4637,1.7443,2.2369
0.6761,0.2948,0.3099,1.2696,1.3891
0.4392,0.3023,0.3191,1.1108,1.1522
1.2109,0.3016,0.3081,1.2304,1.9190
0.4537,0.3031,0.3028,1.1013,1.1284
0.8309,0.2972,0.3219,1.7951,1.5285
0.9514,0.2917,0.3069,1.3174,1.6580
0.4468,0.2925,0.3044,2.2647,1.1241
1.0346,0.3041,0.3282,1.1059,1.7510
0.4698,0.2811,0.3129,1.6865,1.1688
0.5053,0.3057,0.3137,1.5519,1.3242
1.1269,0.3166,0.3274,1.3889,1.8549
1.2752,0.3003,0.3085,1.3602,1.9547
0.4736,0.2823,0.3250,1.7383,1.2500
0.5691,0.2913,0.3501,1.5308,1.2950
0.7885,0.2855,0.3286,2.0603,1.4854
1.2650,0.3064,0.3163,1.5179,1.9710
0.7348,0.3011,0.3208,1.1022,1.4412
0.7285,0.2861,0.3207,1.7757,1.4271
0.8636,0.2847,0.3230,2.8189,1.5614
0.4412,0.3131,0.3270,1.4105,1.1629
0.7933,0.2936,0.3071,1.7986,1.5070
1.6178,0.4345,0.4523,1.9606,2.5641
0.4609,0.2843,0.3249,2.4974,1.2012
0.6799,0.2978,0.3099,1.2404,1.3878
0.4516,0.2885,0.3067,1.4644,1.1585
0.7235,0.2884,0.3251,1.8461,1.4657
0.8535,0.2829,0.3072,1.2387,1.5523
0.7383,0.3940,0.3321,1.7264,1.4636
0.7966,0.3032,0.3404,1.3651,1.5415
0.9174,0.2887,0.3275,1.3252,1.6873
0.6528,0.4431,0.4589,2.0598,1.6144
0.8513,0.2868,0.3444,1.1720,1.6586
0.4960,0.2826,0.3233,2.1110,1.2562
1.9336,0.4179,0.4826,2.2650,2.9049
1.6120,0.2942,0.3111,3.7020,2.4205
0.9829,0.2892,0.3213,2.6323,1.7513
0.5678,0.3088,0.3161,1.4143,1.2997
1.0726,0.2918,0.3296,1.2347,1.7947
1.4513,0.3324,0.3333,1.3463,2.2403
0.4604,0.2861,0.3623,1.5990,1.3001
0.6050,0.2875,0.3289,1.4983,1.3702
1.0864,0.3043,0.3228,1.2640,1.8402
0.4625,0.2913,0.3189,2.1789,1.2264
1.3754,0.3303,0.3186,1.6299,2.1295
1.4488,0.3118,0.3185,4.1109,2.2338
1.4539,0.3061,0.3129,1.4432,2.2412
0.4421,0.2896,0.3266,1.3474,1.2045
0.4405,0.2902,0.3275,1.1774,1.2237
1.1593,0.2856,0.3393,1.1036,1.8834
0.5242,0.3073,0.3175,1.4069,1.2942
0.8662,0.2949,0.3195,1.8844,1.6215
0.8332,0.3514,0.3344,2.5451,1.7799
0.4752,0.3106,0.3260,1.9702,1.2224
0.6444,0.2955,0.3249,1.1434,1.3767
0.4563,0.3181,0.4105,2.3386,1.3169
0.7278,0.2841,0.3142,1.1424,1.4663
1.0169,0.2961,0.3419,1.7154,1.8367
0.6586,0.3214,0.3069,2.2060,1.3849
0.5805,0.2948,0.3090,1.8677,1.2749
0.9152,0.2967,0.3141,1.2229,1.6024
0.6842,0.2994,0.3289,1.4253,1.4637
0.7059,0.3050,0.3328,1.2347,1.4434
0.7055,0.2813,0.3152,2.5458,1.3993
1.8817,0.2870,0.3104,1.5012,2.6246
0.6801,0.3117,0.3131,2.5284,1.3960
0.8845,0.2781,0.3248,1.4149,1.6983
1.3332,0.2877,0.3330,1.7362,2.0573
0.5131,0.3370,0.4182,1.1663,1.3344
0.9818,0.3252,0.3090,1.2695,1.7538
0.6102,0.2861,0.3241,1.2997,1.3481
1.2203,0.2823,0.3147,1.8977,1.9241
0.6936,0.2956,0.3291,1.2563,1.4243
0.4533,0.3152,0.3237,1.2931,1.1654
0.5883,0.3517,0.4357,1.9109,1.4795
0.4660,0.2840,0.3360,1.5824,1.2761
0.5916,0.3194,0.3136,1.2471,1.3568
0.6337,0.3084,0.3178,1.8192,1.4612
0.4641,0.3014,0.3180,1.3568,1.2808
0.4435,0.3111,0.3151,1.7051,1.2253
0.5470,0.3269,0.3211,1.3272,1.3204
0.6468,0.3032,0.3099,1.5036,1.4279
0.5698,0.2827,0.3133,1.2692,1.3182
0.7372,0.2940,0.3358,1.1350,1.4862
0.6045,0.3365,0.3425,1.1609,1.3311
0.9572,0.3185,0.3259,1.6233,1.7428
0.4489,0.3074,0.3320,1.9729,1.2141
0.5374,0.2991,0.3411,1.3879,1.3096
0.4544,0.2949,0.3151,1.7258,1.2317
0.6937,0.3145,0.3146,1.5950,1.4966
0.4912,0.3090,0.3154,1.1872,1.1856
0.9495,0.3038,0.3260,1.4198,1.7392
0.9407,0.2896,0.3109,2.9719,1.7061
0.5644,0.2857,0.3426,1.3070,1.3626
0.5930,0.2931,0.3070,1.2936,1.4546
0.4750,0.2889,0.3116,1.2973,1.2502
0.5599,0.2804,0.3081,1.5877,1.3325
0.5611,0.2799,0.3270,1.3875,1.3503
0.7088,0.3114,0.3237,1.9109,1.4649
0.6525,0.3133,0.3062,3.0336,1.4041
0.5624,0.2748,0.3044,1.4699,1.2998
0.5352,0.2957,0.3069,1.4137,1.2795
0.4628,0.2838,0.3046,1.4661,1.1903
0.4646,0.2823,0.3263,2.2786,1.2744
1.0066,0.2804,0.3089,1.4807,1.7369
0.8517,0.3009,0.3166,2.0248,1.6049
0.5915,0.2806,0.3037,1.4032,1.3186
3.1214,0.4170,0.4377,1.2943,3.9959
1.1670,0.3036,0.3124,1.8069,1.9506
0.9530,0.2810,0.3213,1.1804,1.7594
0.5698,0.4153,0.3194,1.4239,1.3313
1.2386,0.3041,0.3139,1.3053,2.0009
0.4620,0.2906,0.3180,1.3052,1.2393
0.9735,0.3094,0.3199,1.1702,1.7287
0.4497,0.2895,0.3261,2.6149,1.2377
0.9426,0.2826,0.3272,1.4067,1.7027
2.1686,0.2894,0.3286,1.5295,2.9300
0.5855,0.2873,0.3209,1.5854,1.3001
0.4677,0.3016,0.3747,1.3396,1.2396
0.4537,0.3041,0.3090,1.4746,1.1418
0.9626,0.2898,0.3289,1.4448,1.6513
1.1852,0.2976,0.3164,1.5158,1.8895
0.4620,0.2804,0.3171,1.6037,1.1778
1.0752,0.2844,0.3333,2.8286,1.7942
1.8391,0.3050,0.3113,2.8341,2.5734
2.2214,0.3034,0.3233,1.2028,3.0192
0.9211,0.3118,0.3165,1.7778,1.6406
1.2307,0.3992,0.4547,1.6508,2.1889
0.5533,0.2960,0.3168,1.2953,1.2856
0.5469,0.2952,0.3136,1.1150,1.2429
1.0460,0.2870,0.3218,1.1178,1.7653
0.4374,0.2794,0.3247,2.3277,1.1274
0.4614,0.2929,0.3056,1.3450,1.1539
0.5598,0.2813,0.3273,2.5646,1.2831
0.4428,0.2995,0.3079,1.3733,1.1307
0.8475,0.2843,0.3300,1.4515,1.5410
1.0526,0.2854,0.3100,1.1092,1.7588
0.5594,0.2870,0.3169,1.8395,1.2606
0.9913,0.2782,0.3363,1.0673,1.7082
0.4555,0.2873,0.3456,1.0910,1.1774
0.5706,0.2965,0.3137,1.3709,1.2318
0.7727,0.2823,0.3216,1.3343,1.4888
1.2213,0.2870,0.3137,1.0800,1.8894
0.5710,0.2981,0.3237,1.7835,1.2913
1.3755,0.3057,0.3302,2.1372,2.1463
0.5760,0.3152,0.3245,1.2137,1.3558
0.8976,0.2909,0.3180,1.5104,1.5963
0.4482,0.2866,0.3244,1.4904,1.1573
0.9862,0.3008,0.3178,1.2585,1.7087
0.7232,0.2927,0.3328,1.0878,1.4378
0.9176,0.3060,0.3148,1.2533,1.5961
0.4563,0.2873,0.3247,1.1295,1.1896
0.4419,0.2915,0.3258,2.4861,1.1422
0.7379,0.2890,0.3174,1.6744,1.4451
0.4444,0.2974,0.3148,1.4808,1.1417
1.0831,0.2956,0.3277,1.2495,1.7780
0.4734,0.2870,0.3312,1.7734,1.1874
0.4798,0.2869,0.3278,1.2460,1.1997
0.8314,0.2956,0.3140,1.0763,1.5026
0.4802,0.2902,0.3156,1.5759,1.1500
0.8425,0.2986,0.3171,1.3028,1.6000
1.8387,0.2873,0.3202,1.0865,2.5158
0.4751,0.2861,0.3519,1.0781,1.1946
0.5037,0.3461,0.3316,1.3192,1.2382
0.7234,0.3489,0.3283,1.9313,1.4351
0.8231,0.3266,0.3344,1.8552,1.5394
0.8573,0.3074,0.3280,1.5553,1.5518
0.5801,0.3157,0.3374,2.1815,1.4118
0.7858,0.3020,0.3414,1.2701,1.5526
2.3514,0.3039,0.3159,1.6430,3.0761
0.6065,0.3110,0.3228,1.7863,1.3448
0.8599,0.2842,0.3313,1.5111,1.5916
1.1098,0.3241,0.3668,1.2837,1.8508
0.8599,0.3351,0.3212,1.8990,1.5614
0.4446,0.2961,0.3166,1.1498,1.1585
0.8091,0.3078,0.3090,1.6374,1.5561
0.4440,0.2861,0.3325,1.9879,1.1512
0.5721,0.3719,0.4281,1.2587,1.3539
1.4957,0.2897,0.3395,1.2905,2.2877
0.8210,0.3061,0.3245,1.4164,1.5551
0.5455,0.2986,0.3095,1.2558,1.2522
0.5002,0.2899,0.3635,2.2291,1.2460
0.8456,0.3747,0.4556,1.9285,1.6932
0.9340,0.2851,0.3277,1.2178,1.7292
1.0654,0.3934,0.4597,1.5253,2.0401
0.6392,0.3972,0.4567,1.9119,1.5934
0.6738,0.4113,0.4653,1.5244,1.6620
0.6960,0.2866,0.3078,2.4411,1.4446
0.6874,0.2818,0.3177,1.1337,1.4057
0.6417,0.3883,0.4352,1.5096,1.5500
0.6288,0.3965,0.4204,1.5165,1.5384
0.5860,0.2840,0.3081,2.0620,1.2955
2.8951,0.3951,0.4218,1.6929,3.7927
1.8963,0.3932,0.4491,1.8340,2.8145
1.1028,0.2933,0.3145,1.7093,1.8006
0.4688,0.2909,0.3166,1.3589,1.1757
0.4612,0.2974,0.3265,1.2351,1.1712
0.6789,0.3058,0.3229,2.2867,1.3690
1.3096,0.3113,0.3300,1.2800,2.0291
0.5973,0.2946,0.3252,1.1137,1.3088
1.1073,0.2988,0.3263,1.1237,1.8303
0.6099,0.2913,0.3218,1.4773,1.2946
0.8327,0.2895,0.3251,1.8115,1.5395
0.9709,0.2891,0.3132,1.1149,1.6650
1.2363,0.3089,0.3129,1.2553,1.9345
0.6206,0.2829,0.3213,1.4814,1.3299
1.0449,0.2947,0.3240,2.3456,1.7365
0.5546,0.2992,0.3139,1.3990,1.2236
0.8294,0.2841,0.3188,1.5502,1.5232
0.4593,0.2917,0.3088,2.1810,1.1388
1.8791,0.2851,0.3282,1.3206,2.5592
0.4403,0.2965,0.3059,1.3399,1.1206
1.2825,0.2806,0.3194,1.1005,1.9875
0.9228,0.2890,0.3055,1.2782,1.6150
0.7337,0.2870,0.3300,1.1221,1.4781
0.9624,0.2986,0.3132,1.8685,1.6666
0.5641,0.2892,0.3137,1.2312,1.2745
1.0564,0.3083,0.3178,1.2678,1.7828
0.9974,0.3031,0.3150,1.6012,1.7382
1.5311,0.3001,0.3236,2.0303,2.2811
1.5958,0.2894,0.3370,1.4805,2.3536
0.4521,0.2841,0.3372,1.1116,1.1761
0.7322,0.2994,0.3116,1.9829,1.4318
0.8034,0.2877,0.3148,1.2210,1.5052
0.4563,0.2913,0.3312,1.2433,1.1855
0.8318,0.3017,0.3156,2.0013,1.5450
0.6161,0.2866,0.3162,1.2397,1.3207
0.6172,0.2979,0.3141,1.6037,1.3317
0.4647,0.3095,0.3325,1.7597,1.1892
