Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,falcon-1024,pequeño,29.6137,1.8260,0.1111,31.5508
2,falcon-1024,pequeño,31.0983,2.9720,0.1194,34.1897
3,falcon-1024,pequeño,23.4721,1.9070,0.1118,25.4909
4,falcon-1024,pequeño,38.9654,1.8656,0.1120,40.9430
5,falcon-1024,pequeño,31.0889,1.8389,0.1101,33.0379
6,falcon-1024,pequeño,28.3279,1.8945,0.1143,30.3367
7,falcon-1024,pequeño,26.0809,1.8433,0.1094,28.0336
8,falcon-1024,pequeño,21.4912,1.8363,0.1112,23.4387
9,falcon-1024,pequeño,20.9212,1.8175,0.1072,22.8459
10,falcon-1024,pequeño,29.4219,1.8103,0.1131,31.3453
11,falcon-1024,pequeño,25.6449,1.8721,0.1092,27.6262
12,falcon-1024,pequeño,19.7445,1.8275,0.1125,21.6844
13,falcon-1024,pequeño,33.1418,1.8415,0.1136,35.0969
14,falcon-1024,pequeño,21.5965,1.8893,0.1203,23.6060
15,falcon-1024,pequeño,23.7185,1.8300,0.1078,25.6563
16,falcon-1024,pequeño,28.9368,1.8057,0.1118,30.8542
17,falcon-1024,pequeño,23.7288,1.8589,0.1119,25.6996
18,falcon-1024,pequeño,25.6811,1.8459,0.1147,27.6417
19,falcon-1024,pequeño,41.1417,3.0879,0.1165,44.3460
20,falcon-1024,pequeño,21.3009,1.9556,0.1098,23.3663
21,falcon-1024,pequeño,22.1842,2.0304,0.1205,24.3351
22,falcon-1024,pequeño,21.6452,1.8665,0.1098,23.6215
23,falcon-1024,pequeño,32.8056,1.8231,0.1093,34.7380
24,falcon-1024,pequeño,25.4579,1.8145,0.1090,27.3814
25,falcon-1024,pequeño,51.7961,1.8589,0.1121,53.7671
26,falcon-1024,pequeño,25.4620,1.8878,0.1106,27.4604
27,falcon-1024,pequeño,24.1454,1.8292,0.1082,26.0828
28,falcon-1024,pequeño,26.8949,1.8527,0.1155,28.8631
29,falcon-1024,pequeño,21.1516,1.8437,0.1093,23.1047
30,falcon-1024,pequeño,22.4944,1.8494,0.1097,24.4534
31,falcon-1024,pequeño,32.8994,1.8269,0.1106,34.8370
32,falcon-1024,pequeño,84.5303,1.8396,0.1147,86.4845
33,falcon-1024,pequeño,19.4314,2.7100,0.1176,22.2591
34,falcon-1024,pequeño,57.7275,1.8194,0.1141,59.6611
35,falcon-1024,pequeño,19.3977,1.8312,0.1076,21.3365
36,falcon-1024,pequeño,23.8296,1.8241,0.1098,25.7635
37,falcon-1024,pequeño,21.1137,1.8259,0.1105,23.0501
38,falcon-1024,pequeño,23.0848,1.8074,0.1110,25.0032
39,falcon-1024,pequeño,40.7567,1.8362,0.1099,42.7028
40,falcon-1024,pequeño,19.3913,1.8079,0.1082,21.3074
41,falcon-1024,pequeño,36.9434,1.8190,0.1163,38.8786
42,falcon-1024,pequeño,33.7099,1.8466,0.1109,35.6674
43,falcon-1024,pequeño,34.8027,1.8223,0.1100,36.7349
44,falcon-1024,pequeño,26.6718,1.8210,0.1092,28.6020
45,falcon-1024,pequeño,22.4214,1.8135,0.1098,24.3447
46,falcon-1024,pequeño,25.0703,2.7953,0.1180,27.9836
47,falcon-1024,pequeño,20.3146,1.8372,0.1089,22.2607
48,falcon-1024,pequeño,26.4610,1.8138,0.1123,28.3871
49,falcon-1024,pequeño,20.1439,1.8123,0.1088,22.0650
50,falcon-1024,pequeño,21.1415,1.8486,0.1119,23.1020
51,falcon-1024,pequeño,35.8886,1.8552,0.1095,37.8533
52,falcon-1024,pequeño,30.2426,1.8498,0.1108,32.2032
53,falcon-1024,pequeño,22.0490,1.8600,0.1104,24.0194
54,falcon-1024,pequeño,25.6742,1.8174,0.1114,27.6029
55,falcon-1024,pequeño,30.3659,1.8265,0.1076,32.3000
56,falcon-1024,pequeño,37.1352,2.7289,0.1195,39.9837
57,falcon-1024,pequeño,19.3972,1.8119,0.1082,21.3172
58,falcon-1024,pequeño,19.6408,1.8146,0.1082,21.5636
59,falcon-1024,pequeño,22.8685,1.9748,0.1175,24.9608
60,falcon-1024,pequeño,30.9180,1.8293,0.1111,32.8584
61,falcon-1024,pequeño,25.6302,1.8181,0.1101,27.5584
62,falcon-1024,pequeño,20.5879,2.7039,0.1151,23.4069
63,falcon-1024,pequeño,20.7293,1.8416,0.1069,22.6778
64,falcon-1024,pequeño,21.2364,1.8477,0.1171,23.2012
65,falcon-1024,pequeño,25.4158,1.8285,0.1093,27.3535
66,falcon-1024,pequeño,21.5695,1.8214,0.1092,23.5001
67,falcon-1024,pequeño,22.6702,1.8072,0.1083,24.5857
68,falcon-1024,pequeño,24.7742,2.9751,0.1182,27.8676
69,falcon-1024,pequeño,22.0340,1.8336,0.1094,23.9771
70,falcon-1024,pequeño,27.8688,1.8168,0.1086,29.7941
71,falcon-1024,pequeño,43.1212,1.8170,0.1127,45.0509
72,falcon-1024,pequeño,24.8548,1.8229,0.1133,26.7910
73,falcon-1024,pequeño,20.7225,1.8336,0.1098,22.6659
74,falcon-1024,pequeño,21.9963,1.7690,0.1081,23.8735
75,falcon-1024,pequeño,21.2973,1.8380,0.1100,23.2453
76,falcon-1024,pequeño,22.7784,1.8008,0.1090,24.6882
77,falcon-1024,pequeño,22.7329,1.8303,0.1073,24.6705
78,falcon-1024,pequeño,23.7112,1.8039,0.1069,25.6221
79,falcon-1024,pequeño,20.8971,2.6879,0.1238,23.7088
80,falcon-1024,pequeño,27.5206,1.8307,0.1128,29.4641
81,falcon-1024,pequeño,21.7322,1.7985,0.1113,23.6420
82,falcon-1024,pequeño,21.1862,1.8279,0.1089,23.1230
83,falcon-1024,pequeño,22.2639,1.8595,0.1301,24.2535
84,falcon-1024,pequeño,20.3164,1.8077,0.1087,22.2327
85,falcon-1024,pequeño,26.0388,2.8790,0.1152,29.0329
86,falcon-1024,pequeño,24.0487,1.8086,0.1084,25.9656
87,falcon-1024,pequeño,19.3615,1.8052,0.1101,21.2767
88,falcon-1024,pequeño,24.1914,1.8390,0.1109,26.1413
89,falcon-1024,pequeño,24.5657,1.8126,0.1080,26.4863
90,falcon-1024,pequeño,44.8202,2.7436,0.1300,47.6938
91,falcon-1024,pequeño,21.5567,1.8417,0.1115,23.5099
92,falcon-1024,pequeño,20.5137,1.8090,0.1104,22.4331
93,falcon-1024,pequeño,26.4429,1.8028,0.1107,28.3564
94,falcon-1024,pequeño,20.0981,1.8045,0.1078,22.0105
95,falcon-1024,pequeño,19.4087,1.8283,0.1116,21.3486
96,falcon-1024,pequeño,21.9185,1.8052,0.1076,23.8313
97,falcon-1024,pequeño,35.8226,1.8631,0.1106,37.7963
98,falcon-1024,pequeño,37.2550,1.8135,0.1105,39.1790
