Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-128, standard, robust",312.045,2656.610,2.581,2971.235
2,"SHAKE-128, standard, robust",311.388,2651.756,2.387,2965.531
3,"SHAKE-128, standard, robust",309.804,2635.123,2.462,2947.389
4,"SHAKE-128, standard, robust",308.906,2633.434,2.464,2944.805
5,"SHAKE-128, standard, robust",310.602,2642.101,2.276,2954.980
6,"SHAKE-128, standard, robust",319.517,2666.590,2.324,2988.431
7,"SHAKE-128, standard, robust",309.287,2635.655,2.268,2947.210
8,"SHAKE-128, standard, robust",320.717,2625.860,2.363,2948.940
9,"SHAKE-128, standard, robust",308.309,2634.434,2.340,2945.083
10,"SHAKE-128, standard, robust",308.959,2632.902,2.384,2944.245
11,"SHAKE-128, standard, robust",309.082,2648.852,2.989,2960.922
12,"SHAKE-128, standard, robust",311.010,2678.101,2.437,2991.548
13,"SHAKE-128, standard, robust",327.190,2670.130,2.491,2999.811
14,"SHAKE-128, standard, robust",312.355,2637.137,2.376,2951.869
15,"SHAKE-128, standard, robust",309.465,2695.322,2.648,3007.435
16,"SHAKE-128, standard, robust",309.642,2644.570,2.509,2956.722
17,"SHAKE-128, standard, robust",320.512,2649.806,2.510,2972.829
18,"SHAKE-128, standard, robust",314.702,2658.438,2.460,2975.600
19,"SHAKE-128, standard, robust",324.574,2660.599,2.338,2987.510
20,"SHAKE-128, standard, robust",311.560,2637.169,2.287,2951.017
21,"SHAKE-128, standard, robust",308.869,2629.059,2.357,2940.285
22,"SHAKE-128, standard, robust",307.727,2624.997,2.355,2935.079
23,"SHAKE-128, standard, robust",311.104,2645.485,2.546,2959.135
24,"SHAKE-128, standard, robust",312.319,2636.750,2.474,2951.543
25,"SHAKE-128, standard, robust",324.269,2646.547,2.502,2973.318
26,"SHAKE-128, standard, robust",309.507,2634.346,2.365,2946.218
27,"SHAKE-128, standard, robust",310.159,2642.276,2.506,2954.941
28,"SHAKE-128, standard, robust",307.811,2631.153,2.477,2941.440
29,"SHAKE-128, standard, robust",309.100,2638.933,2.411,2950.444
30,"SHAKE-128, standard, robust",308.967,2681.286,2.329,2992.582
31,"SHAKE-128, standard, robust",312.713,2655.903,2.444,2971.059
32,"SHAKE-128, standard, robust",309.033,2634.116,2.362,2945.511
33,"SHAKE-128, standard, robust",309.930,2631.042,2.640,2943.611
34,"SHAKE-128, standard, robust",308.708,2639.466,2.443,2950.617
35,"SHAKE-128, standard, robust",307.811,2633.463,2.395,2943.668
36,"SHAKE-128, standard, robust",308.137,2625.231,2.418,2935.786
37,"SHAKE-128, standard, robust",307.992,2626.350,2.461,2936.803
38,"SHAKE-128, standard, robust",309.023,2620.517,2.478,2932.018
39,"SHAKE-128, standard, robust",312.759,2641.476,2.345,2956.581
40,"SHAKE-128, standard, robust",309.076,2630.324,2.608,2942.009
41,"SHAKE-128, standard, robust",311.092,2638.054,2.391,2951.536
42,"SHAKE-128, standard, robust",309.181,2632.992,2.488,2944.662
43,"SHAKE-128, standard, robust",308.699,2637.659,2.638,2948.996
44,"SHAKE-128, standard, robust",309.044,2633.584,2.347,2944.975
45,"SHAKE-128, standard, robust",310.024,2627.409,2.323,2939.756
46,"SHAKE-128, standard, robust",309.853,2634.991,2.283,2947.127
47,"SHAKE-128, standard, robust",309.439,2631.798,2.438,2943.676
48,"SHAKE-128, standard, robust",308.098,2630.690,2.502,2941.289
49,"SHAKE-128, standard, robust",309.632,2635.495,2.438,2947.565
50,"SHAKE-128, standard, robust",307.928,2657.032,2.376,2967.337
51,"SHAKE-128, standard, robust",315.613,2665.949,2.283,2983.844
52,"SHAKE-128, standard, robust",310.299,2652.700,2.509,2965.508
53,"SHAKE-128, standard, robust",311.830,2647.488,2.432,2961.750
54,"SHAKE-128, standard, robust",309.647,2654.464,2.409,2966.520
55,"SHAKE-128, standard, robust",312.986,2633.254,2.548,2948.789
56,"SHAKE-128, standard, robust",309.974,2640.071,2.585,2952.630
57,"SHAKE-128, standard, robust",309.208,2629.333,2.314,2940.854
58,"SHAKE-128, standard, robust",311.523,2648.989,2.338,2962.850
59,"SHAKE-128, standard, robust",311.270,2665.120,2.384,2978.775
60,"SHAKE-128, standard, robust",311.993,2661.047,2.499,2975.540
61,"SHAKE-128, standard, robust",313.001,2646.233,2.452,2961.686
62,"SHAKE-128, standard, robust",309.798,2660.837,2.558,2973.193
63,"SHAKE-128, standard, robust",328.190,2668.194,2.428,2998.812
64,"SHAKE-128, standard, robust",311.314,2669.120,2.483,2982.918
65,"SHAKE-128, standard, robust",312.831,2661.857,2.482,2977.170
66,"SHAKE-128, standard, robust",311.092,2654.300,2.358,2967.750
67,"SHAKE-128, standard, robust",312.478,2665.610,4.017,2982.104
68,"SHAKE-128, standard, robust",329.483,2697.205,2.423,3029.110
69,"SHAKE-128, standard, robust",310.107,2657.939,2.351,2970.397
70,"SHAKE-128, standard, robust",309.673,2627.972,2.529,2940.174
71,"SHAKE-128, standard, robust",310.069,2643.653,2.397,2956.119
72,"SHAKE-128, standard, robust",308.209,2638.963,2.372,2949.543
73,"SHAKE-128, standard, robust",311.189,2648.785,2.527,2962.501
74,"SHAKE-128, standard, robust",309.468,2637.723,2.485,2949.675
75,"SHAKE-128, standard, robust",308.606,2629.608,2.439,2940.653
76,"SHAKE-128, standard, robust",310.834,2638.849,2.209,2951.893
77,"SHAKE-128, standard, robust",310.880,2641.397,2.489,2954.766
78,"SHAKE-128, standard, robust",309.858,2651.511,2.320,2963.689
79,"SHAKE-128, standard, robust",319.846,2635.590,2.481,2957.917
80,"SHAKE-128, standard, robust",308.922,2632.070,2.534,2943.526
81,"SHAKE-128, standard, robust",308.976,2632.222,2.632,2943.831
82,"SHAKE-128, standard, robust",309.442,2630.476,2.547,2942.465
83,"SHAKE-128, standard, robust",309.180,2632.486,2.405,2944.071
84,"SHAKE-128, standard, robust",309.967,2626.634,2.267,2938.868
85,"SHAKE-128, standard, robust",309.056,2632.635,2.318,2944.009
86,"SHAKE-128, standard, robust",309.619,2629.476,2.334,2941.430
87,"SHAKE-128, standard, robust",308.363,2659.563,2.499,2970.425
88,"SHAKE-128, standard, robust",312.961,2642.406,2.414,2957.781
89,"SHAKE-128, standard, robust",319.666,2653.687,2.590,2975.943
90,"SHAKE-128, standard, robust",310.042,2664.790,2.278,2977.110
91,"SHAKE-128, standard, robust",309.791,2654.991,2.513,2967.294
92,"SHAKE-128, standard, robust",310.166,2659.788,2.418,2972.371
93,"SHAKE-128, standard, robust",308.558,2647.697,2.341,2958.595
94,"SHAKE-128, standard, robust",310.059,2711.724,2.463,3024.246
95,"SHAKE-128, standard, robust",319.749,2656.430,2.303,2978.481
96,"SHAKE-128, standard, robust",308.427,2660.526,2.392,2971.346
97,"SHAKE-128, standard, robust",308.218,2706.909,2.520,3017.646
98,"SHAKE-128, standard, robust",315.910,2667.115,2.535,2985.560
99,"SHAKE-128, standard, robust",309.326,2627.271,2.353,2938.950
100,"SHAKE-128, standard, robust",309.765,2655.937,2.399,2968.101
