Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
89,"SHAKE-128, standard_robust",335.133,2697.730,2.568,3035.430
90,"SHAKE-128, standard_robust",315.861,2695.432,2.548,3013.841
91,"SHAKE-128, standard_robust",317.952,2708.433,2.599,3028.984
92,"SHAKE-128, standard_robust",318.401,2738.624,2.422,3059.446
93,"SHAKE-128, standard_robust",316.816,2690.099,2.502,3009.418
94,"SHAKE-128, standard_robust",314.531,2723.193,2.486,3040.210
95,"SHAKE-128, standard_robust",314.932,2695.992,2.581,3013.505
96,"SHAKE-128, standard_robust",317.022,2769.933,2.580,3089.535
97,"SHAKE-128, standard_robust",314.915,2687.001,2.528,3004.443
98,"SHAKE-128, standard_robust",323.172,2737.703,2.578,3063.453
99,"SHAKE-128, standard_robust",316.383,2712.179,2.553,3031.115
100,"SHAKE-128, standard_robust",316.379,2705.508,2.516,3024.402
