Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
1,0.733,0.683,1.623,3.038
2,0.708,0.862,1.667,3.237
3,0.882,0.651,1.518,3.051
4,0.868,0.786,1.413,3.066
5,0.819,0.747,1.473,3.039
6,0.611,0.496,1.331,2.437
7,0.642,0.430,1.260,2.332
8,0.582,0.554,1.304,2.440
9,0.663,0.483,1.236,2.382
10,0.626,0.436,1.068,2.130
11,0.522,0.430,1.276,2.228
12,0.518,0.442,0.985,1.946
13,0.416,0.354,1.011,1.782
14,0.443,0.356,0.932,1.732
15,0.456,0.366,0.998,1.820
16,0.432,0.409,1.061,1.902
17,0.408,0.378,1.104,1.891
18,0.518,0.338,0.825,1.681
19,0.378,0.319,0.816,1.514
20,0.362,0.321,0.788,1.471
21,0.355,0.313,0.807,1.476
22,0.411,0.340,0.834,1.585
23,0.418,0.347,0.829,1.594
24,0.405,0.334,0.847,1.586
25,0.387,0.314,0.849,1.550
26,0.664,0.367,0.829,1.860
27,0.452,0.333,0.879,1.665
28,0.484,0.336,0.961,1.781
29,0.615,0.492,1.215,2.323
30,0.430,0.375,0.794,1.599
31,0.318,0.300,0.803,1.421
32,0.302,0.282,0.789,1.374
33,0.299,0.290,0.801,1.390
34,0.342,0.275,0.811,1.428
35,0.422,0.324,0.871,1.617
36,0.319,0.278,0.817,1.413
37,0.420,0.324,0.844,1.587
38,0.366,0.305,0.801,1.472
39,0.371,0.293,0.846,1.510
40,0.473,0.436,1.243,2.152
41,0.491,0.425,1.210,2.126
42,0.538,0.454,1.148,2.139
43,0.561,0.412,1.110,2.083
44,0.538,0.427,1.076,2.040
45,0.474,0.311,0.882,1.667
46,0.369,0.283,0.782,1.433
47,0.306,0.278,0.774,1.358
48,0.315,0.276,0.796,1.386
49,0.344,0.288,0.792,1.424
50,0.340,0.285,0.814,1.440
51,0.355,0.339,0.824,1.519
52,0.349,0.297,0.823,1.470
53,0.360,0.308,0.932,1.599
54,0.561,0.425,1.142,2.127
55,0.585,0.346,0.911,1.843
56,0.371,0.319,0.799,1.490
57,0.374,0.301,0.787,1.461
58,0.405,0.285,0.796,1.486
59,0.390,0.291,0.810,1.490
60,0.483,0.400,1.147,2.030
61,0.368,0.290,0.834,1.493
62,0.374,0.327,0.804,1.504
63,0.472,0.361,0.987,1.819
64,0.539,0.370,0.885,1.793
65,0.400,0.307,0.797,1.504
66,0.342,0.267,0.770,1.380
67,0.335,0.292,0.727,1.354
68,0.312,0.279,0.726,1.317
69,0.299,0.262,0.722,1.284
70,0.296,0.279,0.727,1.303
71,0.312,0.261,0.727,1.300
72,0.287,0.270,0.720,1.277
73,0.314,0.281,0.719,1.314
74,0.328,0.274,0.809,1.410
75,0.397,0.310,0.771,1.479
76,0.367,0.283,0.742,1.391
77,0.273,0.273,0.690,1.235
78,3.513,0.310,1.312,5.134
79,0.648,0.355,0.719,1.722
80,0.354,0.280,0.760,1.394
81,0.292,0.271,0.701,1.264
82,0.329,0.261,0.769,1.359
83,0.475,0.371,0.803,1.649
84,0.408,0.310,0.782,1.500
85,0.394,0.269,0.734,1.397
86,0.282,0.257,0.724,1.262
87,0.282,0.277,0.739,1.299
88,0.355,0.277,0.739,1.371
89,0.336,0.271,0.750,1.357
90,0.345,0.272,0.724,1.341
91,0.326,0.292,0.724,1.342
92,0.294,0.291,0.700,1.285
93,0.306,0.257,0.724,1.287
94,0.305,0.261,0.785,1.351
95,0.415,0.330,0.804,1.549
96,0.377,0.322,0.865,1.563
97,0.313,0.252,0.717,1.282
98,0.316,0.270,0.703,1.289
99,0.290,0.250,0.687,1.227
100,0.268,0.254,0.693,1.215
101,0.252,0.242,0.690,1.184
102,0.256,0.253,0.671,1.180
103,0.271,0.249,0.683,1.203
104,0.252,0.245,0.680,1.177
105,0.247,0.240,0.722,1.209
106,0.375,0.288,0.816,1.479
107,0.374,0.278,0.760,1.412
108,0.351,0.284,0.716,1.351
109,0.265,0.244,0.689,1.198
110,0.252,0.240,0.682,1.173
111,0.290,0.261,0.665,1.216
112,0.261,0.245,0.691,1.198
113,0.251,0.244,0.683,1.178
114,0.252,0.245,0.681,1.178
115,0.260,0.255,0.665,1.180
116,0.259,0.254,0.675,1.188
117,0.249,0.243,0.674,1.165
118,0.254,0.240,0.708,1.202
119,0.312,0.323,0.787,1.422
120,0.382,0.349,0.794,1.525
121,0.409,0.270,0.712,1.391
122,0.264,0.242,0.682,1.187
123,0.257,0.247,0.683,1.186
124,0.255,0.260,0.668,1.183
125,0.258,0.239,0.690,1.186
126,0.281,0.256,0.691,1.228
127,0.273,0.249,0.678,1.200
128,0.286,0.259,0.674,1.220
129,0.294,0.252,0.692,1.238
130,0.250,0.239,0.675,1.165
131,0.251,0.237,0.775,1.264
132,0.430,0.316,0.764,1.510
133,0.352,0.271,0.733,1.356
134,0.289,0.247,0.667,1.203
135,0.254,0.240,0.693,1.187
136,0.255,0.244,0.681,1.179
137,0.242,0.255,0.688,1.185
138,0.286,0.268,0.685,1.239
139,0.279,0.244,0.670,1.193
140,0.246,0.240,0.677,1.163
141,0.246,0.240,0.675,1.162
