Iteración,Tipo,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,"SHAKE-128, robust",19.593,135.671,7.307,162.571
2,"SHAKE-128, robust",5.178,122.158,7.598,134.934
3,"SHAKE-128, robust",5.112,120.509,7.487,133.108
4,"SHAKE-128, robust",5.009,119.722,7.306,132.036
5,"SHAKE-128, robust",4.938,132.405,7.434,144.777
6,"SHAKE-128, robust",5.023,120.191,7.048,132.261
7,"SHAKE-128, robust",4.959,119.407,7.416,131.783
8,"SHAKE-128, robust",4.952,119.477,6.988,131.417
9,"SHAKE-128, robust",5.061,120.679,6.869,132.609
10,"SHAKE-128, robust",5.069,120.954,7.270,133.293
11,"SHAKE-128, robust",5.053,118.827,7.151,131.030
12,"SHAKE-128, robust",4.985,118.993,6.968,130.946
13,"SHAKE-128, robust",4.970,119.362,7.064,131.396
14,"SHAKE-128, robust",4.951,118.903,6.985,130.839
15,"SHAKE-128, robust",4.975,118.713,7.029,130.716
16,"SHAKE-128, robust",4.936,119.652,7.355,131.943
17,"SHAKE-128, robust",4.944,118.522,7.114,130.580
18,"SHAKE-128, robust",4.940,118.998,7.005,130.944
19,"SHAKE-128, robust",4.951,120.301,7.166,132.418
20,"SHAKE-128, robust",4.947,119.018,6.909,130.875
21,"SHAKE-128, robust",4.955,119.139,7.151,131.245
22,"SHAKE-128, robust",4.954,119.139,7.084,131.177
23,"SHAKE-128, robust",4.962,119.665,7.179,131.805
24,"SHAKE-128, robust",4.998,118.509,7.135,130.642
25,"SHAKE-128, robust",4.944,119.074,7.201,131.219
26,"SHAKE-128, robust",4.950,119.145,7.290,131.385
27,"SHAKE-128, robust",4.938,118.855,7.351,131.144
28,"SHAKE-128, robust",4.945,119.051,6.623,130.619
29,"SHAKE-128, robust",4.956,119.047,7.126,131.130
30,"SHAKE-128, robust",4.958,119.137,7.267,131.361
31,"SHAKE-128, robust",6.861,150.798,10.710,168.369
32,"SHAKE-128, robust",7.346,119.250,6.857,133.452
