Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
1,0.2606,0.5972,0.2678,0.1104,0.1439,0.9682,0.6723
2,0.2585,0.2539,0.3387,0.1099,0.1368,0.6223,0.7340
3,0.2664,0.1836,0.4028,0.1105,0.1432,0.5606,0.8124
4,0.2492,0.1857,0.8509,0.1083,0.1360,0.5432,1.2361
5,0.1998,0.1812,0.5368,0.1096,0.1474,0.4906,0.8840
6,0.2049,0.1799,0.2780,0.1250,0.1360,0.5099,0.6190
7,0.1884,0.2407,0.8747,0.1102,0.1426,0.5393,1.2057
8,0.1886,0.5617,0.4828,0.1103,0.1398,0.8605,0.8112
9,0.1992,0.4461,0.3893,0.1124,0.1541,0.7577,0.7426
10,0.1578,0.1810,0.2068,0.1091,0.1743,0.4480,0.5389
11,0.1808,0.6215,0.5462,0.1084,0.1365,0.9107,0.8635
12,0.1910,0.4794,0.4588,0.1154,0.1411,0.7858,0.7910
13,0.2417,0.2096,1.4006,0.1151,0.1432,0.5664,1.7854
14,0.2286,0.3228,0.2644,0.1595,0.1465,0.7109,0.6395
15,0.2055,0.1931,0.5213,0.1217,0.1508,0.5203,0.8776
16,0.2286,0.2621,0.3535,0.1098,0.1487,0.6005,0.7308
17,0.1998,0.6943,0.4158,0.1093,0.1599,1.0035,0.7755
18,0.2488,0.1820,0.5949,0.1307,0.1426,0.5614,0.9863
19,0.1893,0.4142,0.3937,0.1137,0.1407,0.7172,0.7237
20,0.2446,0.3609,0.2791,0.1137,0.1579,0.7192,0.6816
21,0.2103,0.3366,0.2287,0.1231,0.1406,0.6700,0.5796
22,0.1856,0.1899,0.8957,0.1213,0.1418,0.4968,1.2230
23,0.2251,0.4872,0.2151,0.1361,0.1375,0.8484,0.5777
24,0.2144,0.3803,0.7452,0.1127,0.1478,0.7074,1.1074
25,0.1950,0.1814,0.3819,0.1189,0.1360,0.4953,0.7129
26,0.2112,0.3104,0.3392,0.1184,0.1367,0.6400,0.6872
27,0.1680,0.5025,0.2039,0.1234,0.1373,0.7940,0.5092
28,0.1597,0.1806,0.4566,0.1078,0.1408,0.4481,0.7570
29,0.1493,0.8322,0.5303,0.1112,0.1405,1.0927,0.8201
30,0.1780,0.3187,0.4366,0.1469,0.1480,0.6436,0.7627
31,0.1546,0.1890,0.2061,0.1145,0.1526,0.4580,0.5133
32,0.1358,0.2469,0.3597,0.1226,0.1410,0.5054,0.6366
33,0.1363,0.3615,0.4292,0.1414,0.1640,0.6391,0.7296
34,0.1553,0.3379,1.3860,0.1124,0.1367,0.6057,1.6780
35,0.1651,0.1950,0.3474,0.1072,0.1363,0.4673,0.6489
36,0.1537,0.1769,0.2051,0.1085,0.1359,0.4392,0.4947
37,0.1678,0.7349,0.3701,0.1105,0.1411,1.0133,0.6791
38,0.2075,0.6451,0.3537,0.1294,0.1465,0.9820,0.7077
39,0.1870,0.2624,1.7068,0.1288,0.1578,0.5782,2.0516
40,0.2582,0.1912,0.2784,0.1085,0.1370,0.5579,0.6735
41,0.2424,0.5893,0.3399,0.1637,0.2042,0.9954,0.7866
42,0.1997,0.7524,0.5294,0.1153,0.1363,1.0674,0.8653
43,0.2054,0.5866,0.2095,0.1084,0.1401,0.9005,0.5550
44,0.1760,0.3117,0.2784,0.1205,0.1555,0.6083,0.6099
45,0.1701,0.4378,0.2270,0.1094,0.1370,0.7173,0.5341
46,0.1671,0.1762,0.3061,0.1093,0.1356,0.4526,0.6088
47,0.1767,0.2492,0.2217,0.1073,0.1356,0.5332,0.5341
48,0.1723,0.1780,0.3014,0.1082,0.1367,0.4586,0.6104
49,0.1704,0.5807,1.0841,0.1236,0.1372,0.8747,1.3917
50,0.1986,0.3654,0.7417,0.1277,0.1358,0.6918,1.0761
51,0.1790,0.3512,0.2192,0.1254,0.1368,0.6556,0.5350
52,0.1681,0.2113,0.4217,0.1193,0.1462,0.4987,0.7360
