Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
53,0.1671,0.5215,0.3344,0.1242,0.1408,0.8129,0.6424
54,0.1352,0.1789,0.2582,0.1103,0.1375,0.4244,0.5309
55,0.1299,0.1736,0.3262,0.1070,0.1516,0.4106,0.6078
56,0.1272,0.2430,0.6946,0.1315,0.1379,0.5017,0.9597
57,0.1373,1.3445,0.3958,0.1121,0.1371,1.5939,0.6702
58,0.1535,0.8291,0.2168,0.1088,0.1365,1.0914,0.5069
59,0.1346,0.5678,0.2063,0.1064,0.1352,0.8088,0.4761
60,0.1377,0.1725,0.2188,0.1061,0.1360,0.4162,0.4925
61,0.1370,0.2406,0.5777,0.1079,0.1384,0.4855,0.8532
62,0.1456,0.1908,0.2733,0.1117,0.1521,0.4480,0.5710
63,0.1374,0.4218,0.2040,0.1085,0.1372,0.6677,0.4787
64,0.1496,0.2560,0.2784,0.1070,0.1356,0.5127,0.5635
65,0.1868,0.2952,0.3280,0.1072,0.1361,0.5891,0.6509
66,0.2162,0.3507,0.8646,0.1511,0.1874,0.7180,1.2682
67,0.2488,1.1786,0.2154,0.1208,0.1504,1.5482,0.6145
68,0.1952,0.2460,0.2040,0.1207,0.1375,0.5619,0.5367
69,0.1363,0.1730,0.8064,0.1123,0.1368,0.4216,1.0795
70,0.1555,0.3824,0.3146,0.1094,0.1367,0.6472,0.6069
71,0.1558,0.5874,0.4601,0.1091,0.1410,0.8523,0.7568
72,0.1748,0.4297,0.4568,0.1103,0.1407,0.7147,0.7724
73,0.2047,0.1749,1.0464,0.1122,0.1417,0.4918,1.3927
74,0.1820,0.1903,0.6956,0.1080,0.1485,0.4803,1.0261
75,0.1919,0.6754,0.6985,0.1120,0.1477,0.9793,1.0381
76,0.2076,1.9779,0.5136,0.1978,0.2027,2.3833,0.9239
77,0.2677,0.9293,0.8873,0.1564,0.1877,1.3534,1.3427
78,0.2667,0.2552,0.2897,0.1767,0.1925,0.6986,0.7489
79,0.2773,0.3005,0.3024,0.1588,0.1997,0.7366,0.7794
80,0.2767,0.3804,1.3804,0.1651,0.2157,0.8222,1.8729
81,0.2494,0.3641,0.3003,0.1462,0.1889,0.7597,0.7386
82,0.2476,0.6475,0.3804,0.1590,0.1916,1.0541,0.8196
83,0.2765,0.3371,1.3557,0.1771,0.2010,0.7908,1.8332
84,0.2458,0.2916,0.9577,0.1638,0.1959,0.7012,1.3995
85,0.2525,0.9483,1.3113,0.1602,0.1932,1.3610,1.7571
86,0.2702,0.3441,0.4717,0.1795,0.1944,0.7938,0.9363
87,0.2666,1.2433,0.3938,0.1649,0.2042,1.6748,0.8646
88,0.2615,0.4546,1.0255,0.1868,0.2012,0.9029,1.4881
89,0.2573,1.0799,0.4915,0.1803,0.1891,1.5175,0.9379
90,0.2675,1.0199,1.3639,0.1496,0.1914,1.4370,1.8228
91,0.2606,0.5136,0.5763,0.1557,0.1959,0.9299,1.0329
92,0.2372,0.6362,0.5242,0.1112,0.1412,0.9846,0.9026
93,0.1914,0.4698,0.2602,0.1289,0.1479,0.7901,0.5995
94,0.1841,0.2512,0.5413,0.1138,0.1370,0.5491,0.8625
95,0.2788,0.4151,0.8229,0.1160,0.1406,0.8098,1.2423
96,0.2481,0.2374,0.2047,0.1127,0.1448,0.5982,0.5976
97,0.2086,1.0826,1.0894,0.1670,0.2043,1.4582,1.5023
98,0.2815,2.2426,0.2165,0.1121,0.1379,2.6362,0.6359
99,0.2367,0.4452,0.5134,0.1154,0.1720,0.7974,0.9221
100,0.2008,0.6860,0.2106,0.1283,0.1659,1.0151,0.5773
101,0.2064,0.3257,0.2894,0.1418,0.1727,0.6739,0.6686
102,0.2246,0.4052,0.2076,0.1103,0.1408,0.7401,0.5730
103,0.2121,0.1815,0.2087,0.1106,0.1371,0.5043,0.5579
104,0.1849,0.3448,0.2696,0.1152,0.1567,0.6449,0.6112
105,0.2032,0.2483,0.3264,0.1098,0.1409,0.5612,0.6704
106,0.2063,0.3268,0.4167,0.1173,0.1425,0.6505,0.7655
107,0.2330,0.6417,0.4473,0.1528,0.1382,1.0276,0.8185
108,0.1953,0.2638,0.3341,0.1168,0.1413,0.5759,0.6707
109,0.2469,0.3714,0.3639,0.1164,0.1452,0.7347,0.7560
110,0.1977,0.3016,0.3937,0.1146,0.1441,0.6139,0.7355
111,0.2464,0.2099,0.5759,0.1336,0.1370,0.5900,0.9594
112,0.2012,1.1501,0.3004,0.1361,0.1813,1.4874,0.6828
113,0.2163,0.3309,1.5935,0.1179,0.1599,0.6651,1.9698
114,0.2056,0.4393,0.3544,0.1164,0.1378,0.7613,0.6978
115,0.2163,0.3136,0.4195,0.1136,0.1388,0.6435,0.7746
116,0.2152,0.2509,0.3509,0.1316,0.1548,0.5977,0.7209
117,0.1943,0.6238,0.2360,0.1440,0.1815,0.9621,0.6118
118,0.2597,0.2470,0.4832,0.1597,0.1648,0.6663,0.9076
119,0.2587,0.3593,0.4748,0.1132,0.1374,0.7312,0.8709
120,0.2131,0.2575,0.4424,0.1131,0.1371,0.5837,0.7926
121,0.2536,0.3994,0.8873,0.1702,0.2152,0.8233,1.3562
122,0.2650,1.1855,0.5681,0.1565,0.2176,1.6070,1.0507
123,0.2535,0.4155,0.4939,0.1656,0.2038,0.8347,0.9512
124,0.2419,0.8341,0.8725,0.1697,0.2083,1.2457,1.3227
125,0.2431,0.3733,0.2978,0.1562,0.2204,0.7725,0.7613
126,0.2556,0.4578,0.7162,0.1757,0.2185,0.8891,1.1903
127,0.2416,0.5403,1.4790,0.1720,0.2073,0.9539,1.9280
128,0.2520,0.4246,0.7293,0.1683,0.2054,0.8449,1.1868
129,0.3010,0.2779,0.3340,0.1657,0.2033,0.7445,0.8382
130,0.2442,0.8686,0.3486,0.1711,0.2089,1.2839,0.8017
131,0.2499,0.4640,0.2980,0.1493,0.1868,0.8633,0.7348
132,0.2244,0.4787,0.5304,0.1604,0.2028,0.8634,0.9576
133,0.2347,0.3790,0.6946,0.1715,0.2060,0.7853,1.1353
134,0.2485,1.7121,0.7153,0.1676,0.2047,2.1283,1.1686
135,0.2354,0.3541,0.3010,0.1743,0.2091,0.7639,0.7454
136,0.2182,1.0796,0.6128,0.1660,0.2042,1.4637,1.0351
137,0.2501,0.2812,0.5039,0.1948,0.2019,0.7261,0.9559
138,0.2311,0.5197,0.6194,0.1814,0.2080,0.9323,1.0585
139,0.2401,0.3104,0.2893,0.1532,0.2072,0.7036,0.7366
140,0.2334,0.7026,0.5085,0.1657,0.2019,1.1017,0.9438
141,0.2381,0.3770,0.6446,0.1685,0.2074,0.7836,1.0900
142,0.2386,0.4176,0.5089,0.1723,0.2017,0.8285,0.9492
143,0.2339,0.4062,0.7697,0.1618,0.2246,0.8020,1.2282
144,0.2286,0.2655,0.8187,0.1704,0.2201,0.6644,1.2675
145,0.2311,1.0939,0.3021,0.1769,0.2030,1.5019,0.7361
146,0.2302,0.2982,0.4947,0.1694,0.2028,0.6978,0.9277
147,0.2330,1.0312,0.4277,0.1691,0.2161,1.4333,0.8769
148,0.2408,1.2248,1.2283,0.1700,0.1947,1.6356,1.6638
149,0.2265,0.8080,0.6255,0.1714,0.2068,1.2059,1.0588
150,0.2561,0.2450,0.2920,0.1543,0.2031,0.6554,0.7512
151,0.2318,0.4585,0.8288,0.1634,0.2122,0.8537,1.2728
152,0.2293,0.5758,0.7220,0.1924,0.1970,0.9975,1.1483
153,0.2221,0.3668,0.3104,0.1701,0.2050,0.7590,0.7375
154,0.2583,0.5791,0.5271,0.1683,0.1985,1.0056,0.9838
155,0.2606,0.4022,0.9388,0.1778,0.2096,0.8406,1.4090
156,0.2260,0.4566,0.7791,0.1682,0.1993,0.8507,1.2044
157,0.2248,0.6790,1.0623,0.1672,0.2055,1.0710,1.4926
158,0.2492,0.3130,1.1616,0.1721,0.2064,0.7344,1.6173
159,0.2620,0.4625,0.6994,0.1657,0.1923,0.8903,1.1538
160,0.2457,0.9897,0.3264,0.1666,0.2044,1.4020,0.7764
161,0.2207,0.7636,0.2093,0.1146,0.1379,1.0989,0.5679
162,0.1936,0.2671,0.4400,0.1112,0.1371,0.5719,0.7707
163,0.1876,0.1764,0.4429,0.1089,0.1483,0.4729,0.7788
164,0.1517,0.2469,0.2098,0.1105,0.1416,0.5091,0.5030
165,0.2087,0.3449,0.4085,0.1130,0.1506,0.6666,0.7678
166,0.2604,0.1785,0.3355,0.1059,0.1371,0.5448,0.7331
167,0.1414,0.3771,0.3251,0.1121,0.1364,0.6306,0.6028
168,0.1455,0.1888,0.4703,0.1102,0.1379,0.4445,0.7537
169,0.1748,1.2953,0.2135,0.1138,0.1354,1.5839,0.5237
170,0.1841,0.1741,1.5027,0.1312,0.1381,0.4894,1.8249
171,0.1962,0.2325,0.9865,0.1124,0.1417,0.5411,1.3244
172,0.1776,0.3555,0.2038,0.1146,0.1531,0.6477,0.5345
173,0.1638,0.2892,0.3399,0.1111,0.1354,0.5641,0.6391
174,0.1889,0.1837,0.4900,0.1097,0.1475,0.4823,0.8264
175,0.1857,0.1765,1.6582,0.1153,0.1463,0.4775,1.9902
176,0.2066,0.2371,0.2743,0.1144,0.1539,0.5581,0.6347
177,0.1908,0.2488,0.2758,0.1449,0.1370,0.5844,0.6036
178,0.1994,0.2373,0.5308,0.1073,0.1406,0.5440,0.8707
179,0.1746,0.4750,1.1362,0.1181,0.1418,0.7677,1.4526
180,0.2201,0.5557,0.2754,0.1208,0.1479,0.8966,0.6435
181,0.1885,0.2285,0.3626,0.1118,0.1360,0.5287,0.6872
182,0.1772,0.1753,0.3221,0.1075,0.1358,0.4601,0.6352
183,0.1734,0.2561,0.5895,0.1127,0.1367,0.5422,0.8996
184,0.1757,0.2409,0.6442,0.1122,0.1407,0.5289,0.9606
185,0.1765,0.1981,0.5429,0.1124,0.1406,0.4870,0.8600
186,0.1850,0.5395,0.5775,0.1156,0.1361,0.8401,0.8986
187,0.1956,0.4735,0.4330,0.1386,0.1846,0.8077,0.8133
188,0.2312,0.4308,0.4588,0.1588,0.1872,0.8208,0.8772
189,0.2456,0.7746,0.8406,0.1558,0.1906,1.1759,1.2768
190,0.2399,0.4290,0.4883,0.1504,0.1907,0.8193,0.9189
191,0.2645,0.2515,0.5581,0.1646,0.1833,0.6807,1.0059
192,0.2537,1.5354,0.3054,0.1551,0.1931,1.9442,0.7522
193,0.2378,0.2639,0.7033,0.1628,0.2868,0.6645,1.2279
194,0.2625,0.4693,0.5035,0.2256,0.1436,0.9574,0.9096
195,0.1982,0.4638,0.3331,0.1065,0.1390,0.7685,0.6703
196,0.1565,0.1724,0.2768,0.1193,0.1389,0.4481,0.5722
197,0.1486,0.2278,0.4357,0.1090,0.1455,0.4854,0.7298
198,0.1402,0.1714,0.5824,0.1067,0.1344,0.4183,0.8570
199,0.1429,0.3082,0.2163,0.1050,0.1345,0.5561,0.4937
200,0.1377,0.1872,0.5800,0.1049,0.1345,0.4298,0.8522
201,0.1483,0.8394,0.6191,0.1115,0.1350,1.0993,0.9024
202,0.1976,0.1770,0.2722,0.1053,0.1384,0.4799,0.6081
203,0.1657,0.1841,0.4083,0.1073,0.1344,0.4571,0.7084
204,0.1896,0.8717,0.2825,0.1158,0.1353,1.1770,0.6074
205,0.1831,0.1770,0.3429,0.1087,0.1391,0.4687,0.6651
206,0.1653,0.1748,0.2182,0.1227,0.1384,0.4628,0.5219
207,0.1622,0.1748,0.2711,0.1191,0.1383,0.4561,0.5716
208,0.1650,0.1759,0.2791,0.1246,0.1346,0.4654,0.5786
209,0.1956,0.3912,0.2039,0.1097,0.1342,0.6965,0.5336
210,0.1688,0.4890,0.7920,0.1085,0.1384,0.7663,1.0993
211,0.1946,0.3973,0.4487,0.1131,0.1342,0.7050,0.7775
212,0.1982,0.5751,0.6631,0.1105,0.1392,0.8838,1.0005
213,0.1865,0.9330,1.4778,0.1202,0.1344,1.2396,1.7987
214,0.2130,0.3082,0.6461,0.1163,0.1538,0.6376,1.0129
215,0.1926,0.6916,0.7086,0.1203,0.1351,1.0045,1.0363
216,0.1931,0.1765,0.5361,0.1102,0.1385,0.4798,0.8677
217,0.1800,0.1727,0.4554,0.1250,0.1358,0.4777,0.7713
218,0.1723,0.1979,0.2823,0.1046,0.1335,0.4748,0.5881
219,0.1735,0.4087,0.2038,0.1046,0.1386,0.6868,0.5160
220,0.1691,0.3049,0.7855,0.1057,0.1346,0.5797,1.0893
221,0.1686,0.1769,0.7493,0.1046,0.1345,0.4501,1.0524
222,0.1894,0.1758,1.2904,0.1203,0.1389,0.4855,1.6187
223,0.2105,0.2941,0.5772,0.1070,0.1342,0.6117,0.9219
224,0.2105,0.1837,0.3716,0.1113,0.1337,0.5055,0.7158
225,0.1943,0.2462,0.4390,0.1069,0.1335,0.5474,0.7668
226,0.1848,0.3637,0.5835,0.1064,0.1387,0.6549,0.9070
227,0.1796,0.2418,0.4905,0.1236,0.1356,0.5450,0.8057
228,0.2331,0.2490,0.4547,0.1498,0.2209,0.6319,0.9087
229,0.2451,0.2449,0.5618,0.1115,0.1388,0.6014,0.9457
230,0.2161,0.2628,0.5615,0.1081,0.1459,0.5870,0.9235
231,0.1747,0.3390,0.2949,0.1083,0.1384,0.6220,0.6080
232,0.1528,0.7377,0.2694,0.1159,0.1379,1.0063,0.5600
233,0.1699,0.3003,1.1761,0.1135,0.1394,0.5837,1.4854
234,0.2056,0.3117,0.2597,0.1103,0.1554,0.6277,0.6207
235,0.1762,0.3873,0.4237,0.1267,0.1446,0.6902,0.7445
236,0.2049,0.2656,0.2641,0.1062,0.1350,0.5767,0.6040
237,0.1891,0.1927,0.2018,0.1071,0.1578,0.4889,0.5487
238,0.2253,0.2857,0.4489,0.1080,0.1383,0.6190,0.8125
239,0.2255,0.2066,0.4587,0.1237,0.1392,0.5558,0.8234
240,0.2052,0.1831,0.4016,0.1154,0.1388,0.5037,0.7456
241,0.2506,0.2948,0.2833,0.1432,0.1595,0.6886,0.6933
242,0.2311,1.3116,0.3379,0.1144,0.1705,1.6572,0.7396
243,0.2570,0.9602,0.3907,0.1673,0.1879,1.3845,0.8356
244,0.2446,0.2762,0.4101,0.1551,0.1880,0.6759,0.8427
245,0.2534,0.3542,0.4042,0.1519,0.1933,0.7595,0.8510
246,0.2463,1.3276,0.4871,0.1534,0.2117,1.7274,0.9451
247,0.2563,0.5499,0.3847,0.1772,0.1916,0.9834,0.8326
248,0.2752,0.6982,0.4119,0.1567,0.1861,1.1301,0.8732
249,0.2682,0.2618,0.6975,0.1516,0.2017,0.6816,1.1674
250,0.2467,1.4963,0.9245,0.1616,0.1923,1.9046,1.3635
251,0.2803,0.6132,0.3136,0.1516,0.1940,1.0451,0.7879
252,0.2558,0.2807,0.8559,0.1570,0.1915,0.6935,1.3032
253,0.2314,0.3831,0.6735,0.1529,0.2269,0.7673,1.1317
254,0.2368,0.6668,0.7945,0.1520,0.1938,1.0557,1.2252
255,0.2474,0.2796,0.3823,0.1533,0.1961,0.6802,0.8257
256,0.2549,0.2563,0.5000,0.1520,0.1904,0.6632,0.9453
257,0.2554,0.4641,0.5556,0.1715,0.1905,0.8910,1.0015
258,0.2521,0.3814,0.3987,0.1633,0.1957,0.7969,0.8465
259,0.2476,1.1719,0.3881,0.1701,0.1954,1.5895,0.8310
260,0.2515,1.4017,0.3377,0.1131,0.1396,1.7663,0.7288
261,0.2430,0.3607,0.4005,0.1144,0.1408,0.7180,0.7843
262,0.2105,0.3592,0.3413,0.1074,0.1346,0.6772,0.6865
263,0.1919,0.3007,0.2638,0.1333,0.1568,0.6259,0.6125
264,0.2447,0.4072,0.4163,0.1237,0.1409,0.7755,0.8019
265,0.1914,0.4043,0.3135,0.1128,0.1388,0.7085,0.6437
266,0.1931,0.2183,0.3601,0.1170,0.1384,0.5283,0.6916
267,0.2380,0.9921,0.6118,0.1085,0.1402,1.3386,0.9899
268,0.2000,0.1792,0.2450,0.1133,0.1592,0.4925,0.6042
269,0.2158,0.2338,0.3455,0.1495,0.1590,0.5992,0.7203
270,0.2001,0.4444,0.4126,0.1100,0.1342,0.7544,0.7469
271,0.2291,0.2435,0.2631,0.1163,0.1395,0.5890,0.6317
272,0.1926,0.4589,0.4148,0.1181,0.1393,0.7695,0.7467
273,0.1618,0.5835,0.2639,0.1065,0.1516,0.8518,0.5774
274,0.1495,0.4240,0.2028,0.1044,0.1499,0.6779,0.5023
275,0.1356,0.1729,0.2594,0.1024,0.1530,0.4109,0.5480
276,0.1159,0.3635,0.2599,0.1038,0.1620,0.5832,0.5378
277,0.1208,0.3010,0.2188,0.1037,0.1522,0.5255,0.4918
278,0.1669,0.9267,0.3037,0.1575,0.1940,1.2511,0.6646
279,0.2444,0.2829,0.2890,0.1260,0.1388,0.6533,0.6723
280,0.1661,0.4545,0.6005,0.1107,0.1729,0.7313,0.9395
281,0.1881,0.2473,0.7279,0.1099,0.1354,0.5453,1.0515
282,0.2225,0.3440,0.2200,0.1094,0.1383,0.6759,0.5807
283,0.2143,0.7061,0.9769,0.1144,0.1351,1.0348,1.3263
284,0.1913,0.4928,0.2596,0.1058,0.1474,0.7899,0.5983
285,0.1894,0.1765,0.4366,0.1179,0.1346,0.4838,0.7606
286,0.1829,0.7781,0.8212,0.1238,0.1343,1.0848,1.1384
287,0.2026,0.1787,0.4107,0.1084,0.1557,0.4897,0.7690
288,0.1790,0.3051,0.7195,0.1405,0.1470,0.6246,1.0455
289,0.2140,0.1778,0.3462,0.1182,0.1401,0.5099,0.7002
290,0.2229,0.1952,0.3481,0.1560,0.1628,0.5742,0.7338
291,0.2054,0.1798,0.3778,0.1123,0.1393,0.4974,0.7225
292,0.1882,0.4331,0.3552,0.1126,0.1399,0.7340,0.6832
293,0.2292,0.3025,0.2054,0.1282,0.1401,0.6599,0.5747
294,0.1838,0.3045,0.4823,0.1091,0.1361,0.5975,0.8022
295,0.2145,0.2524,0.3000,0.1180,0.1391,0.5849,0.6536
296,0.1806,0.3299,0.3069,0.1233,0.1393,0.6338,0.6268
297,0.1960,0.4028,0.7692,0.1386,0.1625,0.7375,1.1277
298,0.1924,0.2842,0.6248,0.1225,0.1382,0.5992,0.9555
299,0.1941,0.6961,0.2075,0.1136,0.1346,1.0038,0.5362
300,0.2142,0.3735,0.2722,0.1101,0.1519,0.6978,0.6383
301,0.1764,0.6156,0.2086,0.1073,0.1422,0.8992,0.5272
302,0.1772,0.3287,0.6449,0.1138,0.1506,0.6197,0.9726
303,0.1871,1.0016,0.2599,0.1127,0.1398,1.3013,0.5867
304,0.1685,0.1785,0.5362,0.1151,0.1389,0.4621,0.8437
305,0.1648,0.1850,1.2143,0.1124,0.1354,0.4621,1.5145
306,0.1882,0.1799,0.2870,0.1078,0.1351,0.4759,0.6103
307,0.1717,0.5990,0.2720,0.1132,0.1337,0.8839,0.5774
308,0.2109,0.7750,0.7259,0.1082,0.1346,1.0942,1.0715
309,0.1984,0.2439,0.3284,0.1275,0.1414,0.5698,0.6681
310,0.1716,0.4777,0.5190,0.1070,0.1346,0.7563,0.8252
311,0.1947,0.2447,0.5052,0.1076,0.1472,0.5470,0.8472
312,0.1741,0.4397,0.4656,0.1072,0.1390,0.7210,0.7786
313,0.1724,0.6253,0.3785,0.1266,0.1397,0.9244,0.6907
314,0.1755,0.4118,0.6048,0.1119,0.1384,0.6992,0.9186
315,0.2061,0.1882,0.2099,0.1114,0.1389,0.5057,0.5549
316,0.1817,0.2856,1.0490,0.1101,0.1399,0.5774,1.3707
317,0.1914,0.2958,0.4289,0.1061,0.1500,0.5933,0.7703
318,0.1613,0.2972,0.5195,0.1080,0.1379,0.5665,0.8188
319,0.1799,0.2614,0.2878,0.1072,0.1347,0.5484,0.6024
320,0.1755,0.3358,0.2075,0.1113,0.1342,0.6226,0.5171
321,0.1694,0.2657,0.4939,0.1251,0.1452,0.5601,0.8084
322,0.1742,0.1747,0.3819,0.1217,0.1435,0.4705,0.6996
323,0.1685,0.4793,0.3000,0.1102,0.1342,0.7580,0.6027
324,0.1685,0.3136,0.3371,0.1071,0.1339,0.5892,0.6396
325,0.1724,2.4521,0.2123,0.1100,0.1356,2.7345,0.5203
326,0.2144,0.2461,0.4700,0.1108,0.1346,0.5714,0.8191
327,0.1845,0.4374,0.2753,0.1049,0.1347,0.7268,0.5946
328,0.1741,0.2364,0.2638,0.1199,0.1391,0.5303,0.5770
329,0.1495,0.7860,0.3302,0.1110,0.1434,1.0465,0.6230
330,0.1564,0.3171,1.5930,0.1347,0.1388,0.6083,1.8883
331,0.2459,0.5981,0.6192,0.1386,0.1718,0.9825,1.0369
332,0.2369,0.2759,0.2038,0.1140,0.1342,0.6268,0.5749
333,0.2114,0.3754,0.2336,0.1084,0.1336,0.6952,0.5786
334,0.2215,0.3441,0.2763,0.1126,0.1376,0.6781,0.6354
335,0.1778,0.2564,0.3831,0.1094,0.1351,0.5436,0.6959
336,0.1507,0.7620,0.2998,0.1106,0.1382,1.0234,0.5887
337,0.2005,0.9442,0.2368,0.1291,0.1420,1.2737,0.5793
338,0.1889,0.1776,0.2033,0.1204,0.1382,0.4868,0.5304
339,0.1738,0.5537,0.2689,0.1050,0.1344,0.8325,0.5772
340,0.1628,0.3121,0.3849,0.1106,0.1487,0.5855,0.6964
341,0.1457,0.4503,0.2079,0.1147,0.1392,0.7107,0.4928
342,0.1437,0.3573,0.4899,0.1458,0.1737,0.6468,0.8073
343,0.2362,0.4458,0.2156,0.1149,0.1425,0.7969,0.5943
344,0.1803,0.1972,0.3517,0.1402,0.2263,0.5177,0.7583
345,0.2374,0.5415,0.2930,0.1510,0.1938,0.9299,0.7241
346,0.2338,0.3854,0.5034,0.1175,0.1379,0.7366,0.8750
347,0.2463,0.2672,0.9578,0.1602,0.1903,0.6737,1.3943
348,0.2577,1.1618,0.3742,0.1578,0.2001,1.5773,0.8319
349,0.2491,0.4406,0.3035,0.1715,0.1867,0.8612,0.7393
350,0.2415,0.3853,0.4246,0.1604,0.1670,0.7872,0.8331
351,0.2369,0.6755,0.8762,0.1551,0.2042,1.0675,1.3173
352,0.2011,0.1798,0.4596,0.1135,0.1409,0.4944,0.8016
353,0.1755,0.5431,0.2745,0.1082,0.1392,0.8268,0.5891
354,0.1990,0.2100,0.2720,0.2036,0.2116,0.6127,0.6827
355,0.2611,0.2488,0.3276,0.1671,0.2045,0.6769,0.7931
356,0.2385,0.6338,0.3116,0.1650,0.1945,1.0374,0.7446
357,0.2238,0.5673,0.2076,0.1121,0.1333,0.9032,0.5647
358,0.1670,0.6030,0.2961,0.1131,0.1479,0.8831,0.6110
359,0.1727,0.3566,0.2038,0.1175,0.1355,0.6468,0.5119
360,0.1697,0.3749,0.2286,0.1079,0.1381,0.6524,0.5364
361,0.1513,0.2936,0.4698,0.1046,0.1346,0.5495,0.7557
362,0.2521,0.4383,0.2024,0.1077,0.1625,0.7981,0.6170
363,0.1729,0.4141,0.5451,0.1096,0.1335,0.6965,0.8514
364,0.1279,0.3659,0.2062,0.1041,0.1358,0.5980,0.4699
365,0.1203,0.3636,0.2669,0.1096,0.1388,0.5934,0.5259
366,0.1484,0.3074,0.2696,0.1075,0.1338,0.5634,0.5518
367,0.1852,0.5984,0.5303,0.1114,0.1397,0.8950,0.8553
368,0.1855,0.6076,0.5034,0.1092,0.1495,0.9023,0.8384
369,0.1915,0.2998,0.2031,0.1213,0.1341,0.6126,0.5287
370,0.1442,0.3077,0.2237,0.1035,0.1381,0.5554,0.5059
371,0.1245,0.1731,0.2073,0.1238,0.1380,0.4214,0.4698
372,0.1467,0.4464,0.6760,0.1056,0.1382,0.6986,0.9609
