Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
672,0.155,0.134,0.294,0.582
673,0.184,0.143,0.300,0.628
674,0.156,0.131,0.349,0.636
675,0.169,0.134,0.292,0.595
676,0.171,0.136,0.299,0.606
677,0.158,0.167,0.334,0.659
678,0.160,0.131,0.298,0.589
679,0.164,0.138,0.339,0.641
680,0.183,0.160,0.325,0.668
681,0.191,0.144,0.333,0.669
682,0.296,0.176,0.383,0.855
683,0.233,0.164,0.321,0.718
684,0.239,0.171,0.345,0.755
685,0.239,0.143,0.305,0.688
686,0.153,0.127,0.307,0.587
687,0.187,0.146,0.368,0.701
688,0.186,0.141,0.300,0.627
689,0.182,0.152,0.308,0.643
690,0.171,0.130,0.329,0.630
691,0.144,0.132,0.290,0.565
692,0.138,0.140,0.293,0.572
693,0.138,0.137,0.296,0.571
694,0.158,0.133,0.311,0.603
695,0.140,0.130,0.313,0.583
696,0.149,0.129,0.289,0.566
697,0.139,0.139,0.298,0.576
698,0.141,0.140,0.301,0.582
699,0.141,0.131,0.295,0.566
700,0.139,0.132,0.305,0.576
701,0.147,0.132,0.300,0.579
702,0.199,0.143,0.299,0.640
703,0.155,0.133,0.319,0.607
704,0.186,0.137,0.320,0.643
705,0.201,0.166,0.415,0.782
706,0.264,0.174,0.329,0.767
707,0.238,0.152,0.318,0.708
708,0.315,0.166,0.327,0.808
709,0.159,0.127,0.318,0.605
710,0.145,0.124,0.287,0.555
711,0.197,0.135,0.303,0.635
712,0.168,0.145,0.329,0.642
713,0.171,0.139,0.349,0.659
714,0.199,0.146,0.308,0.653
715,0.169,0.146,0.294,0.609
716,0.158,0.131,0.309,0.598
717,0.154,0.137,0.308,0.599
718,0.194,0.151,0.312,0.657
719,0.154,0.130,0.305,0.590
720,0.172,0.160,0.301,0.633
721,0.149,0.148,0.310,0.606
722,0.168,0.168,0.348,0.684
723,0.184,0.140,0.305,0.630
724,0.217,0.135,0.302,0.654
725,0.145,0.127,0.315,0.586
726,0.153,0.130,0.293,0.576
727,0.182,0.135,0.305,0.622
728,0.175,0.141,0.324,0.640
729,0.285,0.220,0.365,0.870
730,0.236,0.169,0.339,0.744
731,0.222,0.188,0.344,0.753
732,0.229,0.143,0.301,0.673
733,0.146,0.124,0.309,0.578
734,0.141,0.126,0.293,0.559
735,0.146,0.126,0.293,0.565
736,0.138,0.142,0.303,0.582
737,0.162,0.131,0.289,0.582
738,0.137,0.140,0.296,0.573
739,0.137,0.134,0.290,0.561
740,0.148,0.129,0.299,0.576
741,0.136,0.135,0.301,0.572
742,0.140,0.139,0.290,0.570
743,0.137,0.139,0.288,0.564
744,0.139,0.124,0.299,0.562
745,0.151,0.127,0.288,0.567
746,0.155,0.127,0.309,0.591
747,0.166,0.136,0.293,0.595
748,0.153,0.126,0.327,0.607
749,0.139,0.128,0.323,0.590
750,0.179,0.148,0.296,0.623
751,0.144,0.145,0.293,0.582
752,0.174,0.158,0.360,0.691
753,0.220,0.161,0.345,0.726
754,0.292,0.185,0.364,0.841
755,0.257,0.156,0.321,0.733
756,0.222,0.158,0.337,0.717
757,0.255,0.160,0.316,0.730
758,0.163,0.143,0.303,0.608
759,0.155,0.133,0.300,0.588
760,0.153,0.152,0.314,0.619
761,0.214,0.201,0.358,0.773
762,0.219,0.179,0.332,0.730
763,0.164,0.130,0.302,0.595
764,0.153,0.142,0.298,0.593
765,0.141,0.127,0.307,0.575
766,0.153,0.147,0.303,0.602
767,0.361,0.153,0.310,0.824
768,0.177,0.147,0.298,0.622
769,0.175,0.136,0.312,0.623
770,0.191,0.144,0.302,0.637
771,0.218,0.144,0.308,0.670
772,0.221,0.151,0.328,0.700
773,0.199,0.141,0.331,0.671
774,0.242,0.153,0.338,0.733
775,0.292,0.189,0.400,0.881
776,0.365,0.220,0.396,0.981
777,0.255,0.171,0.350,0.776
778,0.208,0.163,0.350,0.721
779,0.328,0.175,0.323,0.826
780,0.214,0.153,0.319,0.686
781,0.181,0.148,0.330,0.660
782,0.205,0.154,0.323,0.682
783,0.174,0.139,0.326,0.639
784,0.196,0.142,0.306,0.643
785,0.168,0.141,0.314,0.623
786,0.197,0.143,0.311,0.652
787,0.174,0.147,0.310,0.630
788,0.182,0.159,0.306,0.647
789,0.178,0.139,0.315,0.633
790,0.168,0.144,0.306,0.618
791,0.155,0.151,0.303,0.610
792,0.176,0.140,0.320,0.636
793,0.168,0.140,0.307,0.615
794,0.206,0.177,0.321,0.705
795,0.211,0.177,0.325,0.713
796,0.271,0.248,0.463,0.982
797,0.414,0.285,0.440,1.139
798,0.311,0.211,0.430,0.953
799,0.307,0.203,0.359,0.869
800,0.204,0.154,0.310,0.667
801,0.201,0.145,0.306,0.652
802,0.194,0.148,0.332,0.674
803,0.188,0.147,0.350,0.685
804,0.222,0.160,0.307,0.689
805,0.204,0.144,0.311,0.659
806,0.188,0.142,0.338,0.667
807,0.188,0.144,0.304,0.636
808,0.184,0.138,0.299,0.620
809,0.205,0.178,0.347,0.729
810,0.198,0.150,0.337,0.685
811,0.189,0.148,0.302,0.639
812,0.205,0.169,0.319,0.692
813,0.210,0.146,0.308,0.663
814,0.190,0.145,0.343,0.677
815,0.230,0.160,0.343,0.733
816,0.221,0.161,0.318,0.700
817,0.311,0.180,0.364,0.854
818,0.247,0.176,0.325,0.748
819,0.210,0.166,0.333,0.709
820,0.249,0.158,0.305,0.712
821,0.177,0.160,0.306,0.643
822,0.172,0.149,0.332,0.652
823,0.165,0.150,0.308,0.622
824,0.184,0.141,0.303,0.628
825,0.155,0.137,0.322,0.613
826,0.177,0.154,0.304,0.635
