Iteración,Tiempo Generación Claves (ms),Tiempo Firma Pequeña (ms),Tiempo Firma Grande (ms),Tiempo Verificación Pequeña (ms),Tiempo Verificación Grande (ms),Tiempo Total Pequeño (ms),Tiempo Total Grande (ms)
607,0.2875,0.5141,1.0521,0.1800,0.2302,0.9816,1.5699
608,0.3424,0.8756,0.3192,0.1904,0.2130,1.4084,0.8747
609,0.2607,0.5306,0.4408,0.1692,0.2178,0.9605,0.9193
610,0.2237,0.8905,0.4538,0.1692,0.2205,1.2834,0.8980
611,0.2395,0.2566,0.2878,0.1768,0.1981,0.6729,0.7254
612,0.2175,0.2530,0.3898,0.1676,0.1974,0.6381,0.8047
613,0.2056,0.2888,0.3575,0.1796,0.1981,0.6741,0.7613
614,0.2687,0.3526,0.4208,0.1753,0.1937,0.7966,0.8832
615,0.2327,1.4001,0.3750,0.1791,0.2355,1.8119,0.8433
616,0.2595,0.3529,0.4852,0.1657,0.1933,0.7781,0.9380
617,0.2780,0.9823,0.6479,0.1724,0.2104,1.4326,1.1362
618,0.3003,0.4056,0.2983,0.1648,0.1944,0.8708,0.7930
619,0.2695,1.7180,0.2912,0.1752,0.2073,2.1627,0.7680
620,0.2277,0.2540,0.3676,0.1739,0.1922,0.6556,0.7875
621,0.2016,0.6056,0.4628,0.1739,0.1938,0.9811,0.8582
622,0.2298,0.2868,0.4029,0.1694,0.2012,0.6860,0.8339
623,0.2621,0.3469,0.8326,0.1713,0.1974,0.7803,1.2921
624,0.2725,0.2602,0.4368,0.1775,0.2211,0.7103,0.9304
625,0.2999,0.5313,0.2854,0.1734,0.2195,1.0046,0.8048
626,0.3347,1.3731,0.7101,0.1882,0.2047,1.8960,1.2495
627,0.3019,0.4514,0.4657,0.1730,0.1982,0.9264,0.9658
628,0.2610,0.2725,0.5971,0.1793,0.2279,0.7128,1.0860
629,0.2515,0.5299,0.4450,0.1849,0.1985,0.9663,0.8949
630,0.2568,0.2641,0.8787,0.1659,0.2058,0.6868,1.3413
631,0.2701,0.3802,0.4879,0.1894,0.1976,0.8397,0.9555
632,0.2523,0.4730,0.5763,0.1698,0.2172,0.8951,1.0459
633,0.2750,0.9795,1.7537,0.2168,0.2307,1.4714,2.2594
634,0.3325,0.8483,0.6466,0.1917,0.2121,1.3724,1.1912
635,0.2912,0.4800,1.0016,0.1854,0.1926,0.9565,1.4854
636,0.2757,0.5167,1.8342,0.1877,0.1931,0.9802,2.3030
637,0.3008,0.8991,0.3133,0.1814,0.2031,1.3813,0.8172
638,0.2979,0.2580,1.1148,0.1843,0.2089,0.7402,1.6216
639,0.3293,1.2780,0.6381,0.1678,0.1976,1.7751,1.1651
640,0.3000,0.4113,0.4675,0.1839,0.1943,0.8953,0.9619
641,0.3101,0.3723,0.4308,0.1671,0.2366,0.8494,0.9775
642,0.2786,1.5369,0.2868,0.1847,0.1976,2.0002,0.7630
643,0.2521,0.5799,0.3932,0.1685,0.1976,1.0004,0.8429
644,0.2439,0.6660,0.2885,0.2002,0.2131,1.1101,0.7455
645,0.2587,0.9716,0.3742,0.1752,0.1931,1.4055,0.8260
646,0.2582,0.5231,1.9018,0.1653,0.1940,0.9466,2.3540
647,0.2432,0.5984,0.3607,0.1759,0.2012,1.0174,0.8051
648,0.2274,0.4575,0.8622,0.1942,0.2325,0.8791,1.3222
649,0.2977,0.6132,0.4819,0.1798,0.2107,1.0907,0.9903
650,0.2722,0.4376,0.7740,0.1691,0.2206,0.8789,1.2667
651,0.2434,0.5505,0.7021,0.1702,0.2132,0.9642,1.1587
652,0.2364,0.3306,0.5507,0.1700,0.1978,0.7369,0.9849
653,0.2406,0.2697,0.2880,0.1651,0.2172,0.6754,0.7458
654,0.2645,0.2568,0.2886,0.1697,0.2302,0.6910,0.7833
655,0.2573,0.9357,0.3907,0.1734,0.1941,1.3664,0.8421
656,0.2407,1.7655,0.4538,0.1681,0.2480,2.1744,0.9426
657,0.2906,0.9989,0.7069,0.1741,0.2002,1.4636,1.1977
658,0.3020,0.5927,0.4891,0.1710,0.1989,1.0656,0.9900
659,0.2659,0.2755,2.1929,0.1707,0.1974,0.7121,2.6561
660,0.2840,0.4978,0.9062,0.1817,0.2018,0.9635,1.3919
661,0.2770,0.4191,0.3557,0.1696,0.1939,0.8657,0.8266
662,0.2479,0.4908,0.3768,0.1693,0.2701,0.9080,0.8948
663,0.2840,0.3527,0.4174,0.1685,0.1976,0.8051,0.8990
664,0.2452,0.7963,0.6690,0.2140,0.3005,1.2555,1.2147
665,0.2870,0.7059,0.5430,0.1790,0.2219,1.1720,1.0519
666,0.2837,0.2658,0.4148,0.1673,0.1936,0.7168,0.8921
667,0.2940,0.4227,0.2912,0.1856,0.2128,0.9022,0.7980
668,0.2724,0.4410,0.2974,0.1703,0.1931,0.8838,0.7629
669,0.2982,0.4664,0.6843,0.1709,0.1940,0.9355,1.1766
670,0.3212,0.4777,0.8608,0.1986,0.1935,0.9976,1.3754
671,0.2959,0.7595,0.9158,0.1926,0.1972,1.2481,1.4089
672,0.3049,0.6864,0.6610,0.2168,0.1954,1.2082,1.1613
673,0.3058,0.9039,0.5414,0.1721,0.1939,1.3817,1.0411
674,0.3108,0.3602,0.4083,0.1683,0.1951,0.8392,0.9142
675,0.3137,0.5500,0.5915,0.1722,0.1998,1.0359,1.1051
676,0.2831,1.4044,0.3834,0.1687,0.2095,1.8562,0.8760
677,0.2772,1.3286,0.3985,0.1728,0.1940,1.7786,0.8697
678,0.3050,0.2578,0.6304,0.1970,0.1985,0.7597,1.1339
679,0.2759,0.4572,1.7163,0.1907,0.2054,0.9238,2.1975
680,0.2821,0.2703,0.2912,0.1666,0.1940,0.7189,0.7673
681,0.3051,0.2679,0.6164,0.1669,0.1928,0.7400,1.1143
682,0.2889,1.4276,0.2987,0.1681,0.1949,1.8846,0.7825
683,0.2972,0.6763,0.2913,0.1709,0.2242,1.1444,0.8126
684,0.3002,0.9123,0.2866,0.1680,0.1984,1.3806,0.7853
685,0.2960,0.2627,1.0846,0.1733,0.2082,0.7320,1.5887
686,0.2845,1.5980,0.3669,0.1672,0.1941,2.0497,0.8455
687,0.3133,1.3253,0.3835,0.2330,0.2611,1.8716,0.9579
688,0.3707,0.5169,0.3169,0.1884,0.2130,1.0760,0.9006
689,0.2856,0.7840,0.6837,0.1855,0.1991,1.2551,1.1685
690,0.3231,0.6873,0.3489,0.1710,0.2000,1.1814,0.8719
691,0.2847,0.3639,0.4640,0.1695,0.2080,0.8181,0.9566
692,0.3083,0.6644,0.4427,0.1708,0.2153,1.1436,0.9664
693,0.2937,0.4621,0.8178,0.1901,0.1952,0.9458,1.3067
694,0.2838,0.7642,0.4650,0.1857,0.1940,1.2337,0.9428
695,0.2827,0.2984,0.5196,0.1785,0.1980,0.7596,1.0003
696,0.3185,0.4654,0.3750,0.1686,0.1942,0.9526,0.8878
697,0.3207,0.6246,0.9799,0.2005,0.2140,1.1458,1.5146
698,0.2835,0.4956,1.6062,0.1993,0.1947,0.9784,2.0844
699,0.2859,0.3607,0.4004,0.2195,0.2033,0.8661,0.8897
700,0.3396,0.7868,0.7016,0.1833,0.1945,1.3096,1.2357
701,0.3102,0.3733,0.7128,0.2022,0.1935,0.8857,1.2166
702,0.3065,0.2854,0.6256,0.1894,0.2190,0.7812,1.1510
703,0.2588,1.1342,0.7128,0.2153,0.2513,1.6083,1.2228
704,0.3503,0.4527,0.3450,0.1781,0.2057,0.9811,0.9010
705,0.2732,0.2993,0.5210,0.1736,0.2191,0.7462,1.0134
706,0.2677,0.3700,0.3056,0.2161,0.1963,0.8538,0.7695
707,0.2968,0.3531,0.7931,0.1771,0.2093,0.8269,1.2991
708,0.3000,0.4792,0.5540,0.2297,0.2267,1.0088,1.0806
709,0.3561,0.2678,1.0349,0.1850,0.2035,0.8089,1.5945
710,0.2871,0.3542,0.4299,0.1725,0.2005,0.8138,0.9175
711,0.2657,0.3075,1.5640,0.1919,0.1990,0.7651,2.0288
712,0.2769,0.4874,1.5473,0.1896,0.2754,0.9538,2.0996
713,0.2937,1.2360,0.8014,0.1993,0.2511,1.7291,1.3462
714,0.2960,0.3419,0.5021,0.1815,0.2102,0.8193,1.0083
715,0.2773,0.5421,0.4179,0.1756,0.1952,0.9950,0.8903
716,0.2856,0.7299,0.3349,0.1714,0.1978,1.1869,0.8183
717,0.2840,0.6938,1.0870,0.1718,0.2114,1.1496,1.5825
718,0.2783,0.3531,0.4480,0.1762,0.1991,0.8077,0.9255
719,0.2935,0.9281,0.3676,0.1714,0.2099,1.3931,0.8710
720,0.3154,0.4739,0.8554,0.1724,0.2238,0.9617,1.3946
721,0.2747,0.2662,0.5876,0.1734,0.2005,0.7144,1.0629
722,0.2887,0.4970,0.5901,0.1665,0.1983,0.9522,1.0771
723,0.3193,0.3838,0.4790,0.1833,0.1998,0.8864,0.9981
724,0.2696,0.6305,0.5400,0.1699,0.2406,1.0699,1.0501
725,0.2763,0.2863,0.7626,0.1757,0.1995,0.7383,1.2384
726,0.2185,0.8498,1.3600,0.1839,0.2255,1.2522,1.8040
727,0.2376,0.4635,1.0670,0.1688,0.1975,0.8700,1.5021
728,0.2140,0.3434,0.6321,0.1957,0.2272,0.7530,1.0733
729,0.2503,0.4139,0.3241,0.1765,0.2155,0.8406,0.7898
730,0.2741,0.3389,1.3693,0.2091,0.1977,0.8221,1.8411
731,0.3338,0.6406,2.7112,0.2750,0.2663,1.2494,3.3113
732,0.3386,0.3846,0.8089,0.2515,0.2888,0.9747,1.4363
733,0.3332,1.7316,0.5593,0.2359,0.2980,2.3006,1.1904
734,0.3291,1.3648,0.4273,0.2408,0.2923,1.9347,1.0488
735,0.3294,0.7562,1.9876,0.2542,0.2960,1.3398,2.6130
736,0.3418,1.0378,0.5817,0.2690,0.3060,1.6486,1.2296
737,0.3357,0.6271,0.9601,0.2541,0.3049,1.2168,1.6006
738,0.3226,0.5196,0.7862,0.2840,0.3023,1.1263,1.4111
739,0.3501,0.3631,1.0987,0.2596,0.3053,0.9728,1.7541
740,0.3317,0.6483,0.6783,0.2684,0.2973,1.2484,1.3073
741,0.3358,1.4221,0.5292,0.2760,0.2965,2.0339,1.1615
742,0.3401,0.3985,0.4185,0.2728,0.2998,1.0114,1.0584
743,0.3283,3.1475,0.3106,0.1714,0.1979,3.6472,0.8368
744,0.3566,0.6699,1.1709,0.2712,0.2711,1.2976,1.7986
745,0.3369,1.4863,0.7124,0.2597,0.2958,2.0830,1.3451
746,0.3325,1.0537,0.3918,0.2570,0.2892,1.6432,1.0135
747,0.3390,0.5240,0.5369,0.2570,0.2812,1.1200,1.1572
748,0.3197,0.4174,0.6351,0.2668,0.2913,1.0040,1.2462
749,0.3276,0.3777,2.9635,0.2657,0.2072,0.9709,3.4982
750,0.2718,0.5491,0.3630,0.1680,0.1985,0.9890,0.8333
751,0.2629,0.2849,0.2877,0.1726,0.1938,0.7204,0.7444
752,0.2807,0.5143,1.2061,0.1823,0.2248,0.9773,1.7116
753,0.2675,1.5591,0.3125,0.2394,0.2011,2.0660,0.7811
754,0.2668,1.4023,0.6467,0.1718,0.2133,1.8410,1.1269
755,0.3203,0.4397,0.5692,0.1671,0.1926,0.9271,1.0821
756,0.2726,0.2553,0.5918,0.2104,0.2357,0.7383,1.1001
757,0.3343,0.7658,0.4370,0.1884,0.1976,1.2885,0.9689
758,0.2996,0.5214,0.3026,0.1684,0.2038,0.9894,0.8061
759,0.3422,0.4606,0.4725,0.1963,0.1972,0.9991,1.0118
760,0.3674,0.4506,0.2912,0.1745,0.1952,0.9925,0.8537
761,0.2834,0.2622,0.2946,0.1928,0.1947,0.7384,0.7727
762,0.3259,0.6581,0.7554,0.1737,0.2005,1.1577,1.2818
763,0.3366,0.9139,1.9207,0.1875,0.1940,1.4380,2.4514
764,0.3083,0.4398,0.4497,0.1683,0.2172,0.9165,0.9751
765,0.2883,0.4306,0.3048,0.1688,0.1928,0.8877,0.7859
766,0.2958,0.4283,0.7571,0.1687,0.1938,0.8929,1.2467
767,0.3174,1.2174,0.4870,0.2408,0.2089,1.7756,1.0134
