Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
96,falcon-512,pequeño,7.8541,0.9936,0.1289,8.9766
97,falcon-512,pequeño,12.8065,1.0267,0.1055,13.9386
98,falcon-512,pequeño,9.3002,1.0785,0.1055,10.4842
99,falcon-512,pequeño,8.1328,1.2487,0.1162,9.4976
100,falcon-512,pequeño,25.6845,1.0988,0.1319,26.9152
101,falcon-512,pequeño,7.5121,1.0426,0.1306,8.6853
102,falcon-512,pequeño,7.5660,1.1472,0.1199,8.8330
103,falcon-512,pequeño,8.4812,1.1148,0.1347,9.7307
104,falcon-512,pequeño,12.9905,1.1840,0.1110,14.2855
105,falcon-512,pequeño,13.7949,1.0675,0.0974,14.9598
106,falcon-512,pequeño,21.6790,1.0586,0.0960,22.8336
107,falcon-512,pequeño,7.2837,1.0273,0.0787,8.3896
108,falcon-512,pequeño,9.4778,0.9534,0.0727,10.5039
109,falcon-512,pequeño,9.3527,1.2773,0.1010,10.7311
110,falcon-512,pequeño,14.0975,0.9947,0.0756,15.1678
111,falcon-512,pequeño,9.6741,1.0900,0.0977,10.8618
112,falcon-512,pequeño,13.4588,0.9826,0.0782,14.5197
113,falcon-512,pequeño,8.1408,0.9762,0.0789,9.1958
114,falcon-512,pequeño,15.0732,1.0712,0.0828,16.2273
115,falcon-512,pequeño,7.7748,0.9559,0.0765,8.8072
116,falcon-512,pequeño,7.6257,0.9800,0.0740,8.6797
117,falcon-512,pequeño,14.5919,1.0307,0.0732,15.6959
118,falcon-512,pequeño,7.1861,0.9521,0.0720,8.2102
119,falcon-512,pequeño,8.3008,0.9562,0.0725,9.3294
120,falcon-512,pequeño,11.8927,1.2868,0.0981,13.2776
121,falcon-512,pequeño,7.7866,0.9439,0.0741,8.8045
122,falcon-512,pequeño,6.9715,1.0509,0.0738,8.0962
123,falcon-512,pequeño,12.7238,0.9617,0.0792,13.7647
124,falcon-512,pequeño,12.2401,0.9550,0.0717,13.2668
125,falcon-512,pequeño,11.2749,0.9593,0.0730,12.3072
126,falcon-512,pequeño,8.3304,0.9754,0.0786,9.3844
127,falcon-512,pequeño,11.2170,0.9480,0.0734,12.2384
128,falcon-512,pequeño,7.4864,1.0058,0.0799,8.5721
129,falcon-512,pequeño,11.7851,1.3174,0.1005,13.2030
130,falcon-512,pequeño,7.4960,1.0221,0.0725,8.5906
131,falcon-512,pequeño,8.0275,0.9912,0.0778,9.0965
132,falcon-512,pequeño,10.8535,0.9528,0.0736,11.8799
133,falcon-512,pequeño,9.9783,0.9870,0.0740,11.0393
134,falcon-512,pequeño,9.2968,0.9603,0.0738,10.3308
135,falcon-512,pequeño,11.4440,1.0154,0.0754,12.5349
136,falcon-512,pequeño,6.9607,0.9989,0.0734,8.0330
137,falcon-512,pequeño,6.9531,1.0028,0.0722,8.0281
138,falcon-512,pequeño,11.2038,1.0186,0.0771,12.2995
139,falcon-512,pequeño,9.4748,0.9890,0.0795,10.5433
140,falcon-512,pequeño,11.1272,0.9557,0.0749,12.1578
141,falcon-512,pequeño,8.1698,0.9796,0.0733,9.2226
142,falcon-512,pequeño,11.6468,0.9559,0.0747,12.6774
143,falcon-512,pequeño,7.9053,0.9609,0.0726,8.9387
144,falcon-512,pequeño,9.3393,1.0584,0.0763,10.4740
145,falcon-512,pequeño,10.7013,0.9812,0.0754,11.7580
146,falcon-512,pequeño,14.3546,1.0707,0.0775,15.5028
147,falcon-512,pequeño,10.9533,0.9855,0.0933,12.0321
148,falcon-512,pequeño,7.7491,1.0458,0.0731,8.8680
149,falcon-512,pequeño,11.3698,0.9735,0.0729,12.4162
150,falcon-512,pequeño,10.3300,0.9622,0.0739,11.3661
