Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
720,falcon-1024,grande,21.0580,1.8479,0.1637,23.0696
721,falcon-1024,grande,20.7947,1.8642,0.1664,22.8253
722,falcon-1024,grande,61.4875,1.9830,0.1681,63.6386
723,falcon-1024,grande,23.2160,2.0393,0.2064,25.4617
724,falcon-1024,grande,30.4201,2.6542,0.2150,33.2893
725,falcon-1024,grande,34.5371,1.9777,0.1676,36.6824
726,falcon-1024,grande,19.9878,1.8874,0.1684,22.0436
727,falcon-1024,grande,27.1454,1.8744,0.1655,29.1853
728,falcon-1024,grande,19.4407,1.9016,0.1666,21.5088
729,falcon-1024,grande,45.9028,1.8943,0.1865,47.9836
730,falcon-1024,grande,24.1415,1.9408,0.1658,26.2482
731,falcon-1024,grande,23.1047,1.8532,0.1679,25.1258
732,falcon-1024,grande,22.1743,1.8809,0.1661,24.2213
733,falcon-1024,grande,21.6735,1.8770,0.1678,23.7183
734,falcon-1024,grande,35.1577,1.8805,0.1644,37.2027
735,falcon-1024,grande,29.9506,1.8470,0.1637,31.9613
736,falcon-1024,grande,26.6893,1.8804,0.1633,28.7331
737,falcon-1024,grande,20.8647,1.8918,0.1641,22.9207
738,falcon-1024,grande,19.4150,3.0124,0.1679,22.5954
739,falcon-1024,grande,57.2702,1.9017,0.1706,59.3424
740,falcon-1024,grande,21.9976,1.8818,0.1640,24.0434
741,falcon-1024,grande,23.9838,1.8557,0.1684,26.0079
742,falcon-1024,grande,39.7607,1.8971,0.1667,41.8244
743,falcon-1024,grande,26.6314,1.8676,0.1658,28.6648
744,falcon-1024,grande,31.8886,1.8681,0.1655,33.9222
745,falcon-1024,grande,21.4589,1.8918,0.1639,23.5145
746,falcon-1024,grande,20.7873,1.8785,0.1637,22.8295
747,falcon-1024,grande,25.6110,1.8733,0.1658,27.6501
748,falcon-1024,grande,19.6933,1.8492,0.1662,21.7088
749,falcon-1024,grande,29.4581,1.8651,0.1644,31.4876
750,falcon-1024,grande,21.0277,1.8794,0.1641,23.0712
751,falcon-1024,grande,22.0434,1.8653,0.1629,24.0716
752,falcon-1024,grande,21.9840,1.8757,0.1629,24.0226
753,falcon-1024,grande,26.0781,1.9115,0.1670,28.1566
754,falcon-1024,grande,19.3907,1.8507,0.1643,21.4056
755,falcon-1024,grande,34.3614,1.8771,0.1638,36.4024
756,falcon-1024,grande,21.1701,1.8843,0.1647,23.2190
757,falcon-1024,grande,26.3049,1.8999,0.1747,28.3795
758,falcon-1024,grande,22.4964,1.8923,0.1661,24.5548
759,falcon-1024,grande,20.1710,1.9087,0.1802,22.2599
760,falcon-1024,grande,30.7816,1.8613,0.1657,32.8086
761,falcon-1024,grande,20.1428,1.8553,0.1682,22.1662
762,falcon-1024,grande,19.9662,1.8649,0.1688,21.9999
763,falcon-1024,grande,21.9597,1.8722,0.1678,23.9997
764,falcon-1024,grande,24.7173,1.8686,0.1635,26.7494
765,falcon-1024,grande,28.1462,1.8937,0.1704,30.2103
766,falcon-1024,grande,28.9170,1.8761,0.1697,30.9628
767,falcon-1024,grande,19.6632,1.8802,0.1651,21.7085
768,falcon-1024,grande,19.7467,1.8794,0.1650,21.7911
769,falcon-1024,grande,33.1882,1.8798,0.1644,35.2324
770,falcon-1024,grande,25.9274,1.8955,0.1661,27.9889
771,falcon-1024,grande,20.0633,1.8684,0.1633,22.0950
772,falcon-1024,grande,22.1613,1.8664,0.1748,24.2024
773,falcon-1024,grande,31.5893,1.8831,0.1654,33.6377
774,falcon-1024,grande,21.4610,1.8730,0.1718,23.5058
775,falcon-1024,grande,19.6954,2.8637,0.1761,22.7353
776,falcon-1024,grande,20.1520,1.8982,0.1632,22.2135
777,falcon-1024,grande,20.1817,1.8658,0.1664,22.2139
778,falcon-1024,grande,21.3722,1.8637,0.1638,23.3997
779,falcon-1024,grande,31.9796,1.8848,0.1672,34.0316
780,falcon-1024,grande,20.8910,1.8722,0.1641,22.9273
781,falcon-1024,grande,20.2704,1.8796,0.1660,22.3160
782,falcon-1024,grande,26.4150,1.8969,0.1660,28.4778
783,falcon-1024,grande,29.7696,1.8930,0.1663,31.8289
784,falcon-1024,grande,38.6005,1.8803,0.1664,40.6472
785,falcon-1024,grande,23.7830,1.8777,0.1668,25.8275
786,falcon-1024,grande,34.6332,1.8773,0.1672,36.6777
787,falcon-1024,grande,21.0797,1.8652,0.1646,23.1095
788,falcon-1024,grande,20.8860,1.8612,0.1673,22.9144
789,falcon-1024,grande,19.3702,1.8734,0.1668,21.4104
790,falcon-1024,grande,21.1466,1.8982,0.1660,23.2108
791,falcon-1024,grande,36.9375,1.8775,0.1666,38.9817
