Iteración,Tiempo Generación Claves (ms),Tiempo Creación Firma (ms),Tiempo Verificación Firma (ms),Tiempo Total (ms)
1,1297.029,6.916,0.171,1304.116
2,392.781,6.799,0.206,399.786
3,1604.547,6.835,0.136,1611.518
4,1703.614,6.711,0.157,1710.482
5,870.546,6.690,0.144,877.379
6,1630.810,6.744,0.155,1637.708
7,1460.365,6.681,0.154,1467.200
8,553.546,6.704,0.148,560.398
9,718.704,6.708,0.140,725.552
10,1353.905,6.700,0.134,1360.738
11,2252.724,6.747,0.145,2259.615
12,2064.693,6.712,0.151,2071.556
13,1755.093,6.698,0.135,1761.926
14,1141.974,8.290,0.175,1150.439
15,1213.283,6.698,0.137,1220.119
16,1413.279,6.758,0.137,1420.174
17,1281.496,6.726,0.130,1288.352
18,1389.367,6.745,0.132,1396.243
19,1119.018,6.718,0.147,1125.883
20,1666.768,6.694,0.148,1673.610
21,761.447,6.671,0.144,768.262
22,2097.601,6.742,0.141,2104.483
23,1456.273,6.719,0.134,1463.126
24,1232.758,6.703,0.134,1239.595
25,929.694,6.694,0.128,936.516
26,2038.321,6.682,0.137,2045.140
27,2779.527,6.739,0.129,2786.394
28,1413.683,6.689,0.135,1420.506
29,507.210,6.753,0.128,514.091
30,2140.890,6.684,0.153,2147.727
31,1896.972,6.730,0.148,1903.850
32,418.261,6.739,0.128,425.128
33,3114.444,6.685,0.128,3121.257
34,655.979,6.687,0.136,662.801
35,1097.197,6.687,0.131,1104.015
36,401.654,6.665,0.129,408.448
37,1647.706,6.679,0.129,1654.514
38,1008.712,6.680,0.137,1015.529
39,817.636,6.629,0.129,824.394
40,2405.903,6.825,0.129,2412.857
41,2582.081,6.658,0.130,2588.870
42,663.749,6.712,0.137,670.597
43,3560.640,6.775,0.175,3567.590
44,1694.804,6.733,0.144,1701.680
45,545.669,6.845,0.137,552.650
46,1047.041,6.692,0.152,1053.886
47,4595.253,6.711,0.131,4602.095
48,3468.358,6.626,0.127,3475.111
49,1324.182,6.660,0.142,1330.984
50,2776.967,6.737,0.132,2783.836
51,2180.314,6.773,0.142,2187.229
52,2068.387,6.711,0.128,2075.226
53,3112.084,6.709,0.133,3118.926
54,2908.503,6.692,0.135,2915.330
55,1768.927,6.664,0.127,1775.718
56,2491.337,6.655,0.127,2498.120
57,593.912,6.660,0.133,600.706
58,2436.341,6.730,0.131,2443.202
59,541.302,6.642,0.128,548.071
60,1177.588,6.723,0.130,1184.440
61,2369.864,6.707,0.131,2376.703
62,1054.852,6.714,0.139,1061.706
63,1140.556,6.680,0.127,1147.363
64,405.511,6.726,0.133,412.370
65,1435.601,6.702,0.126,1442.429
66,446.978,6.713,0.133,453.824
67,2487.500,6.794,0.131,2494.425
68,2275.108,6.670,0.128,2281.906
69,1680.515,6.685,0.132,1687.332
70,1236.647,6.692,0.132,1243.471
71,756.421,6.661,0.127,763.209
72,2152.175,6.722,0.137,2159.035
73,1231.561,6.674,0.127,1238.362
74,1124.038,6.707,0.154,1130.898
75,978.541,6.673,0.141,985.354
76,1563.549,6.700,0.133,1570.382
77,2300.992,6.663,0.150,2307.805
78,539.579,6.725,0.129,546.433
79,1506.066,6.711,0.128,1512.904
80,1145.384,6.700,0.133,1152.217
81,1006.657,6.855,0.131,1013.643
82,666.296,6.684,0.128,673.108
83,893.598,6.677,0.134,900.409
84,1878.195,6.667,0.134,1884.996
85,1497.736,6.674,0.130,1504.540
86,260.813,6.662,0.136,267.611
87,745.362,6.694,0.131,752.187
88,778.854,6.864,0.224,785.943
89,4105.285,6.696,0.158,4112.138
90,903.240,6.745,0.129,910.114
91,609.753,6.705,0.131,616.589
92,527.792,6.670,0.128,534.590
93,1213.206,6.703,0.149,1220.058
94,1327.386,6.720,0.133,1334.238
95,1389.391,6.776,0.129,1396.296
96,2556.553,6.712,0.133,2563.397
97,3170.458,6.675,0.132,3177.265
98,1807.436,6.662,0.141,1814.239
99,827.734,6.691,0.133,834.558
