Version,Iteration,KeyGenTime,EncapTime,DecapTime,EncryptTime,DecryptTime,TotalTime
ML-KEM-512,1,1.2811,1.1209,1.4355,1.3913,0.1213,5.3502
ML-KEM-512,2,1.7413,1.0581,1.6946,0.1392,0.0827,4.7159
ML-KEM-512,3,1.1431,1.3751,1.6882,0.1494,0.0679,4.4238
ML-KEM-512,4,1.0809,1.3069,1.5198,0.1207,0.0666,4.0949
ML-KEM-512,5,0.9926,1.2235,1.5095,0.1337,0.0681,3.9273
ML-KEM-512,6,1.0548,1.1593,1.4286,0.1336,0.0725,3.8488
ML-KEM-512,7,0.9717,1.0270,1.0354,0.1479,0.0671,3.2490
ML-KEM-512,8,0.6672,0.8055,0.7313,0.1292,0.0689,2.4021
ML-KEM-512,9,0.5847,0.4762,0.4445,0.1165,0.0740,1.6960
ML-KEM-512,10,0.4129,0.3879,0.5781,0.1676,0.0758,1.6224
ML-KEM-512,11,0.5693,0.5407,0.6627,0.1961,0.0898,2.0586
ML-KEM-512,12,0.5803,0.6071,0.6469,0.2004,0.0817,2.1164
ML-KEM-512,13,0.5857,0.5043,0.6660,0.1717,0.0807,2.0085
ML-KEM-512,14,0.5822,0.4936,0.6354,0.1635,0.0854,1.9600
ML-KEM-512,15,0.5821,0.4121,0.4902,0.1373,0.0801,1.7018
ML-KEM-512,16,0.4881,0.3963,0.4756,0.1708,0.0996,1.6305
ML-KEM-512,17,0.5144,0.4202,0.5302,0.1742,0.0813,1.7203
ML-KEM-512,18,0.5735,0.3475,0.4650,0.1640,0.0810,1.6310
ML-KEM-512,19,0.4477,0.3391,0.5971,0.1363,0.0765,1.5967
ML-KEM-512,20,0.4737,0.3429,0.5155,0.1340,0.0742,1.5402
ML-KEM-512,21,0.4469,0.3258,0.4597,0.1457,0.0755,1.4535
ML-KEM-512,22,0.4213,0.3511,0.3575,0.1362,0.0576,1.3237
ML-KEM-512,23,0.4187,0.3210,0.3164,0.1025,0.0558,1.2144
