Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,falcon-512,grande,13.4929,1.6321,0.1670,15.2921
2,falcon-512,grande,7.7193,0.9920,0.1462,8.8575
3,falcon-512,grande,13.8977,1.0901,0.1853,15.1730
4,falcon-512,grande,11.8009,0.9811,0.1205,12.9025
5,falcon-512,grande,9.3891,0.9814,0.1270,10.4975
6,falcon-512,grande,7.1160,0.9456,0.1199,8.1815
7,falcon-512,grande,7.5324,0.9654,0.1166,8.6144
8,falcon-512,grande,8.8876,0.9622,0.1162,9.9660
9,falcon-512,grande,10.7353,0.9458,0.1140,11.7951
10,falcon-512,grande,14.4550,0.9486,0.1203,15.5240
11,falcon-512,grande,8.7554,0.9520,0.1145,9.8219
12,falcon-512,grande,9.4696,0.9463,0.1133,10.5292
13,falcon-512,grande,16.2541,0.9704,0.1150,17.3394
14,falcon-512,grande,8.1321,0.9692,0.1206,9.2219
15,falcon-512,grande,6.7034,0.9284,0.1125,7.7443
16,falcon-512,grande,10.1763,0.9440,0.1169,11.2373
17,falcon-512,grande,11.5491,0.9408,0.1122,12.6022
18,falcon-512,grande,10.9377,0.9705,0.1147,12.0229
19,falcon-512,grande,8.6977,0.9197,0.1125,9.7299
20,falcon-512,grande,8.1847,0.9352,0.1123,9.2321
21,falcon-512,grande,6.9613,0.9117,0.1111,7.9841
22,falcon-512,grande,7.2549,0.9151,0.1129,8.2828
23,falcon-512,grande,14.8432,0.9348,0.1141,15.8920
24,falcon-512,grande,9.4454,0.9080,0.1167,10.4700
25,falcon-512,grande,8.0963,0.9464,0.1144,9.1571
26,falcon-512,grande,7.0066,0.8982,0.1105,8.0153
27,falcon-512,grande,16.6754,0.9104,0.1126,17.6984
28,falcon-512,grande,8.8843,0.9068,0.1151,9.9062
29,falcon-512,grande,7.0680,0.9218,0.1365,8.1263
30,falcon-512,grande,8.3519,0.9099,0.1116,9.3734
31,falcon-512,grande,6.9911,0.9231,0.1121,8.0263
32,falcon-512,grande,12.2013,0.9477,0.1140,13.2630
33,falcon-512,grande,9.0507,0.9244,0.1170,10.0922
34,falcon-512,grande,6.7084,1.0633,0.1551,7.9268
35,falcon-512,grande,10.5739,0.9423,0.1178,11.6340
36,falcon-512,grande,6.6971,0.9124,0.1124,7.7219
37,falcon-512,grande,7.9808,0.9211,0.1117,9.0136
38,falcon-512,grande,9.7838,0.9145,0.1122,10.8104
39,falcon-512,grande,7.9662,0.9116,0.1110,8.9888
40,falcon-512,grande,7.7192,0.9230,0.1128,8.7550
41,falcon-512,grande,6.9921,0.9047,0.1121,8.0089
42,falcon-512,grande,17.7123,0.9453,0.1168,18.7744
43,falcon-512,grande,8.7267,0.9212,0.1109,9.7588
44,falcon-512,grande,11.9991,0.9214,0.1108,13.0313
45,falcon-512,grande,8.5274,2.5382,0.1939,11.2595
46,falcon-512,grande,7.6373,0.9226,0.1121,8.6720
47,falcon-512,grande,6.7033,0.9150,0.1123,7.7307
48,falcon-512,grande,10.0689,0.9143,0.1112,11.0945
49,falcon-512,grande,6.7432,0.9362,0.1247,7.8041
50,falcon-512,grande,12.7769,0.9626,0.1157,13.8552
51,falcon-512,grande,6.7398,0.9522,0.1148,7.8068
