Version,Iteration,KeyGenTime,EncapTime,DecapTime,EncryptTime,DecryptTime,TotalTime
ML-KEM-1024,1,0.2092,0.4146,0.5015,0.0459,0.0127,1.1839
ML-KEM-1024,2,0.2418,0.3579,0.3385,0.0453,0.0124,0.9959
ML-KEM-1024,3,0.1731,0.2049,0.3244,0.0376,0.0111,0.7511
ML-KEM-1024,4,0.1549,0.1832,0.2276,0.0335,0.0111,0.6102
ML-KEM-1024,5,0.1327,0.1826,0.2002,0.0253,0.0090,0.5498
ML-KEM-1024,6,0.1331,0.1365,0.1936,0.0285,0.0103,0.5021
ML-KEM-1024,7,0.1584,0.1363,0.1933,0.0281,0.0095,0.5256
ML-KEM-1024,8,0.1289,0.1324,0.1966,0.0268,0.0090,0.4937
ML-KEM-1024,9,0.1430,0.1728,0.1669,0.0393,0.0141,0.5361
ML-KEM-1024,10,0.2237,0.1274,0.1315,0.0429,0.0104,0.5359
ML-KEM-1024,11,0.1572,0.1219,0.1311,0.0210,0.0086,0.4398
ML-KEM-1024,12,0.1209,0.1108,0.1300,0.0166,0.0068,0.3851
ML-KEM-1024,13,0.1067,0.1143,0.1301,0.0115,0.0062,0.3686
ML-KEM-1024,14,0.1067,0.1208,0.1264,0.0130,0.0066,0.3736
ML-KEM-1024,15,0.1078,0.1082,0.1280,0.0110,0.0058,0.3608
ML-KEM-1024,16,0.1034,0.1065,0.1355,0.0119,0.0067,0.3640
ML-KEM-1024,17,0.1231,0.1250,0.1286,0.0161,0.0066,0.3994
ML-KEM-1024,18,0.1058,0.1078,0.1289,0.0114,0.0056,0.3595
ML-KEM-1024,19,0.1264,0.1084,0.1283,0.0135,0.0061,0.3826
ML-KEM-1024,20,0.1086,0.1082,0.1414,0.0104,0.0061,0.3747
ML-KEM-1024,21,0.1063,0.1332,0.1287,0.0149,0.0066,0.3897
ML-KEM-1024,22,0.1345,0.1133,0.1327,0.0200,0.0078,0.4082
ML-KEM-1024,23,0.1164,0.1252,0.1259,0.0129,0.0063,0.3865
ML-KEM-1024,24,0.1064,0.1169,0.1301,0.0128,0.0066,0.3727
ML-KEM-1024,25,0.1062,0.1078,0.1370,0.0137,0.0063,0.3711
ML-KEM-1024,26,0.1057,0.1069,0.1259,0.0143,0.0071,0.3599
ML-KEM-1024,27,0.1104,0.1169,0.1443,0.0153,0.0065,0.3934
ML-KEM-1024,28,0.1382,0.1337,0.1384,0.0165,0.0067,0.4335
ML-KEM-1024,29,0.1155,0.1114,0.1259,0.0144,0.0076,0.3748
ML-KEM-1024,30,0.1230,0.1168,0.1270,0.0149,0.0066,0.3883
ML-KEM-1024,31,0.1088,0.1132,0.1327,0.0122,0.0063,0.3730
ML-KEM-1024,32,0.1037,0.1120,0.1646,0.0176,0.0081,0.4059
ML-KEM-1024,33,0.1399,0.1416,0.1304,0.0272,0.0096,0.4486
ML-KEM-1024,34,0.1820,0.1732,0.1516,0.0390,0.0122,0.5579
ML-KEM-1024,35,0.1824,0.1183,0.1353,0.0306,0.0104,0.4770
ML-KEM-1024,36,0.1604,0.1244,0.1318,0.0401,0.0124,0.4692
ML-KEM-1024,37,0.1634,0.1382,0.1531,0.0295,0.0096,0.4938
ML-KEM-1024,38,0.1507,0.1184,0.1296,0.0300,0.0119,0.4405
ML-KEM-1024,39,0.1648,0.1426,0.1424,0.0261,0.0094,0.4854
ML-KEM-1024,40,0.1407,0.1103,0.1313,0.0205,0.0081,0.4110
ML-KEM-1024,41,0.1115,0.1324,0.1661,0.0326,0.0131,0.4557
ML-KEM-1024,42,0.1755,0.1454,0.1990,0.0402,0.0137,0.5739
ML-KEM-1024,43,0.2057,0.1531,0.1656,0.0497,0.0161,0.5901
ML-KEM-1024,44,0.2273,0.1460,0.1407,0.0363,0.0115,0.5619
ML-KEM-1024,45,0.1738,0.1241,0.1646,0.0310,0.0096,0.5030
ML-KEM-1024,46,0.1493,0.1248,0.1315,0.0229,0.0090,0.4375
ML-KEM-1024,47,0.1285,0.1319,0.1581,0.0242,0.0082,0.4510
ML-KEM-1024,48,0.1277,0.1173,0.1402,0.0230,0.0080,0.4162
ML-KEM-1024,49,0.1566,0.1757,0.1782,0.0411,0.0131,0.5648
ML-KEM-1024,50,0.1829,0.1521,0.1842,0.0339,0.0140,0.5671
ML-KEM-1024,51,0.1884,0.1640,0.1828,0.0329,0.0109,0.5790
ML-KEM-1024,52,0.1928,0.1571,0.1827,0.0320,0.0122,0.5768
ML-KEM-1024,53,0.1803,0.1516,0.1967,0.0329,0.0111,0.5727
ML-KEM-1024,54,0.1749,0.1177,0.1283,0.0272,0.0101,0.4582
ML-KEM-1024,55,0.1734,0.1336,0.1388,0.0390,0.0129,0.4977
ML-KEM-1024,56,0.1973,0.1460,0.1857,0.0424,0.0149,0.5863
ML-KEM-1024,57,0.2072,0.1479,0.1720,0.0448,0.0181,0.5899
ML-KEM-1024,58,0.2028,0.1178,0.1342,0.0288,0.0099,0.4935
ML-KEM-1024,59,0.1568,0.1145,0.1353,0.0331,0.0110,0.4507
ML-KEM-1024,60,0.1664,0.1250,0.1336,0.0315,0.0110,0.4675
ML-KEM-1024,61,0.1659,0.1283,0.1593,0.0395,0.0144,0.5074
ML-KEM-1024,62,0.1697,0.1259,0.1298,0.0472,0.0141,0.4868
ML-KEM-1024,63,0.1866,0.1259,0.1380,0.0349,0.0109,0.4963
ML-KEM-1024,64,0.1595,0.1159,0.1400,0.0272,0.0094,0.4521
ML-KEM-1024,65,0.1722,0.1197,0.1355,0.0287,0.0096,0.4657
ML-KEM-1024,66,0.1685,0.1125,0.1416,0.0523,0.0110,0.4859
ML-KEM-1024,67,0.1766,0.1552,0.1868,0.0295,0.0123,0.5604
ML-KEM-1024,68,0.1824,0.1836,0.1652,0.0348,0.0116,0.5776
ML-KEM-1024,69,0.1621,0.1409,0.1734,0.0530,0.0133,0.5427
ML-KEM-1024,70,0.1908,0.2993,0.1393,0.0415,0.0124,0.6834
ML-KEM-1024,71,0.2089,0.1210,0.1282,0.0295,0.0095,0.4971
ML-KEM-1024,72,0.1396,0.1119,0.1299,0.0168,0.0080,0.4062
