Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
936,Falcon512,grande,13.3818,1.2000,0.1191,14.7009
937,Falcon512,grande,9.0194,1.3902,0.1356,10.5452
938,Falcon512,grande,10.9966,1.1802,0.1187,12.2955
939,Falcon512,grande,9.8564,1.4034,0.1204,11.3802
940,Falcon512,grande,8.2566,1.2288,0.1184,9.6038
941,Falcon512,grande,12.8866,1.3469,0.1198,14.3533
942,Falcon512,grande,9.1661,1.2893,0.1189,10.5743
943,Falcon512,grande,15.6219,1.3014,0.1203,17.0436
944,Falcon512,grande,7.7776,1.3202,0.1208,9.2186
945,Falcon512,grande,10.9099,1.3157,0.1206,12.3462
946,Falcon512,grande,22.3861,1.2579,0.1238,23.7678
947,Falcon512,grande,8.7405,1.3523,0.1231,10.2159
948,Falcon512,grande,11.2882,1.2101,0.1238,12.6221
949,Falcon512,grande,8.9941,1.3301,0.1209,10.4451
950,Falcon512,grande,14.8356,1.2598,0.1194,16.2148
951,Falcon512,grande,16.9196,1.3440,0.1185,18.3821
952,Falcon512,grande,17.0306,1.3126,0.1228,18.4660
953,Falcon512,grande,10.8913,1.1395,0.1201,12.1509
954,Falcon512,grande,8.2944,1.3065,0.1229,9.7238
955,Falcon512,grande,8.3773,1.1598,0.2605,9.7976
956,Falcon512,grande,8.6357,1.3150,0.1212,10.0719
957,Falcon512,grande,19.9177,1.3287,0.1269,21.3733
958,Falcon512,grande,9.3749,1.2781,0.1195,10.7725
959,Falcon512,grande,12.3235,1.3107,0.1211,13.7553
960,Falcon512,grande,7.4449,1.3119,0.1245,8.8813
961,Falcon512,grande,7.7648,1.3003,0.1208,9.1859
962,Falcon512,grande,11.3654,1.1838,0.1193,12.6685
963,Falcon512,grande,10.6150,1.3892,0.1211,12.1253
964,Falcon512,grande,9.2172,1.2033,0.1175,10.5380
965,Falcon512,grande,9.1750,1.3641,0.1211,10.6602
966,Falcon512,grande,7.8236,1.1987,0.1200,9.1423
967,Falcon512,grande,7.3419,1.3344,0.1258,8.8021
968,Falcon512,grande,7.8517,1.2235,0.1192,9.1944
969,Falcon512,grande,7.4203,1.3614,0.1246,8.9063
970,Falcon512,grande,17.8978,1.2660,0.1187,19.2825
971,Falcon512,grande,15.2676,1.3401,0.1191,16.7268
972,Falcon512,grande,13.3779,1.2079,0.1236,14.7094
973,Falcon512,grande,9.6293,1.3574,0.1224,11.1091
974,Falcon512,grande,14.2699,1.1997,0.1224,15.5920
975,Falcon512,grande,8.4291,1.3455,0.1187,9.8933
976,Falcon512,grande,14.2939,1.1966,0.1204,15.6109
