Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Falcon1024,grande,23.0172,2.5320,0.1772,25.7264
2,Falcon1024,grande,22.3088,2.5841,0.1766,25.0695
3,Falcon1024,grande,32.1284,2.4504,0.2447,34.8235
4,Falcon1024,grande,21.7287,2.5321,0.1771,24.4379
5,Falcon1024,grande,27.2653,2.5536,0.1756,29.9945
6,Falcon1024,grande,24.3554,2.5956,0.1861,27.1371
7,Falcon1024,grande,22.4750,2.5987,0.1880,25.2617
8,Falcon1024,grande,21.7678,2.5031,0.1830,24.4539
9,Falcon1024,grande,24.0678,2.6241,0.1777,26.8696
10,Falcon1024,grande,22.8163,2.5219,0.1787,25.5169
11,Falcon1024,grande,35.1983,2.7303,0.1781,38.1067
12,Falcon1024,grande,57.1588,2.4749,0.1757,59.8094
13,Falcon1024,grande,27.2978,3.3996,0.1760,30.8734
14,Falcon1024,grande,29.3754,2.5116,0.1732,32.0602
15,Falcon1024,grande,62.4323,2.5606,0.2384,65.2313
16,Falcon1024,grande,23.4623,2.5126,0.1795,26.1544
17,Falcon1024,grande,23.5074,2.4787,0.1764,26.1625
18,Falcon1024,grande,29.5376,2.7253,0.1804,32.4433
19,Falcon1024,grande,31.9887,2.5892,0.1748,34.7527
20,Falcon1024,grande,27.9766,2.9674,0.1770,31.1210
21,Falcon1024,grande,26.6456,2.5438,0.1870,29.3764
22,Falcon1024,grande,32.4015,2.6216,0.1750,35.1981
23,Falcon1024,grande,22.3483,2.6001,0.1775,25.1259
24,Falcon1024,grande,23.2483,2.5121,0.1788,25.9392
25,Falcon1024,grande,34.9965,2.7249,0.1761,37.8975
26,Falcon1024,grande,63.5570,2.5183,0.1757,66.2510
27,Falcon1024,grande,23.6297,2.8345,0.1800,26.6442
28,Falcon1024,grande,36.0914,2.4658,0.1791,38.7363
29,Falcon1024,grande,42.8192,2.6624,0.1762,45.6578
30,Falcon1024,grande,25.8951,2.4886,0.1780,28.5617
31,Falcon1024,grande,35.6379,2.5174,0.1787,38.3340
32,Falcon1024,grande,27.7461,2.6537,0.1757,30.5755
33,Falcon1024,grande,25.2985,2.6163,0.1746,28.0894
34,Falcon1024,grande,24.9770,2.8348,0.1794,27.9912
35,Falcon1024,grande,22.8635,2.5389,0.1748,25.5772
36,Falcon1024,grande,35.0354,2.6241,0.1748,37.8343
37,Falcon1024,grande,24.9567,2.5979,0.1887,27.7433
38,Falcon1024,grande,29.0247,2.5722,0.1763,31.7732
39,Falcon1024,grande,22.1836,2.7115,0.1819,25.0770
40,Falcon1024,grande,28.1920,2.5446,0.1743,30.9109
41,Falcon1024,grande,36.7227,2.8049,0.1785,39.7061
42,Falcon1024,grande,28.0281,2.5347,0.1742,30.7370
43,Falcon1024,grande,27.0582,2.6480,0.1756,29.8818
44,Falcon1024,grande,30.1823,2.6142,0.1781,32.9746
45,Falcon1024,grande,26.6229,2.5893,0.1744,29.3866
46,Falcon1024,grande,31.5257,2.5327,0.1818,34.2402
47,Falcon1024,grande,28.3199,2.6149,0.1796,31.1144
48,Falcon1024,grande,29.5286,2.9289,0.1834,32.6409
49,Falcon1024,grande,26.1081,2.5195,0.1759,28.8035
50,Falcon1024,grande,24.2836,2.5083,0.1769,26.9688
51,Falcon1024,grande,24.2907,2.5303,0.1774,26.9984
52,Falcon1024,grande,33.9858,2.5623,0.1935,36.7416
53,Falcon1024,grande,53.7132,2.5993,0.1782,56.4907
54,Falcon1024,grande,22.1922,2.5334,0.1750,24.9006
55,Falcon1024,grande,31.5139,2.9512,0.1805,34.6456
56,Falcon1024,grande,24.8943,2.5351,0.1764,27.6058
57,Falcon1024,grande,22.8851,2.5609,0.1778,25.6238
58,Falcon1024,grande,32.7709,2.5097,0.1787,35.4593
59,Falcon1024,grande,39.5031,2.6947,0.1757,42.3735
60,Falcon1024,grande,33.9336,2.5285,0.1785,36.6406
61,Falcon1024,grande,23.2799,2.5185,0.1754,25.9738
62,Falcon1024,grande,24.1049,3.0840,0.1771,27.3660
63,Falcon1024,grande,22.7629,2.5027,0.1775,25.4431
64,Falcon1024,grande,41.4289,2.5018,0.1848,44.1155
65,Falcon1024,grande,23.7283,2.5916,0.1768,26.4967
66,Falcon1024,grande,37.9452,2.6140,0.1775,40.7367
67,Falcon1024,grande,22.8577,2.5346,0.1858,25.5781
68,Falcon1024,grande,51.3819,2.5345,0.1798,54.0962
69,Falcon1024,grande,22.5646,2.8330,0.1784,25.5760
70,Falcon1024,grande,24.5831,2.5354,0.1823,27.3008
71,Falcon1024,grande,24.7881,2.5155,0.1777,27.4813
72,Falcon1024,grande,26.1143,2.5605,0.1766,28.8514
73,Falcon1024,grande,26.3370,2.6436,0.1789,29.1595
74,Falcon1024,grande,23.1139,2.6457,0.1811,25.9407
75,Falcon1024,grande,23.2326,2.5234,0.1738,25.9298
76,Falcon1024,grande,27.5035,2.8514,0.1802,30.5351
77,Falcon1024,grande,25.8385,2.5505,0.1753,28.5643
78,Falcon1024,grande,51.4909,2.5160,0.1759,54.1828
79,Falcon1024,grande,32.1349,2.5050,0.1886,34.8285
80,Falcon1024,grande,58.2473,2.6178,0.1796,61.0447
81,Falcon1024,grande,23.6026,2.6487,0.1761,26.4274
82,Falcon1024,grande,53.1538,2.5759,0.1763,55.9060
83,Falcon1024,grande,43.7759,2.9986,0.1771,46.9516
84,Falcon1024,grande,27.6595,2.5648,0.1813,30.4056
85,Falcon1024,grande,25.6856,3.4099,0.1765,29.2720
86,Falcon1024,grande,28.0728,2.5465,0.1769,30.7962
87,Falcon1024,grande,70.0977,2.5467,0.1877,72.8321
88,Falcon1024,grande,37.7142,2.6467,0.1785,40.5394
89,Falcon1024,grande,24.9712,2.6209,0.1773,27.7694
90,Falcon1024,grande,29.7135,2.9385,0.1759,32.8279
91,Falcon1024,grande,33.0205,2.5316,0.1744,35.7265
92,Falcon1024,grande,25.3603,2.5207,0.1774,28.0584
93,Falcon1024,grande,28.9492,2.5391,0.2562,31.7445
94,Falcon1024,grande,30.5421,2.5796,0.1783,33.3000
95,Falcon1024,grande,28.6259,2.6455,0.1776,31.4490
96,Falcon1024,grande,66.9883,2.5329,0.1759,69.6971
97,Falcon1024,grande,34.2609,2.9558,0.1794,37.3961
98,Falcon1024,grande,26.5690,2.6136,0.1758,29.3584
99,Falcon1024,grande,25.9032,2.4956,0.1777,28.5765
100,Falcon1024,grande,29.4379,2.6119,0.1761,32.2259
101,Falcon1024,grande,38.9007,2.6310,0.1757,41.7074
102,Falcon1024,grande,71.8906,2.6001,0.1783,74.6690
103,Falcon1024,grande,25.0295,2.5758,0.1816,27.7869
104,Falcon1024,grande,44.2385,2.9513,0.1784,47.3682
105,Falcon1024,grande,25.2986,2.5370,0.1748,28.0104
106,Falcon1024,grande,26.8487,2.6395,0.1824,29.6706
107,Falcon1024,grande,29.0672,2.5835,0.1761,31.8268
108,Falcon1024,grande,21.7712,2.5610,0.1754,24.5076
109,Falcon1024,grande,46.5000,2.7068,0.1767,49.3835
