Iteración,Falcon Version,Tamaño Mensaje,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
360,Falcon1024,pequeño,26.5843,2.3861,0.1092,29.0796
361,Falcon1024,pequeño,25.1963,2.5457,0.1100,27.8520
362,Falcon1024,pequeño,28.1592,2.4453,0.1154,30.7199
363,Falcon1024,pequeño,25.1639,2.4213,0.1090,27.6942
364,Falcon1024,pequeño,36.2062,2.4812,0.1083,38.7957
365,Falcon1024,pequeño,21.9813,2.6015,0.1110,24.6938
366,Falcon1024,pequeño,27.1122,2.5269,0.1093,29.7484
367,Falcon1024,pequeño,56.5613,2.4920,0.1065,59.1598
368,Falcon1024,pequeño,40.9419,2.5204,0.1185,43.5808
369,Falcon1024,pequeño,34.0292,2.5904,0.1133,36.7329
370,Falcon1024,pequeño,23.4141,2.4908,0.1088,26.0137
371,Falcon1024,pequeño,21.8969,2.5754,0.1095,24.5818
372,Falcon1024,pequeño,25.8841,2.4844,0.1164,28.4849
373,Falcon1024,pequeño,31.2281,2.4672,0.1094,33.8047
374,Falcon1024,pequeño,30.5437,2.4353,0.1151,33.0941
375,Falcon1024,pequeño,26.7234,2.5055,0.1083,29.3372
376,Falcon1024,pequeño,24.3810,2.6308,0.1099,27.1217
377,Falcon1024,pequeño,23.1334,2.5201,0.1091,25.7626
378,Falcon1024,pequeño,22.4374,2.4798,0.1090,25.0262
379,Falcon1024,pequeño,73.3468,2.4879,0.1082,75.9429
380,Falcon1024,pequeño,25.1028,2.4694,0.1086,27.6808
381,Falcon1024,pequeño,22.4162,2.3924,0.1092,24.9178
382,Falcon1024,pequeño,28.5728,2.4153,0.1103,31.0984
383,Falcon1024,pequeño,60.7956,2.5049,0.1086,63.4091
384,Falcon1024,pequeño,40.5759,2.4493,0.1099,43.1351
385,Falcon1024,pequeño,24.7184,2.4191,0.1103,27.2478
386,Falcon1024,pequeño,24.0068,2.5240,0.1090,26.6398
387,Falcon1024,pequeño,33.4464,2.5018,0.1187,36.0669
388,Falcon1024,pequeño,35.9275,2.4741,0.1098,38.5114
389,Falcon1024,pequeño,34.0502,2.5203,0.1090,36.6795
390,Falcon1024,pequeño,39.8988,2.5133,0.1090,42.5211
391,Falcon1024,pequeño,23.6579,2.4617,0.1083,26.2279
392,Falcon1024,pequeño,24.5883,2.4835,0.1082,27.1800
393,Falcon1024,pequeño,29.7464,2.5058,0.1098,32.3620
394,Falcon1024,pequeño,44.7290,2.4770,0.1116,47.3176
395,Falcon1024,pequeño,22.1149,2.4041,0.1752,24.6942
396,Falcon1024,pequeño,56.8400,2.5067,0.1094,59.4561
397,Falcon1024,pequeño,29.8052,2.4735,0.1082,32.3869
398,Falcon1024,pequeño,22.1176,2.5310,0.1097,24.7583
399,Falcon1024,pequeño,21.7494,2.3862,0.1172,24.2528
400,Falcon1024,pequeño,22.3910,2.4874,0.1151,24.9935
401,Falcon1024,pequeño,30.4438,2.5154,0.1095,33.0687
402,Falcon1024,pequeño,73.0532,2.4685,0.1095,75.6312
403,Falcon1024,pequeño,27.0600,2.3857,0.1098,29.5555
404,Falcon1024,pequeño,32.2979,2.4327,0.1086,34.8392
405,Falcon1024,pequeño,46.3133,2.4485,0.1090,48.8708
406,Falcon1024,pequeño,29.5795,2.4915,0.1069,32.1779
407,Falcon1024,pequeño,23.3000,2.4669,0.1096,25.8765
408,Falcon1024,pequeño,43.6558,2.5180,0.1096,46.2834
409,Falcon1024,pequeño,29.8523,2.4571,0.1120,32.4214
410,Falcon1024,pequeño,25.1859,2.5149,0.1154,27.8162
411,Falcon1024,pequeño,31.6930,2.5402,0.1080,34.3412
412,Falcon1024,pequeño,58.5607,2.4703,0.1090,61.1400
413,Falcon1024,pequeño,22.6419,2.4650,0.1088,25.2157
414,Falcon1024,pequeño,36.4319,2.5322,0.1161,39.0802
415,Falcon1024,pequeño,28.8682,2.4239,0.1098,31.4019
416,Falcon1024,pequeño,26.7005,2.4787,0.1079,29.2871
417,Falcon1024,pequeño,30.7056,2.5039,0.1092,33.3187
418,Falcon1024,pequeño,37.1034,2.5003,0.1103,39.7140
419,Falcon1024,pequeño,23.6761,2.4691,0.1070,26.2522
420,Falcon1024,pequeño,30.0046,2.4381,0.1149,32.5576
421,Falcon1024,pequeño,40.4193,2.5774,0.1171,43.1138
422,Falcon1024,pequeño,29.1709,2.5003,0.1093,31.7805
423,Falcon1024,pequeño,26.7659,2.4303,0.1121,29.3083
424,Falcon1024,pequeño,22.2672,2.6841,0.1105,25.0618
425,Falcon1024,pequeño,28.8678,2.5335,0.1101,31.5114
426,Falcon1024,pequeño,37.8084,2.4803,0.1123,40.4010
427,Falcon1024,pequeño,36.0417,2.3944,0.1089,38.5450
428,Falcon1024,pequeño,24.8946,2.4609,0.1070,27.4625
429,Falcon1024,pequeño,22.4003,2.4648,0.1127,24.9778
430,Falcon1024,pequeño,38.9617,2.4928,0.1135,41.5680
431,Falcon1024,pequeño,28.6193,2.4508,0.1083,31.1784
432,Falcon1024,pequeño,41.4232,2.5206,0.1092,44.0530
433,Falcon1024,pequeño,41.3734,2.4725,0.1096,43.9555
434,Falcon1024,pequeño,23.6816,2.4722,0.1115,26.2653
435,Falcon1024,pequeño,27.8949,2.5295,0.1088,30.5332
436,Falcon1024,pequeño,23.9323,2.4415,0.1146,26.4884
437,Falcon1024,pequeño,22.9572,2.4032,0.1099,25.4703
438,Falcon1024,pequeño,22.7417,2.5117,0.1090,25.3624
439,Falcon1024,pequeño,23.0575,2.5546,0.1109,25.7230
440,Falcon1024,pequeño,23.8799,2.3960,0.1120,26.3879
441,Falcon1024,pequeño,23.2325,2.5182,0.1095,25.8602
442,Falcon1024,pequeño,38.2794,2.5249,0.1093,40.9136
443,Falcon1024,pequeño,23.8597,2.4686,0.1093,26.4376
444,Falcon1024,pequeño,29.8440,2.4833,0.1071,32.4344
445,Falcon1024,pequeño,45.1637,2.5527,0.1085,47.8249
446,Falcon1024,pequeño,28.2398,2.6002,0.1087,30.9487
447,Falcon1024,pequeño,29.6404,2.4442,0.1093,32.1939
448,Falcon1024,pequeño,22.7313,2.5082,0.1070,25.3465
449,Falcon1024,pequeño,52.2964,2.4963,0.1105,54.9032
450,Falcon1024,pequeño,24.5160,2.4246,0.1105,27.0511
451,Falcon1024,pequeño,29.1184,2.4020,0.1193,31.6397
452,Falcon1024,pequeño,26.2411,2.5922,0.1927,29.0260
453,Falcon1024,pequeño,27.0855,2.4498,0.1079,29.6432
