Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.3470,0.5600,0.3320,1.2390
2,0.3250,0.7880,0.3310,1.4440
3,0.3230,2.0040,0.3280,2.6550
4,0.3210,1.9400,0.3280,2.5890
5,0.3240,1.7040,0.3390,2.3670
6,0.3280,1.3930,0.3270,2.0480
7,0.3230,1.0400,0.3290,1.6920
8,0.3230,0.7870,0.3280,1.4380
9,0.3230,0.5690,0.3310,1.2230
10,0.3270,1.1070,0.3310,1.7650
11,0.3240,0.5490,0.3350,1.2080
12,0.3230,3.2000,0.3560,3.8790
13,0.3360,0.5700,0.3310,1.2370
14,0.3230,2.6020,0.3300,3.2550
15,0.3230,0.5470,0.3280,1.1980
16,0.3230,2.0050,0.3270,2.6550
17,0.3220,3.3270,0.3270,3.9760
18,0.3220,0.9690,0.3300,1.6210
19,0.3220,1.6840,0.3280,2.3340
20,0.3230,0.5500,0.3280,1.2010
21,0.3240,0.5460,0.3270,1.1970
22,0.3230,1.5790,0.3270,2.2290
23,0.3210,2.4760,0.3300,3.1270
24,0.3220,0.9160,0.3270,1.5650
25,0.3240,0.7300,0.3270,1.3810
26,0.3300,1.8170,0.3280,2.4750
27,0.3220,2.5340,0.3270,3.1830
28,0.3230,0.5460,0.3270,1.1960
29,0.3260,0.9160,0.3270,1.5690
30,0.3220,0.9690,0.3280,1.6190
31,0.3250,0.5460,0.3270,1.1980
32,0.3220,2.2940,0.3310,2.9470
33,0.3280,0.7970,0.3520,1.4770
34,0.3340,0.9830,0.3300,1.6470
35,0.3330,1.3750,0.3820,2.0900
36,0.3260,1.0190,0.2530,1.5980
37,0.2070,0.9160,0.2320,1.3550
38,0.2110,1.0050,0.2120,1.4280
39,0.2100,0.3470,0.2120,0.7690
40,0.2350,0.9550,0.2190,1.4090
41,0.2270,0.6860,0.2210,1.1340
42,0.2200,1.2400,0.2210,1.6810
43,0.2090,0.8760,0.2160,1.3010
44,0.2120,0.3980,0.2250,0.8350
45,0.2270,0.9600,0.2130,1.4000
46,0.2200,0.4980,0.2830,1.0010
47,0.2150,1.3930,0.2450,1.8530
48,0.2280,0.7350,0.2370,1.2000
49,0.2380,0.6400,0.2470,1.1250
50,0.2700,0.4380,0.3270,1.0350
51,0.2780,0.7210,0.2310,1.2300
52,0.2140,0.5090,0.2220,0.9450
53,0.2170,1.3420,0.2210,1.7800
54,0.2130,0.7450,0.2200,1.1780
55,0.2140,0.7020,0.2810,1.1970
56,0.2330,1.2450,0.2210,1.6990
57,0.2240,0.3830,0.2190,0.8260
58,0.2520,2.2330,0.2160,2.7010
59,0.2150,0.7940,0.2470,1.2560
60,0.2090,0.4750,0.2130,0.8970
61,0.2300,1.6690,0.2180,2.1170
62,0.2570,0.6600,0.2140,1.1310
63,0.2130,0.7280,0.2150,1.1560
64,0.2150,0.5180,0.2170,0.9500
65,0.2430,0.3720,0.2130,0.8280
66,0.2210,0.4080,0.2270,0.8560
67,0.2170,1.0010,0.2210,1.4390
68,0.2360,2.4560,0.2240,2.9160
69,0.2120,0.3620,0.2170,0.7910
70,0.2340,0.6560,0.2150,1.1050
