Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
126,0.1910,0.8220,0.2140,1.2270
127,0.2340,0.7580,0.2220,1.2140
128,0.1920,0.3840,0.2110,0.7870
129,0.1760,0.6910,0.2130,1.0800
130,0.1810,0.4120,0.2170,0.8100
131,0.1910,1.1040,0.2130,1.5080
132,0.1770,1.5860,0.2150,1.9780
133,0.1790,0.3670,0.2090,0.7550
134,0.1820,0.4930,0.2070,0.8820
135,0.1810,1.4450,0.2100,1.8360
136,0.1820,1.5460,0.2100,1.9380
137,0.1860,0.9540,0.2190,1.3590
138,0.1840,0.3710,0.2120,0.7670
139,0.1770,0.5320,0.2090,0.9180
140,0.1820,0.5140,0.2550,0.9510
141,0.1880,1.3070,0.2100,1.7050
142,0.1820,0.5320,0.2090,0.9230
143,0.1800,0.8170,0.2140,1.2110
144,0.1810,0.8030,0.2110,1.1950
145,0.1830,1.4220,0.2390,1.8440
146,0.1920,1.1230,0.2180,1.5330
147,0.1550,0.3440,0.1420,0.6410
148,0.1210,0.2480,0.1440,0.5130
149,0.1210,0.3530,0.1410,0.6150
150,0.1180,0.2310,0.1350,0.4840
151,0.1150,0.3130,0.1310,0.5590
152,0.1130,0.2270,0.1320,0.4720
153,0.1160,0.2360,0.1340,0.4860
154,0.1170,0.8220,0.1490,1.0880
155,0.1150,1.4830,0.1340,1.7320
156,0.1150,1.3420,0.1310,1.5880
157,0.1130,0.3250,0.1510,0.5890
158,0.1230,0.3270,0.1340,0.5840
159,0.1140,0.5000,0.1310,0.7450
160,0.1180,0.4330,0.1370,0.6880
161,0.1140,0.8630,0.1460,1.1230
162,0.1150,0.2330,0.1340,0.4820
163,0.1150,1.4790,0.1310,1.7250
164,0.1130,0.4780,0.1290,0.7200
165,0.1110,0.5170,0.1350,0.7630
166,0.1120,0.9130,0.1320,1.1570
167,0.1110,0.6170,0.1290,0.8570
168,0.1100,0.2240,0.1290,0.4630
169,0.1120,0.2240,0.1290,0.4650
170,0.1120,0.3340,0.1350,0.5810
171,0.1120,0.7030,0.1290,0.9440
172,0.1110,0.3270,0.1300,0.5680
173,0.1120,0.8480,0.1290,1.0890
174,0.1130,0.5230,0.1300,0.7660
175,0.1130,0.9500,0.1300,1.1930
176,0.1100,1.3230,0.1300,1.5630
177,0.1100,0.3070,0.1330,0.5500
178,0.1130,1.2000,0.1300,1.4430
179,0.1130,0.4730,0.1300,0.7160
180,0.1110,0.3300,0.1310,0.5720
181,0.1130,1.1700,0.1310,1.4140
182,0.1110,1.1810,0.1300,1.4220
183,0.1130,0.5780,0.1300,0.8210
184,0.1110,0.9760,0.1300,1.2170
185,0.1130,0.4110,0.1310,0.6550
186,0.1120,0.3080,0.1300,0.5500
187,0.1110,0.2250,0.1310,0.4670
188,0.1110,0.5970,0.1300,0.8380
189,0.1140,0.4180,0.1300,0.6620
190,0.1110,0.9310,0.1300,1.1720
191,0.1120,1.6520,0.1300,1.8940
192,0.1170,1.1850,0.1300,1.4320
193,0.1140,0.5580,0.1300,0.8020
194,0.1100,0.5780,0.1300,0.8180
195,0.1110,2.2850,0.1310,2.5270
196,0.1130,0.3300,0.1310,0.5740
197,0.1110,0.2290,0.1310,0.4710
198,0.1140,0.2260,0.1300,0.4700
199,0.1190,0.4940,0.1300,0.7430
200,0.1130,0.2250,0.1310,0.4690
201,0.1110,0.3280,0.1310,0.5700
202,0.1120,0.3080,0.1310,0.5510
203,0.1120,0.3080,0.1310,0.5510
204,0.1120,0.8510,0.1300,1.0930
205,0.1130,0.4960,0.1300,0.7390
206,0.1130,0.4980,0.1320,0.7430
207,0.1130,0.6940,0.1320,0.9390
208,0.1160,0.6260,0.1320,0.8740
209,0.1150,0.2300,0.1310,0.4760
210,0.1150,0.5850,0.1300,0.8300
211,0.1140,0.8100,0.1330,1.0570
212,0.1120,0.4880,0.1390,0.7390
213,0.1140,0.5830,0.1330,0.8300
214,0.1140,0.5240,0.1320,0.7700
215,0.1150,0.8950,0.1300,1.1400
216,0.1130,0.5090,0.1310,0.7530
217,0.1130,0.2270,0.1300,0.4700
218,0.1120,0.3290,0.1300,0.5710
219,0.1130,0.2250,0.1310,0.4690
220,0.1140,0.5800,0.1310,0.8250
221,0.1120,0.3930,0.1350,0.6400
222,0.1310,0.2390,0.1440,0.5140
223,0.1150,0.9630,0.1300,1.2080
224,0.1120,0.3080,0.1300,0.5500
225,0.1110,0.6160,0.1290,0.8560
226,0.1100,0.8860,0.1300,1.1260
227,0.1140,0.4140,0.1300,0.6580
228,0.1140,0.9380,0.1300,1.1820
229,0.1100,0.2250,0.1290,0.4640
230,0.1100,0.7800,0.1300,1.0200
231,0.1140,0.2260,0.1300,0.4700
232,0.1120,0.3070,0.1290,0.5480
233,0.1110,0.7000,0.1290,0.9400
234,0.1110,0.3900,0.1330,0.6340
235,0.1130,0.5150,0.1310,0.7590
236,0.1120,0.3290,0.1300,0.5710
237,0.1120,0.3280,0.1300,0.5700
238,0.1130,0.2250,0.1310,0.4690
239,0.1130,0.3920,0.1300,0.6350
240,0.1120,0.2290,0.1300,0.4710
241,0.1130,0.3920,0.1300,0.6350
242,0.1140,0.2260,0.1300,0.4700
243,0.1120,0.2250,0.1300,0.4670
244,0.1140,0.6190,0.1300,0.8630
245,0.1120,0.7670,0.1310,1.0100
246,0.1130,0.4740,0.1300,0.7170
247,0.1120,0.8070,0.1320,1.0510
248,0.1140,1.1400,0.1310,1.3850
249,0.1100,0.4750,0.1290,0.7140
250,0.1110,0.2250,0.1290,0.4650
251,0.1100,0.3070,0.1290,0.5460
252,0.1110,0.4720,0.1290,0.7120
253,0.1120,0.3900,0.1290,0.6310
254,0.1260,0.7380,0.1300,0.9940
255,0.1120,0.4910,0.1370,0.7400
256,0.1110,0.3930,0.1300,0.6340
257,0.1130,0.4990,0.1300,0.7420
258,0.1110,1.3620,0.1320,1.6050
259,0.1140,1.1210,0.1290,1.3640
260,0.1120,0.2260,0.1290,0.4670
261,0.1210,0.2270,0.1300,0.4780
262,0.1120,0.5220,0.1290,0.7630
263,0.1200,0.2280,0.1310,0.4790
264,0.1130,0.6200,0.1290,0.8620
265,0.1130,0.4360,0.1290,0.6780
266,0.1110,0.2240,0.1290,0.4640
267,0.1360,0.2320,0.1300,0.4980
268,0.1130,0.3270,0.1290,0.5690
269,0.1120,0.2820,0.1370,0.5310
270,0.1130,0.2280,0.1320,0.4730
271,0.1110,0.6730,0.1310,0.9150
272,0.1140,0.5770,0.1300,0.8210
273,0.1120,0.5010,0.1330,0.7460
274,0.1150,0.7960,0.1300,1.0410
275,0.1140,0.8360,0.1310,1.0810
276,0.1160,0.3390,0.1330,0.5880
277,0.1150,0.3380,0.1350,0.5880
278,0.1150,0.5070,0.1330,0.7550
279,0.1130,0.3130,0.1300,0.5560
280,0.1120,0.7660,0.1300,1.0080
281,0.1110,0.7530,0.1320,0.9960
282,0.1390,0.6070,0.1300,0.8760
283,0.1120,0.8720,0.1290,1.1130
284,0.1130,0.6650,0.1330,0.9110
285,0.1130,0.3330,0.1310,0.5770
286,0.1300,0.3330,0.1310,0.5940
287,0.1110,0.8890,0.1300,1.1300
288,0.1120,0.2240,0.1290,0.4650
289,0.1100,0.2230,0.1290,0.4620
290,0.1110,0.4130,0.1290,0.6530
291,0.1280,0.2270,0.1300,0.4850
292,0.1120,0.3110,0.1320,0.5550
293,0.1130,0.3090,0.1300,0.5520
294,0.1140,0.3340,0.1310,0.5790
295,0.1100,0.8890,0.1300,1.1290
296,0.1320,0.3340,0.1300,0.5960
297,0.1100,0.2240,0.1290,0.4630
298,0.1120,0.6160,0.1300,0.8580
299,0.1120,2.0650,0.1320,2.3090
300,0.1130,0.9090,0.1290,1.1510
301,0.1100,0.4930,0.1300,0.7330
302,0.1110,0.3930,0.1290,0.6330
303,0.1110,1.4700,0.1310,1.7120
304,0.1170,0.2310,0.1300,0.4780
305,0.1130,0.2230,0.1290,0.4650
306,0.1100,0.2240,0.1290,0.4630
307,0.1110,0.3290,0.1290,0.5690
308,0.1330,1.6060,0.1330,1.8720
309,0.1110,0.7030,0.1300,0.9440
310,0.1110,0.2240,0.1290,0.4640
311,0.1120,0.3460,0.1390,0.5970
312,0.1130,0.7310,0.1300,0.9740
313,0.1120,0.2240,0.1290,0.4650
314,0.1130,0.7900,0.1310,1.0340
315,0.1130,0.4350,0.1330,0.6810
316,0.1140,0.3130,0.1300,0.5570
317,0.1110,0.8720,0.1310,1.1140
318,0.1120,0.3060,0.1310,0.5490
319,0.1120,0.3920,0.1320,0.6360
320,0.1130,0.3110,0.1440,0.5680
321,0.1130,0.3120,0.1290,0.5540
322,0.1110,0.5780,0.1300,0.8190
323,0.1100,0.2240,0.1290,0.4630
324,0.1170,0.3300,0.1300,0.5770
325,0.1110,0.5170,0.1300,0.7580
326,0.1120,0.7440,0.1300,0.9860
327,0.1110,0.6600,0.1290,0.9000
328,0.1130,0.6990,0.1290,0.9410
329,0.1100,0.6270,0.1330,0.8700
330,0.1130,0.2250,0.1290,0.4670
331,0.1120,0.2260,0.1290,0.4670
332,0.1130,0.2260,0.1310,0.4700
333,0.1140,0.4140,0.1290,0.6570
334,0.1110,2.2620,0.1310,2.5040
335,0.1130,0.2250,0.1290,0.4670
336,0.1100,0.4080,0.1310,0.6490
337,0.1140,0.3100,0.1300,0.5540
338,0.1100,0.2370,0.1330,0.4800
339,0.1100,0.3080,0.1300,0.5480
340,0.1120,0.9530,0.1290,1.1940
341,0.1110,0.9110,0.1300,1.1520
342,0.1150,0.2240,0.1290,0.4680
343,0.1130,0.3100,0.1320,0.5550
344,0.1120,0.2280,0.1300,0.4700
345,0.1100,0.2280,0.1290,0.4670
346,0.1100,0.2240,0.1290,0.4630
347,0.1100,0.4100,0.1290,0.6490
348,0.1120,0.4330,0.1460,0.6910
349,0.1140,0.2270,0.1320,0.4730
350,0.1150,1.3160,0.1320,1.5630
351,0.1130,1.2990,0.1740,1.5860
352,0.1160,0.8420,0.1300,1.0880
353,0.1130,0.4190,0.1340,0.6660
354,0.1120,0.4970,0.1290,0.7380
355,0.1120,0.2280,0.1310,0.4710
356,0.1370,0.4220,0.1310,0.6900
357,0.1130,0.3280,0.1290,0.5700
358,0.1120,0.4950,0.1290,0.7360
359,0.1110,0.2260,0.1300,0.4670
360,0.1250,0.3180,0.1320,0.5750
361,0.1140,0.5610,0.1410,0.8160
