Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.5110,1.6620,0.5500,2.7230
2,0.4840,3.0530,0.5180,4.0550
3,0.4830,1.4490,0.5270,2.4590
4,0.4900,1.3360,0.5180,2.3440
5,0.4820,2.6080,0.5180,3.6080
6,0.4850,1.1270,0.5190,2.1310
7,0.4790,1.1280,0.5420,2.1490
8,0.4800,0.8060,0.5190,1.8050
9,0.4950,1.4380,0.5250,2.4580
10,0.4880,2.1650,0.5200,3.1730
11,0.4820,0.8070,0.5170,1.8060
12,0.4850,0.7490,0.4320,1.6660
13,0.4030,2.7540,0.4310,3.5880
14,0.4010,1.4220,0.4350,2.2580
15,0.4010,3.3910,0.4310,4.2230
16,0.4030,0.6710,0.4320,1.5060
17,0.3990,1.3670,0.4320,2.1980
18,0.4020,0.9400,0.4320,1.7740
19,0.4010,1.2050,0.4320,2.0380
20,0.4010,1.2110,0.4320,2.0440
21,0.4000,0.6710,0.4320,1.5030
22,0.4020,1.6320,0.4320,2.4660
23,0.3980,0.6710,0.4320,1.5010
24,0.4030,1.1540,0.4310,1.9880
25,0.4030,2.7070,0.4320,3.5420
26,0.4050,0.9390,0.4350,1.7790
27,0.4000,1.1520,0.4320,1.9840
28,0.4010,0.6740,0.4410,1.5160
29,0.4050,1.7040,0.4340,2.5430
30,0.4220,1.1650,0.4450,2.0320
31,0.4200,1.8570,0.4430,2.7200
32,0.4070,1.6500,0.4590,2.5160
33,0.4120,2.4190,0.4400,3.2710
34,0.4120,1.3990,0.4420,2.2530
35,0.4310,1.2570,0.4730,2.1610
36,0.4110,2.3490,0.4530,3.2130
37,0.4350,1.7320,0.4420,2.6090
38,0.4090,0.6890,0.4420,1.5400
39,0.4180,3.3260,0.4380,4.1820
40,0.4100,2.2030,0.4460,3.0590
41,0.4120,1.6230,0.4380,2.4730
42,0.4100,0.9550,0.4370,1.8020
43,0.4240,1.9600,0.4350,2.8190
44,0.4060,0.7040,0.4460,1.5560
45,0.4110,1.8640,0.4340,2.7090
46,0.4120,1.2110,0.4430,2.0660
47,0.4190,0.9410,0.4400,1.8000
48,0.3580,0.9990,0.3900,1.7470
49,0.3440,0.5590,0.3940,1.2970
50,0.3080,1.2530,0.3310,1.8920
51,0.3060,0.6740,0.3820,1.3620
52,0.3330,0.7510,0.3570,1.4410
53,0.3030,1.8630,0.3300,2.4960
54,0.3050,1.5580,0.3380,2.2010
55,0.3460,2.0000,0.3290,2.6750
56,0.3090,0.5140,0.3540,1.1770
57,0.3240,1.2330,0.3290,1.8860
58,0.3050,1.1060,0.3320,1.7430
59,0.3070,1.7070,0.3260,2.3400
60,0.3000,0.5250,0.3290,1.1540
61,0.3130,0.9170,0.3500,1.5800
62,0.3230,0.5350,0.3560,1.2140
63,0.3110,0.7250,0.3320,1.3680
64,0.3050,3.5880,0.3370,4.2300
65,0.3120,0.5190,0.3300,1.1610
66,0.3070,3.6610,0.3510,4.3190
67,0.3050,0.7070,0.3260,1.3380
68,0.3030,2.0960,0.3250,2.7240
69,0.3020,1.3400,0.3230,1.9650
70,0.3060,1.5860,0.3230,2.2150
71,0.3020,0.7040,0.3250,1.3310
72,0.3040,1.0420,0.3320,1.6780
73,0.3000,0.5070,0.3230,1.1300
74,0.2980,0.5140,0.3260,1.1380
75,0.3020,1.0670,0.3230,1.6920
76,0.2990,2.5130,0.3240,3.1360
77,0.3010,0.7040,0.3240,1.3290
78,0.3020,0.5030,0.3230,1.1280
79,0.3000,0.7030,0.3240,1.3270
80,0.3010,0.6760,0.3270,1.3040
81,0.3030,0.5100,0.3290,1.1420
82,0.3020,1.3320,0.3260,1.9600
83,0.3020,1.7900,0.3270,2.4190
84,0.2990,0.6680,0.3240,1.2910
85,0.3010,0.6650,0.3240,1.2900
86,0.3010,2.0230,0.3280,2.6520
87,0.3060,0.8330,0.3250,1.4640
88,0.3010,1.0750,0.3240,1.7000
89,0.3010,1.0630,0.3230,1.6870
90,0.3000,0.5070,0.3240,1.1310
91,0.3010,3.0790,0.3310,3.7110
92,0.3050,0.8690,0.3250,1.4990
93,0.3100,0.8610,0.3270,1.4980
94,0.3070,0.8760,0.3250,1.5080
95,0.3020,1.0820,0.3260,1.7100
96,0.3040,0.5070,0.3240,1.1350
97,0.3080,1.2380,0.3340,1.8800
98,0.3070,0.7140,0.3240,1.3450
99,0.3020,0.5060,0.3240,1.1320
100,0.3140,1.0740,0.3300,1.7180
101,0.3020,1.0350,0.3360,1.6730
102,0.3500,1.2990,0.3270,1.9760
103,0.3040,0.5100,0.3240,1.1380
104,0.3150,1.0240,0.3230,1.6620
105,0.3000,1.0640,0.3230,1.6870
106,0.3010,0.6670,0.3240,1.2920
107,0.2990,0.8640,0.3240,1.4870
108,0.3000,0.5110,0.3320,1.1430
109,0.3020,0.8290,0.3240,1.4550
110,0.2990,0.5030,0.3260,1.1280
111,0.3010,0.9150,0.3260,1.5420
112,0.3010,1.8270,0.3230,2.4510
113,0.3140,1.8030,0.3230,2.4400
114,0.3000,1.6030,0.3350,2.2380
115,0.3060,1.2890,0.3260,1.9210
116,0.3200,1.0330,0.3270,1.6800
117,0.3060,2.3490,0.3270,2.9820
118,0.3020,0.5070,0.3240,1.1330
119,0.2990,0.9060,0.3290,1.5340
120,0.3020,0.5030,0.3230,1.1280
121,0.3010,0.5020,0.3230,1.1260
122,0.3000,0.5060,0.3250,1.1310
123,0.3010,0.5040,0.3240,1.1290
124,0.2990,2.2690,0.3240,2.8920
125,0.3000,0.5030,0.3240,1.1270
126,0.3000,1.1970,0.3270,1.8240
127,0.3020,1.0690,0.3240,1.6950
128,0.3000,1.0330,0.3250,1.6580
129,0.3010,0.5040,0.3230,1.1280
130,0.3000,0.9820,0.3270,1.6090
131,0.3040,2.4850,0.3240,3.1130
132,0.3000,1.6650,0.3240,2.2890
133,0.3000,1.4710,0.3230,2.0940
134,0.3020,2.9080,0.3240,3.5340
135,0.3020,1.8280,0.3240,2.4540
136,0.3080,0.5040,0.3230,1.1350
137,0.2990,0.5030,0.3230,1.1250
138,0.2990,1.0300,0.3250,1.6540
139,0.3020,0.8210,0.3230,1.4460
140,0.3000,0.5030,0.3230,1.1260
141,0.3010,0.5030,0.3230,1.1270
142,0.2980,0.8220,0.3240,1.4440
143,0.3030,1.1190,0.3280,1.7500
144,0.3060,0.6720,0.3240,1.3020
145,0.3010,1.0300,0.3240,1.6550
146,0.3020,1.0670,0.3240,1.6930
147,0.3000,1.0690,0.3250,1.6940
148,0.3010,0.6630,0.3230,1.2870
149,0.3010,0.5030,0.3230,1.1270
150,0.3020,1.5440,0.3240,2.1700
151,0.2990,0.5040,0.3270,1.1300
