Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
682,0.1250,0.2380,0.1350,0.4980
683,0.1160,0.3100,0.1370,0.5630
684,0.1150,0.5760,0.1340,0.8250
685,0.1150,0.2260,0.1330,0.4740
686,0.1140,0.3080,0.1420,0.5640
687,0.1260,0.3160,0.1380,0.5800
688,0.1180,0.5930,0.1370,0.8480
689,0.1140,0.2340,0.1420,0.4900
690,0.1150,0.2410,0.1370,0.4930
691,0.1150,0.5810,0.1340,0.8300
692,0.1190,0.2320,0.1390,0.4900
693,0.1230,0.5350,0.1360,0.7940
694,0.1160,0.2290,0.1380,0.4830
695,0.1200,0.4090,0.1340,0.6630
696,0.1150,0.3910,0.1340,0.6400
697,0.1240,0.8580,0.1400,1.1220
698,0.1220,0.2400,0.1460,0.5080
699,0.1190,0.4530,0.1400,0.7120
700,0.1160,1.0970,0.1510,1.3640
701,0.1170,1.3570,0.1400,1.6140
702,0.1190,0.8850,0.1360,1.1400
703,0.1180,0.4990,0.1470,0.7640
704,0.1160,0.3990,0.1360,0.6510
705,0.1160,0.2300,0.1360,0.4820
706,0.1160,0.4220,0.1370,0.6750
707,0.1150,0.2310,0.1390,0.4850
708,0.1150,0.2310,0.1360,0.4820
709,0.1160,0.2380,0.1370,0.4910
710,0.1160,0.7710,0.1350,1.0220
711,0.1150,0.3350,0.1360,0.5860
712,0.1150,0.5890,0.1360,0.8400
713,0.1160,0.2350,0.1360,0.4870
714,0.1170,0.3490,0.1390,0.6050
715,0.1150,1.0250,0.1360,1.2760
716,0.1140,0.3960,0.1360,0.6460
717,0.1150,0.4380,0.1370,0.6900
718,0.1160,0.7740,0.1400,1.0300
719,0.1160,0.6920,0.1370,0.9450
720,0.1170,0.3140,0.1360,0.5670
721,0.1170,0.6700,0.1360,0.9230
722,0.1170,0.7180,0.1370,0.9720
723,0.1140,0.7610,0.1330,1.0080
724,0.1160,0.8890,0.1360,1.1410
725,0.1190,0.5340,0.1470,0.8000
726,0.1140,0.3110,0.1330,0.5580
727,0.1150,0.2260,0.1370,0.4780
728,0.1220,0.2450,0.1430,0.5100
729,0.1250,0.4500,0.1390,0.7140
730,0.1250,0.4250,0.1390,0.6890
731,0.1190,1.0880,0.1390,1.3460
732,0.1170,0.4250,0.1370,0.6790
733,0.1180,0.5900,0.1370,0.8450
734,0.1190,0.3390,0.1370,0.5950
735,0.1200,0.5880,0.1620,0.8700
736,0.1420,0.2680,0.1550,0.5650
737,0.1200,0.4280,0.1410,0.6890
738,0.1260,0.4420,0.1390,0.7070
739,0.1210,0.3520,0.1400,0.6130
740,0.1180,0.7970,0.1350,1.0500
741,0.1180,2.3820,0.1380,2.6380
742,0.1160,1.0570,0.1380,1.3110
743,0.1160,0.5850,0.1380,0.8390
744,0.1180,0.5000,0.1360,0.7540
745,0.1170,0.3960,0.1400,0.6530
746,0.1160,0.4020,0.1410,0.6590
747,0.1160,0.7070,0.1360,0.9590
748,0.1200,0.3510,0.1480,0.6190
749,0.1220,0.3190,0.1360,0.5770
750,0.1160,0.5880,0.1360,0.8400
751,0.1160,0.3970,0.1360,0.6490
752,0.1170,1.2580,0.1400,1.5150
753,0.1200,0.2300,0.1350,0.4850
754,0.1200,1.1450,0.1360,1.4010
755,0.1160,1.5260,0.1380,1.7800
756,0.1200,1.1080,0.1350,1.3630
757,0.1160,0.2320,0.1360,0.4840
758,0.1150,0.5260,0.1360,0.7770
759,0.1170,0.2370,0.1370,0.4910
760,0.1170,0.4180,0.1360,0.6710
761,0.1140,0.2300,0.1450,0.4890
762,0.1220,0.4080,0.1370,0.6670
763,0.1180,0.2330,0.1350,0.4860
764,0.1160,0.5840,0.1360,0.8360
765,0.1150,0.2300,0.1450,0.4900
766,0.1180,0.9710,0.1360,1.2250
767,0.1150,0.9480,0.1340,1.1970
768,0.1160,0.3290,0.1340,0.5790
769,0.1160,0.4130,0.1340,0.6630
770,0.1140,0.6740,0.1440,0.9320
771,0.1200,1.3250,0.1340,1.5790
772,0.1150,0.4100,0.1330,0.6580
773,0.1150,0.3490,0.1370,0.6010
774,0.1210,0.5950,0.1350,0.8510
775,0.1160,0.2450,0.1400,0.5010
776,0.1190,0.5270,0.1470,0.7930
777,0.1210,0.2480,0.1470,0.5160
778,0.1180,0.6150,0.1540,0.8870
779,0.1210,0.3950,0.1520,0.6680
780,0.1180,0.3430,0.1360,0.5970
781,0.1140,0.8650,0.1390,1.1180
782,0.1210,0.6040,0.1700,0.8950
783,0.1170,1.1480,0.1380,1.4030
784,0.1190,0.4960,0.1340,0.7490
785,0.1130,0.3080,0.1340,0.5550
786,0.1140,0.3930,0.1360,0.6430
787,0.1180,0.2400,0.1400,0.4980
788,0.1160,1.1950,0.1360,1.4470
789,0.1140,0.2280,0.1340,0.4760
790,0.1150,0.4930,0.1340,0.7420
791,0.1150,1.0810,0.1370,1.3330
792,0.1180,0.4810,0.1340,0.7330
793,0.1150,0.5350,0.1340,0.7840
