Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.3400,0.5260,0.3390,1.2050
2,0.3160,0.8660,0.3390,1.5210
3,0.3280,1.4940,0.3380,2.1600
4,0.3140,0.7060,0.3380,1.3580
5,0.3220,1.5250,0.3390,2.1860
6,0.3180,0.9060,0.3450,1.5690
7,0.3160,0.5110,0.3390,1.1660
8,0.3160,0.5100,0.3380,1.1640
9,0.3140,1.9610,0.3380,2.6130
10,0.3210,0.8660,0.3420,1.5290
11,0.3160,0.5110,0.3400,1.1670
12,0.3130,0.6690,0.3380,1.3200
13,0.3140,0.5140,0.3430,1.1710
14,0.3220,0.5320,0.3500,1.2040
15,0.3250,0.7300,0.3470,1.4020
16,0.3270,0.5130,0.3380,1.1780
17,0.3230,0.7130,0.3420,1.3780
18,0.3140,0.5170,0.3380,1.1690
19,0.3150,1.0200,0.3380,1.6730
20,0.3160,0.8340,0.3390,1.4890
21,0.3210,0.7100,0.3420,1.3730
22,0.3120,1.6540,0.3380,2.3040
23,0.3140,0.5110,0.3380,1.1630
24,0.3160,0.8250,0.3430,1.4840
25,0.3210,0.8280,0.3430,1.4920
26,0.3160,0.7070,0.3390,1.3620
27,0.3150,0.7070,0.3380,1.3600
28,0.3190,0.9060,0.3410,1.5660
29,0.3160,0.9790,0.3380,1.6330
30,0.3150,0.5110,0.3380,1.1640
31,0.3140,1.1780,0.3380,1.8300
32,0.3190,2.0820,0.3450,2.7460
33,0.3150,0.5100,0.3380,1.1630
34,0.3130,0.6670,0.3390,1.3190
35,0.3180,1.4100,0.3390,2.0670
36,0.3160,1.7300,0.3420,2.3880
37,0.3140,1.0600,0.3380,1.7120
38,0.3160,0.5110,0.3400,1.1670
39,0.3160,1.0960,0.3380,1.7500
40,0.3170,0.5150,0.3420,1.1740
41,0.3170,0.5120,0.3390,1.1680
42,0.3160,0.5110,0.3390,1.1660
43,0.3140,1.2200,0.3380,1.8720
44,0.3150,0.9020,0.3380,1.5550
45,0.3190,1.6140,0.3420,2.2750
46,0.3150,1.9580,0.3370,2.6100
47,0.3150,0.5110,0.3380,1.1640
48,0.3140,0.5180,0.3380,1.1700
49,0.3210,1.3740,0.3420,2.0370
50,0.3150,0.8230,0.3380,1.4760
51,0.3150,0.5110,0.3380,1.1640
52,0.3140,0.6680,0.3380,1.3200
53,0.3170,1.0230,0.3380,1.6780
54,0.3200,0.8670,0.3420,1.5290
55,0.3150,0.5100,0.3400,1.1650
56,0.3160,1.0950,0.3380,1.7490
57,0.3120,1.0980,0.3380,1.7480
58,0.3190,0.9070,0.3420,1.5680
59,0.3160,0.6670,0.3400,1.3230
60,0.3150,0.6660,0.3380,1.3190
61,0.3150,0.5110,0.3380,1.1640
62,0.3190,2.1240,0.3420,2.7850
63,0.3160,0.5110,0.3390,1.1660
64,0.3130,0.6670,0.3380,1.3180
65,0.3150,0.7080,0.3380,1.3610
66,0.3160,0.5160,0.3390,1.1710
67,0.3190,0.8670,0.3420,1.5280
68,0.3150,0.8650,0.3380,1.5180
69,0.3150,1.2530,0.3380,1.9060
70,0.3140,1.5690,0.3380,2.2210
71,0.3180,0.5150,0.3420,1.1750
72,0.3160,0.9950,0.3400,1.6510
73,0.3170,1.1810,0.3380,1.8360
74,0.3200,0.5240,0.3380,1.1820
75,0.3150,0.9070,0.3390,1.5610
76,0.3160,0.5110,0.3420,1.1690
77,0.3150,1.0220,0.3380,1.6750
78,0.3190,0.5150,0.3420,1.1760
79,0.3160,0.6680,0.3380,1.3220
80,0.3160,0.8630,0.3380,1.5170
81,0.3160,1.2140,0.3380,1.8680
82,0.3200,0.5150,0.3420,1.1770
83,0.3150,0.9050,0.3380,1.5580
84,0.3150,0.5110,0.3380,1.1640
85,0.3140,0.8650,0.3410,1.5200
86,0.3170,0.8640,0.3430,1.5240
87,0.3150,1.8830,0.3380,2.5360
88,0.3150,0.5110,0.3380,1.1640
89,0.3150,0.8630,0.3400,1.5180
90,0.3200,1.0230,0.3410,1.6840
91,0.3150,1.8400,0.3380,2.4930
92,0.3160,1.0200,0.3380,1.6740
93,0.3170,0.8660,0.3380,1.5210
94,0.3180,0.5140,0.3410,1.1730
95,0.3130,1.4230,0.3390,2.0750
96,0.3190,0.5170,0.3430,1.1790
97,0.3140,0.6690,0.3530,1.3360
98,0.3160,1.1110,0.3430,1.7700
99,0.3180,0.5180,0.3420,1.1780
100,0.3200,1.4280,0.3410,2.0890
101,0.3200,0.7200,0.3450,1.3850
102,0.3120,0.8350,0.3410,1.4880
103,0.3180,1.3880,0.3430,2.0490
104,0.3190,0.7170,0.3420,1.3780
105,0.3170,0.5200,0.3420,1.1790
106,0.3170,0.5240,0.3420,1.1830
107,0.3150,0.5190,0.3420,1.1760
108,0.3180,0.7190,0.3440,1.3810
109,0.3200,1.2020,0.3460,1.8680
110,0.3140,1.6340,0.3430,2.2910
111,0.3170,0.8370,0.3430,1.4970
112,0.3170,1.2760,0.3420,1.9350
113,0.3200,2.1950,0.3490,2.8640
114,0.3170,1.5900,0.3420,2.2490
115,0.3160,0.7190,0.3420,1.3770
116,0.3170,1.2760,0.3420,1.9350
117,0.3190,1.2030,0.3460,1.8680
118,0.3150,0.7170,0.3420,1.3740
119,0.3160,0.5200,0.3440,1.1800
120,0.3160,0.8790,0.3420,1.5370
121,0.3180,1.4760,0.3420,2.1360
122,0.3210,1.0400,0.3460,1.7070
123,0.3170,0.8390,0.3420,1.4980
124,0.3150,0.6780,0.3420,1.3350
125,0.3160,1.0400,0.3420,1.6980
126,0.3210,0.8830,0.3460,1.5500
127,0.3170,0.7170,0.3420,1.3760
128,0.3200,1.0800,0.3460,1.7460
129,0.3210,2.0710,0.3460,2.7380
130,0.3160,0.7140,0.3420,1.3720
131,0.3180,0.5240,0.3430,1.1850
132,0.3200,0.7220,0.3470,1.3890
133,0.3170,1.2770,0.3420,1.9360
134,0.3160,1.5930,0.3420,2.2510
135,0.3160,0.7200,0.3430,1.3790
136,0.3200,0.6830,0.3470,1.3500
137,0.3180,1.4390,0.3420,2.0990
138,0.3160,1.6340,0.3420,2.2920
139,0.3190,0.7180,0.3430,1.3800
140,0.3220,0.5240,0.3470,1.1930
141,0.3170,0.7200,0.3420,1.3790
142,0.3160,1.4340,0.3420,2.0920
143,0.3150,0.7210,0.3430,1.3790
144,0.3200,1.2390,0.3460,1.9050
145,0.3170,1.1570,0.3420,1.8160
146,0.3170,0.5200,0.3420,1.1790
147,0.3150,0.7190,0.3430,1.3770
148,0.3190,1.9950,0.3470,2.6610
149,0.3180,0.5200,0.3410,1.1790
150,0.3160,2.3480,0.3440,3.0080
151,0.3160,0.7140,0.3410,1.3710
152,0.3160,1.1940,0.3440,1.8540
153,0.3170,1.9870,0.3460,2.6500
154,0.3170,1.0340,0.3420,1.6930
155,0.3150,0.9140,0.3410,1.5700
156,0.3150,0.5200,0.3420,1.1770
157,0.3230,1.5500,0.3460,2.2190
158,0.3160,1.3140,0.3410,1.9710
159,0.3170,1.0710,0.3420,1.7300
160,0.3170,1.2670,0.3420,1.9260
161,0.3170,0.8750,0.3420,1.5340
162,0.3210,0.7190,0.3460,1.3860
163,0.3220,0.6800,0.3460,1.3480
164,0.3180,1.0380,0.3460,1.7020
165,0.3160,0.5170,0.3410,1.1740
166,0.3170,0.5190,0.3420,1.1780
167,0.3160,4.9080,0.3410,5.5650
168,0.3180,0.8770,0.3480,1.5430
169,0.3180,2.0590,0.3410,2.7180
170,0.3180,1.1120,0.3410,1.7710
171,0.3140,0.5180,0.3410,1.1730
172,0.3180,2.8560,0.3450,3.5190
173,0.3150,0.5170,0.3430,1.1750
174,0.3170,1.7010,0.3410,2.3590
175,0.3160,0.8340,0.3410,1.4910
176,0.3200,0.5210,0.3450,1.1860
177,0.3150,0.5170,0.3410,1.1730
178,0.3180,0.5180,0.3420,1.1780
179,0.3170,1.1100,0.3420,1.7690
180,0.3200,0.8730,0.3410,1.5340
181,0.3200,0.5210,0.3460,1.1870
182,0.3160,1.0330,0.3420,1.6910
183,0.3170,0.5170,0.3410,1.1750
184,0.3190,1.6630,0.3420,2.3240
185,0.3180,2.2250,0.3410,2.8840
186,0.3140,0.7050,0.3370,1.3560
187,0.3140,0.5110,0.3370,1.1620
188,0.3170,0.7090,0.3420,1.3680
189,0.3170,1.7680,0.3460,2.4310
190,0.3180,0.5150,0.3420,1.1750
191,0.3160,1.0580,0.3380,1.7120
192,0.3220,0.7220,0.3460,1.3900
193,0.3210,0.8410,0.3460,1.5080
194,0.3170,1.3920,0.3430,2.0520
195,0.3180,1.1140,0.3440,1.7760
196,0.3160,0.9160,0.3420,1.5740
197,0.3170,0.5190,0.3420,1.1780
198,0.3230,1.5960,0.3450,2.2640
199,0.3170,0.9960,0.3430,1.6560
200,0.3200,0.5190,0.3420,1.1810
201,0.3230,0.5230,0.3460,1.1920
202,0.3170,1.0770,0.3430,1.7370
203,0.3180,0.8780,0.3420,1.5380
204,0.3210,3.1060,0.3460,3.7730
205,0.3170,1.0380,0.3420,1.6970
206,0.3140,0.5190,0.3420,1.1750
207,0.3200,0.7230,0.3460,1.3890
208,0.3140,1.2720,0.3410,1.9270
209,0.3190,0.8780,0.3420,1.5390
210,0.3160,0.8750,0.3410,1.5320
211,0.3220,2.6290,0.3460,3.2970
212,0.3150,0.8760,0.3450,1.5360
213,0.3180,0.5180,0.3420,1.1780
214,0.3170,1.8300,0.3420,2.4890
215,0.3230,1.4360,0.3450,2.1040
216,0.3170,0.8390,0.3420,1.4980
217,0.3150,0.8750,0.3430,1.5330
218,0.3180,0.8770,0.3410,1.5360
219,0.3160,0.6790,0.3410,1.3360
220,0.3200,0.5230,0.3460,1.1890
221,0.3170,0.5190,0.3420,1.1780
222,0.3170,0.6780,0.3420,1.3370
223,0.3170,0.9970,0.3420,1.6560
224,0.3150,3.0110,0.3420,3.6680
225,0.3210,0.9180,0.3460,1.5850
226,0.3170,1.0350,0.3410,1.6930
227,0.3170,0.5160,0.3410,1.1740
228,0.3170,0.7150,0.3420,1.3740
229,0.3170,0.8730,0.3410,1.5310
230,0.3150,0.5170,0.3410,1.1730
231,0.3190,1.2740,0.3450,1.9380
232,0.3190,0.5180,0.3420,1.1790
233,0.3180,0.8750,0.3410,1.5340
234,0.3150,1.2270,0.3410,1.8830
235,0.3220,0.7210,0.3450,1.3880
236,0.3160,1.0340,0.3420,1.6920
237,0.3140,0.6770,0.3420,1.3330
238,0.3160,1.0700,0.3410,1.7270
239,0.3210,0.6830,0.3450,1.3490
240,0.3170,2.5310,0.3440,3.1920
241,0.3170,0.8740,0.3420,1.5330
242,0.3180,1.3910,0.3460,2.0550
243,0.3200,0.7180,0.3450,1.3830
244,0.3130,0.6760,0.3420,1.3310
245,0.3190,0.8780,0.3450,1.5420
246,0.3200,1.9060,0.3460,2.5720
247,0.3140,1.5040,0.3410,2.1590
248,0.3170,1.0780,0.3430,1.7380
249,0.3180,0.7180,0.3420,1.3780
250,0.3200,2.8280,0.3470,3.4950
251,0.3180,3.4650,0.3420,4.1250
252,0.3160,0.5210,0.3430,1.1800
253,0.3170,1.1950,0.3420,1.8540
254,0.3180,0.5190,0.3440,1.1810
255,0.3220,0.8410,0.3460,1.5090
256,0.3160,0.8750,0.3410,1.5320
257,0.3150,1.0370,0.3410,1.6930
258,0.3160,0.6780,0.3420,1.3360
259,0.3180,0.9060,0.3380,1.5620
260,0.3210,1.2610,0.3420,1.9240
261,0.3160,1.4550,0.3380,2.1090
262,0.3170,1.2590,0.3380,1.9140
263,0.3150,0.7080,0.3380,1.3610
264,0.3160,0.7080,0.3380,1.3620
265,0.3150,0.7100,0.3380,1.3630
266,0.3150,0.7110,0.3430,1.3690
267,0.3230,0.5180,0.3420,1.1830
268,0.3150,0.8730,0.3410,1.5290
269,0.3160,0.8740,0.3410,1.5310
270,0.3200,0.8770,0.3450,1.5420
271,0.3160,0.8350,0.3410,1.4920
272,0.3150,0.5170,0.3410,1.1730
273,0.3160,0.5170,0.3410,1.1740
274,0.3230,1.0340,0.3460,1.7030
275,0.3150,1.2680,0.3420,1.9250
276,0.3210,0.6790,0.3460,1.3460
277,0.3170,0.5170,0.3420,1.1760
278,0.3170,1.0700,0.3410,1.7280
279,0.3230,0.9140,0.3460,1.5830
280,0.3170,1.2690,0.3420,1.9280
281,0.3150,0.5170,0.3420,1.1740
282,0.3180,1.4650,0.3420,2.1250
283,0.3190,1.2310,0.3450,1.8950
284,0.3180,1.0670,0.3420,1.7270
285,0.3160,1.2670,0.3420,1.9250
286,0.3160,1.3880,0.3420,2.0460
287,0.3150,0.5170,0.3410,1.1730
288,0.3160,0.8740,0.3420,1.5320
289,0.3190,0.5230,0.3460,1.1880
290,0.3160,0.8800,0.3420,1.5380
291,0.3160,1.7810,0.3450,2.4420
292,0.3180,0.7140,0.3420,1.3740
293,0.3160,0.5170,0.3410,1.1740
294,0.3200,0.8800,0.3460,1.5460
295,0.3150,0.6760,0.3410,1.3320
296,0.3160,0.7190,0.3420,1.3770
297,0.3140,0.5170,0.3420,1.1730
298,0.3190,0.8810,0.3410,1.5410
299,0.3150,1.1790,0.3380,1.8320
300,0.3150,1.4580,0.3380,2.1110
301,0.3160,2.3620,0.3380,3.0160
302,0.3170,1.3050,0.3420,1.9640
303,0.3180,1.0680,0.3440,1.7300
304,0.3150,0.5120,0.3380,1.1650
305,0.3150,0.8270,0.3390,1.4810
306,0.3160,1.6520,0.3380,2.3060
307,0.3190,0.5170,0.3420,1.1780
