Iteration,Keygen Time (ms),Sign Time (ms),Verify Time (ms),Total Time (ms)
1,0.2350,0.3480,0.2100,0.7930
2,0.2060,0.8290,0.2100,1.2450
3,0.2050,1.0800,0.2090,1.4940
4,0.2110,0.4810,0.2130,0.9050
5,0.2120,0.3430,0.2090,0.7640
6,0.2090,0.7010,0.2100,1.1200
7,0.2190,1.8870,0.2130,2.3190
8,0.2070,0.5970,0.2120,1.0160
9,0.2070,0.4530,0.2110,0.8710
10,0.2060,2.8860,0.2100,3.3020
11,0.2060,1.3060,0.2120,1.7240
12,0.2050,1.3270,0.2150,1.7470
13,0.2060,0.4730,0.2240,0.9030
14,0.2410,0.3420,0.2110,0.7940
15,0.2060,0.3400,0.2100,0.7560
16,0.2060,0.3350,0.2090,0.7500
17,0.2080,0.3400,0.2110,0.7590
18,0.2480,0.4300,0.2260,0.9040
19,0.2260,1.4100,0.2160,1.8520
20,0.2140,0.6640,0.2110,1.0890
21,0.2820,0.6490,0.2220,1.1530
22,0.2430,0.4590,0.2140,0.9160
23,0.2100,0.3430,0.2260,0.7790
24,0.2090,1.5280,0.2110,1.9480
25,0.2140,0.4800,0.2120,0.9060
26,0.2080,0.7120,0.2100,1.1300
27,0.2060,0.4480,0.2110,0.8650
28,0.2110,1.7630,0.2110,2.1850
29,0.2050,1.0770,0.2080,1.4900
30,0.2080,0.8320,0.2090,1.2490
31,0.2050,0.6290,0.2280,1.0620
32,0.2120,0.3470,0.2170,0.7760
33,0.2110,0.6050,0.2140,1.0300
34,0.2220,0.7700,0.2110,1.2030
35,0.2060,1.2690,0.2090,1.6840
36,0.2060,0.7520,0.2110,1.1690
37,0.2180,0.4490,0.2180,0.8850
38,0.2080,0.4810,0.2110,0.9000
39,0.2070,0.7100,0.2110,1.1280
40,0.2090,0.8840,0.2120,1.3050
41,0.2080,0.9850,0.2120,1.4050
42,0.2070,0.4820,0.2110,0.9000
43,0.2090,1.2670,0.2260,1.7020
44,0.2120,1.1580,0.2190,1.5890
45,0.2100,0.8920,0.2120,1.3140
46,0.2090,0.4530,0.2140,0.8760
47,0.2050,0.8000,0.2130,1.2180
48,0.2040,0.4770,0.2120,0.8930
49,0.2060,0.8590,0.2120,1.2770
50,0.2080,0.8450,0.2120,1.2650
51,0.2070,0.4850,0.2130,0.9050
52,0.2090,0.3380,0.2110,0.7580
53,0.2060,0.7040,0.2130,1.1230
54,0.2070,0.8190,0.2180,1.2440
55,0.2070,0.3960,0.2160,0.8190
56,0.2100,0.3680,0.2120,0.7900
57,0.2070,0.7570,0.2110,1.1750
58,0.2200,0.5860,0.2090,1.0150
59,0.2070,0.4820,0.2120,0.9010
60,0.2070,0.7360,0.2120,1.1550
61,0.2100,0.5800,0.2160,1.0060
62,0.2220,0.3570,0.2140,0.7930
63,0.2130,1.1750,0.2230,1.6110
64,0.2090,0.3590,0.2140,0.7820
65,0.2060,0.3380,0.2140,0.7580
66,0.2100,0.3380,0.2160,0.7640
67,0.2070,0.4460,0.2090,0.8620
68,0.2240,0.6720,0.2800,1.1760
69,0.2260,0.9740,0.2310,1.4310
70,0.2110,1.2430,0.2150,1.6690
71,0.2080,0.4510,0.2110,0.8700
72,0.2120,0.6760,0.2130,1.1010
73,0.2080,1.5820,0.2120,2.0020
74,0.2080,0.8420,0.2120,1.2620
75,0.2100,0.7510,0.2290,1.1900
76,0.2120,0.5980,0.2210,1.0310
77,0.2150,0.4850,0.2160,0.9160
78,0.2170,0.6030,0.2350,1.0550
79,0.2370,0.8650,0.2150,1.3170
80,0.2120,1.0440,0.2150,1.4710
81,0.2320,0.3540,0.2340,0.8200
82,0.2130,0.9920,0.2130,1.4180
83,0.2090,0.3430,0.2160,0.7680
84,0.2100,0.5970,0.2350,1.0420
85,0.2110,1.1260,0.2140,1.5510
86,0.2100,0.7610,0.2200,1.1910
87,0.2180,0.9990,0.2230,1.4400
88,0.2160,0.3570,0.2150,0.7880
89,0.2110,1.2270,0.2170,1.6550
90,0.2110,0.4640,0.2140,0.8890
91,0.2110,0.6270,0.2280,1.0660
92,0.2130,0.7160,0.2140,1.1430
93,0.2220,0.7790,0.2110,1.2120
94,0.2080,0.3410,0.2100,0.7590
