Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
695,Dilithium2,0.1076,1.2855,0.1111,1.5042
696,Dilithium2,0.1044,0.2672,0.1120,0.4836
697,Dilithium2,0.1043,0.4129,0.1106,0.6278
698,Dilithium2,0.1035,0.3628,0.1105,0.5768
699,Dilithium2,0.1028,0.5136,0.1090,0.7254
700,Dilithium2,0.1036,0.4990,0.1098,0.7124
701,Dilithium2,0.1035,1.1386,0.1087,1.3508
702,Dilithium2,0.1015,0.2692,0.1148,0.4855
703,Dilithium2,0.1019,0.3238,0.1095,0.5352
704,Dilithium2,0.1023,0.4969,0.1095,0.7087
705,Dilithium2,0.1035,0.1809,0.1087,0.3931
706,Dilithium2,0.1012,0.1850,0.1088,0.3950
707,Dilithium2,0.1032,0.3510,0.1088,0.5630
708,Dilithium2,0.1920,0.6430,0.1093,0.9443
709,Dilithium2,0.1013,0.2690,0.1107,0.4810
710,Dilithium2,0.1012,0.4137,0.1095,0.6244
711,Dilithium2,0.1027,0.5937,0.1192,0.8156
712,Dilithium2,0.1057,0.7119,0.1124,0.9300
713,Dilithium2,0.1058,0.1839,0.1109,0.4006
714,Dilithium2,0.1110,0.4126,0.1118,0.6354
715,Dilithium2,0.1048,0.2685,0.1165,0.4898
716,Dilithium2,0.1030,0.4120,0.1118,0.6268
717,Dilithium2,0.1034,0.8633,0.1124,1.0791
718,Dilithium2,0.1047,1.4684,0.1117,1.6848
719,Dilithium2,0.1045,0.6459,0.1111,0.8615
720,Dilithium2,0.1034,0.4263,0.1111,0.6408
721,Dilithium2,0.1107,0.1816,0.1093,0.4016
722,Dilithium2,0.1032,1.1915,0.1103,1.4050
723,Dilithium2,0.1022,0.1847,0.1096,0.3965
724,Dilithium2,0.1031,0.7511,0.1152,0.9694
725,Dilithium2,0.1038,0.1816,0.1100,0.3954
726,Dilithium2,0.1019,0.4137,0.1095,0.6251
727,Dilithium2,0.1026,1.1913,0.1099,1.4038
728,Dilithium2,0.1048,0.5038,0.1104,0.7190
729,Dilithium2,0.1030,0.8009,0.1100,1.0139
730,Dilithium2,0.1046,0.1808,0.1126,0.3980
731,Dilithium2,0.1031,0.4252,0.1101,0.6384
732,Dilithium2,0.1009,0.5683,0.1134,0.7826
733,Dilithium2,0.1999,0.5136,0.1103,0.8238
734,Dilithium2,0.1075,0.1818,0.1111,0.4004
735,Dilithium2,0.1034,0.3413,0.1104,0.5551
736,Dilithium2,0.1031,0.5739,0.1129,0.7899
737,Dilithium2,0.1037,0.1820,0.1132,0.3989
738,Dilithium2,0.2035,0.3410,0.1109,0.6554
739,Dilithium2,0.1040,0.4852,0.1101,0.6993
740,Dilithium2,0.1038,0.3287,0.1103,0.5428
741,Dilithium2,0.1060,0.2666,0.1096,0.4822
742,Dilithium2,0.1032,0.5408,0.1094,0.7534
743,Dilithium2,0.1900,0.2545,0.1107,0.5552
