Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium3,0.1959,0.5446,0.1880,0.9285
2,Dilithium3,0.1950,0.2895,0.1849,0.6694
3,Dilithium3,0.2227,0.5370,0.3840,1.1437
4,Dilithium3,0.1936,0.2882,0.1822,0.6640
5,Dilithium3,0.1890,0.7866,0.1833,1.1589
6,Dilithium3,0.2055,0.5325,0.1815,0.9195
7,Dilithium3,0.2199,1.3018,0.1847,1.7064
8,Dilithium3,0.1969,1.7046,0.1834,2.0849
9,Dilithium3,0.1941,1.0414,0.1959,1.4314
10,Dilithium3,0.1927,0.4102,0.1826,0.7855
11,Dilithium3,0.1958,0.2854,0.1820,0.6632
12,Dilithium3,0.1892,1.3442,0.1834,1.7168
13,Dilithium3,0.1925,0.2866,0.1986,0.6777
14,Dilithium3,0.2070,0.4279,0.1824,0.8173
15,Dilithium3,0.1914,0.5471,0.1866,0.9251
16,Dilithium3,0.1978,0.5830,0.1855,0.9663
17,Dilithium3,0.1958,0.7619,0.1841,1.1418
18,Dilithium3,0.2021,0.5149,0.1817,0.8987
19,Dilithium3,0.1911,0.6183,0.1823,0.9917
20,Dilithium3,0.1903,0.4156,0.1811,0.7870
21,Dilithium3,0.1898,0.2838,0.1896,0.6632
22,Dilithium3,0.1894,1.4154,0.1827,1.7875
23,Dilithium3,0.1993,0.2832,0.1802,0.6627
24,Dilithium3,0.1893,0.4220,0.1803,0.7916
25,Dilithium3,0.1887,0.5161,0.1797,0.8845
26,Dilithium3,0.2826,0.5419,0.1811,1.0056
27,Dilithium3,0.1889,0.4066,0.1916,0.7871
28,Dilithium3,0.1952,0.5937,0.1895,0.9784
29,Dilithium3,0.1938,0.6212,0.2161,1.0311
30,Dilithium3,0.2607,0.7086,0.1885,1.1578
31,Dilithium3,0.1930,0.8742,0.1828,1.2500
32,Dilithium3,0.1910,0.5770,0.1842,0.9522
33,Dilithium3,0.1938,0.5290,0.1824,0.9052
34,Dilithium3,0.1901,0.4087,0.1915,0.7903
35,Dilithium3,0.1891,0.4076,0.1796,0.7763
36,Dilithium3,0.1945,1.2834,0.1805,1.6584
37,Dilithium3,0.1892,0.9314,0.1797,1.3003
38,Dilithium3,0.1993,0.4065,0.2699,0.8757
39,Dilithium3,0.1900,1.2562,0.1808,1.6270
40,Dilithium3,0.1882,1.0375,0.2172,1.4429
41,Dilithium3,0.3331,0.4298,0.1906,0.9535
42,Dilithium3,0.2229,0.8150,0.2131,1.2510
43,Dilithium3,0.2147,0.6349,0.1996,1.0492
44,Dilithium3,0.3672,2.9554,0.1846,3.5072
45,Dilithium3,0.1959,0.2946,0.3285,0.8190
46,Dilithium3,0.1942,0.4236,0.1831,0.8009
47,Dilithium3,0.1930,0.2868,0.1848,0.6646
48,Dilithium3,0.2091,1.3097,0.3139,1.8327
49,Dilithium3,0.1921,0.4030,0.1816,0.7767
50,Dilithium3,0.1924,0.2923,0.1834,0.6681
51,Dilithium3,0.1897,1.0829,0.2721,1.5447
52,Dilithium3,0.1895,0.6388,0.1807,1.0090
53,Dilithium3,0.1888,0.2894,0.1805,0.6587
54,Dilithium3,0.1879,0.7605,0.1800,1.1284
55,Dilithium3,0.2757,0.6547,0.1797,1.1101
56,Dilithium3,0.1881,0.3929,0.1792,0.7602
57,Dilithium3,0.1875,0.2813,0.1844,0.6532
58,Dilithium3,0.1873,0.7513,0.1839,1.1225
59,Dilithium3,0.1909,1.6616,0.1806,2.0331
60,Dilithium3,0.2028,1.6239,0.1867,2.0134
61,Dilithium3,0.1937,1.2130,0.1813,1.5880
62,Dilithium3,0.1952,0.5333,0.1809,0.9094
63,Dilithium3,0.3250,0.8710,0.1880,1.3840
64,Dilithium3,0.1918,0.2852,0.1825,0.6595
65,Dilithium3,0.1953,0.2844,0.1807,0.6604
66,Dilithium3,0.1901,1.3154,0.1860,1.6915
67,Dilithium3,0.1950,0.4062,0.1806,0.7818
68,Dilithium3,0.1952,0.6105,0.1798,0.9855
69,Dilithium3,0.1974,0.5832,0.1796,0.9602
70,Dilithium3,0.1951,0.9042,0.1798,1.2791
71,Dilithium3,0.1916,0.8797,0.1784,1.2497
72,Dilithium3,0.2734,0.2828,0.1843,0.7405
73,Dilithium3,0.1916,0.2818,0.1796,0.6530
74,Dilithium3,0.1930,0.5199,0.1784,0.8913
75,Dilithium3,0.1877,0.8306,0.1793,1.1976
76,Dilithium3,0.1943,1.5441,0.1792,1.9176
77,Dilithium3,0.1921,0.6121,0.1787,0.9829
78,Dilithium3,0.2849,0.6358,0.1793,1.1000
79,Dilithium3,0.1930,3.0722,0.1810,3.4462
80,Dilithium3,0.1914,0.9905,0.1805,1.3624
81,Dilithium3,0.1875,0.4081,0.1796,0.7752
82,Dilithium3,0.1879,0.5067,0.1802,0.8748
83,Dilithium3,0.1896,2.0180,0.1781,2.3857
84,Dilithium3,0.1893,0.8439,0.1812,1.2144
85,Dilithium3,0.1882,0.4045,0.1801,0.7728
86,Dilithium3,0.1879,0.2940,0.1795,0.6614
87,Dilithium3,0.2025,0.9499,0.2608,1.4132
88,Dilithium3,0.1979,1.4859,0.1806,1.8644
89,Dilithium3,0.1884,0.4138,0.1798,0.7820
90,Dilithium3,0.1875,0.6131,0.1794,0.9800
91,Dilithium3,0.1908,0.2830,0.1848,0.6586
92,Dilithium3,0.1879,0.2837,0.1797,0.6513
93,Dilithium3,0.1888,1.1942,0.1804,1.5634
94,Dilithium3,0.1880,1.4349,0.1834,1.8063
95,Dilithium3,0.1901,0.4046,0.1799,0.7746
96,Dilithium3,0.1923,0.3679,0.1800,0.7402
97,Dilithium3,0.1880,0.5157,0.1793,0.8830
98,Dilithium3,0.1879,0.2860,0.1795,0.6534
99,Dilithium3,0.1873,0.8981,0.2594,1.3448
100,Dilithium3,0.1895,0.2886,0.1797,0.6578
101,Dilithium3,0.1929,0.9904,0.1798,1.3631
102,Dilithium3,0.1870,0.9856,0.1800,1.3526
103,Dilithium3,0.1932,0.9491,0.1805,1.3228
104,Dilithium3,0.1893,0.2843,0.1794,0.6530
105,Dilithium3,0.1935,0.2864,0.1810,0.6609
106,Dilithium3,0.2875,0.5356,0.1799,1.0030
107,Dilithium3,0.1899,0.2867,0.1805,0.6571
108,Dilithium3,0.1930,0.5280,0.1820,0.9030
109,Dilithium3,0.1920,0.8549,0.1829,1.2298
110,Dilithium3,0.1886,0.7795,0.1817,1.1498
111,Dilithium3,0.1877,0.5350,0.1822,0.9049
