Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium5,0.6341,0.6574,0.3047,1.5962
2,Dilithium5,0.2947,0.6464,0.3050,1.2461
3,Dilithium5,0.2951,2.4231,0.3090,3.0272
4,Dilithium5,0.2944,1.7457,0.3045,2.3446
5,Dilithium5,0.3054,0.6132,0.3159,1.2345
6,Dilithium5,0.4785,0.8379,0.3020,1.6184
7,Dilithium5,0.2999,0.7616,0.3121,1.3736
8,Dilithium5,0.2929,1.1678,0.3032,1.7639
9,Dilithium5,0.2985,2.7362,0.3016,3.3363
10,Dilithium5,0.2971,2.0486,0.3012,2.6469
11,Dilithium5,0.2943,0.4480,0.3054,1.0477
12,Dilithium5,0.2865,2.3182,0.3004,2.9051
13,Dilithium5,0.3030,0.4444,0.3090,1.0564
14,Dilithium5,0.2883,1.0890,0.3005,1.6778
15,Dilithium5,0.2845,0.6376,0.3003,1.2224
16,Dilithium5,0.4743,2.4952,0.3119,3.2814
17,Dilithium5,0.2893,2.1209,0.2980,2.7082
18,Dilithium5,0.2885,0.7746,0.3044,1.3675
19,Dilithium5,0.2871,1.2831,0.3027,1.8729
20,Dilithium5,0.4364,0.9175,0.2997,1.6536
21,Dilithium5,0.2916,0.4399,0.2977,1.0292
22,Dilithium5,0.3030,2.6747,0.3015,3.2792
23,Dilithium5,0.2843,0.5991,0.2926,1.1760
24,Dilithium5,0.2850,0.8101,0.3031,1.3982
25,Dilithium5,0.4228,1.3299,0.2982,2.0509
26,Dilithium5,0.2928,1.1189,0.3981,1.8098
27,Dilithium5,0.2805,0.5946,0.2971,1.1722
28,Dilithium5,0.2855,0.4322,0.2950,1.0127
29,Dilithium5,0.2818,0.7210,0.2986,1.3014
30,Dilithium5,0.2814,1.1162,0.2973,1.6949
31,Dilithium5,0.2852,0.6139,0.2921,1.1912
32,Dilithium5,0.2909,0.9686,0.4067,1.6662
33,Dilithium5,0.2849,1.7468,0.2961,2.3278
34,Dilithium5,0.3084,0.9493,0.2992,1.5569
35,Dilithium5,0.2913,1.6100,0.3153,2.2166
36,Dilithium5,0.2861,1.4589,0.3003,2.0453
37,Dilithium5,0.2929,0.7600,0.3036,1.3565
38,Dilithium5,0.2870,0.9702,0.2997,1.5569
39,Dilithium5,0.2848,1.3963,0.2979,1.9790
40,Dilithium5,0.2810,0.7519,0.2972,1.3301
41,Dilithium5,0.2782,0.4369,0.3076,1.0227
42,Dilithium5,0.2960,2.2934,0.3016,2.8910
43,Dilithium5,0.2978,0.4468,0.3029,1.0475
44,Dilithium5,0.2934,1.8827,0.2968,2.4729
45,Dilithium5,0.2962,2.3589,0.2947,2.9498
46,Dilithium5,0.2802,0.6266,0.2996,1.2064
47,Dilithium5,0.2877,1.4191,0.2971,2.0039
48,Dilithium5,0.2882,0.4436,0.2952,1.0270
49,Dilithium5,0.2825,1.2245,0.2933,1.8003
50,Dilithium5,0.2851,1.4237,0.2916,2.0004
51,Dilithium5,0.2786,1.6742,0.4192,2.3720
52,Dilithium5,0.2920,1.7935,0.3014,2.3869
53,Dilithium5,0.2823,1.4252,0.2978,2.0053
54,Dilithium5,0.2811,0.6256,0.2962,1.2029
55,Dilithium5,0.2796,0.4412,0.2938,1.0146
56,Dilithium5,0.2856,0.4441,0.2967,1.0264
57,Dilithium5,0.4015,0.7828,0.2953,1.4796
58,Dilithium5,0.2886,0.7849,0.2959,1.3694
59,Dilithium5,0.2821,1.4260,0.2942,2.0023
60,Dilithium5,0.2823,0.7826,0.2946,1.3595
61,Dilithium5,0.2797,2.3289,0.4165,3.0251
62,Dilithium5,0.2920,1.6135,0.2958,2.2013
63,Dilithium5,0.2864,0.9163,0.3009,1.5036
64,Dilithium5,0.3058,0.4472,0.2985,1.0515
65,Dilithium5,0.2903,0.8068,0.2931,1.3902
66,Dilithium5,0.2894,0.6288,0.3048,1.2230
67,Dilithium5,0.2884,0.5752,0.3121,1.1757
68,Dilithium5,0.2880,0.6050,0.3009,1.1939
69,Dilithium5,0.2936,0.4479,0.2984,1.0399
70,Dilithium5,0.3974,0.7764,0.2956,1.4694
