Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium3,0.1944,0.5084,0.1893,0.8921
2,Dilithium3,0.1992,1.0912,0.1863,1.4767
3,Dilithium3,0.1919,0.3899,0.1852,0.7670
4,Dilithium3,0.1958,0.3965,0.1821,0.7744
5,Dilithium3,0.1998,0.4910,0.1826,0.8734
6,Dilithium3,0.2023,3.6107,0.2696,4.0826
7,Dilithium3,0.2013,1.3827,0.1847,1.7687
8,Dilithium3,0.1917,0.5262,0.1784,0.8963
9,Dilithium3,0.1870,0.7566,0.1864,1.1300
10,Dilithium3,0.2089,0.2961,0.1809,0.6859
11,Dilithium3,0.1870,0.7432,0.2053,1.1355
12,Dilithium3,0.1889,0.5208,0.3114,1.0211
13,Dilithium3,0.1927,0.5063,0.1819,0.8809
14,Dilithium3,0.1897,0.2787,0.1947,0.6631
15,Dilithium3,0.1899,0.5871,0.1896,0.9666
16,Dilithium3,0.1882,1.3820,0.1844,1.7546
17,Dilithium3,0.2025,1.0386,0.1787,1.4198
18,Dilithium3,0.1871,1.2173,0.1856,1.5900
19,Dilithium3,0.2007,0.4747,0.1796,0.8550
20,Dilithium3,0.1884,0.2937,0.1815,0.6636
21,Dilithium3,0.1859,0.4232,0.1860,0.7951
22,Dilithium3,0.1903,0.4895,0.1894,0.8692
23,Dilithium3,0.1885,0.3760,0.1850,0.7495
24,Dilithium3,0.2050,1.5657,0.1817,1.9524
25,Dilithium3,0.1979,0.8270,0.1894,1.2143
26,Dilithium3,0.1923,0.6971,0.1922,1.0816
27,Dilithium3,0.3038,0.2833,0.1867,0.7738
28,Dilithium3,0.2043,0.7987,0.1943,1.1973
29,Dilithium3,0.1891,0.2801,0.1802,0.6494
30,Dilithium3,0.1877,1.2513,0.1847,1.6237
31,Dilithium3,0.1866,0.4829,0.1812,0.8507
32,Dilithium3,0.1870,0.3725,0.1883,0.7478
33,Dilithium3,0.1890,0.6205,0.1942,1.0037
34,Dilithium3,0.1934,1.3130,0.1842,1.6906
35,Dilithium3,0.1906,0.2895,0.1838,0.6639
36,Dilithium3,0.1894,0.4960,0.1821,0.8675
37,Dilithium3,0.1863,1.3608,0.1884,1.7355
38,Dilithium3,0.1941,1.5561,0.1796,1.9298
39,Dilithium3,0.2095,0.8251,0.2027,1.2373
40,Dilithium3,0.1927,0.4668,0.1920,0.8515
41,Dilithium3,0.1951,0.9323,0.1869,1.3143
42,Dilithium3,0.1927,0.7158,0.1795,1.0880
43,Dilithium3,0.1880,1.7202,0.1845,2.0927
44,Dilithium3,0.1928,0.2839,0.1885,0.6652
45,Dilithium3,0.1908,0.6089,0.1833,0.9830
46,Dilithium3,0.1910,2.1076,0.1856,2.4842
47,Dilithium3,0.1936,1.7688,0.1802,2.1426
48,Dilithium3,0.2023,0.5847,0.1806,0.9676
49,Dilithium3,0.1966,0.5884,0.1808,0.9658
50,Dilithium3,0.1996,1.3998,0.1870,1.7864
51,Dilithium3,0.1951,1.0687,0.1951,1.4589
52,Dilithium3,0.1956,0.7758,0.3711,1.3425
53,Dilithium3,0.1944,1.7350,0.1847,2.1141
54,Dilithium3,0.1940,0.9531,0.3132,1.4603
55,Dilithium3,0.1930,0.4931,0.1854,0.8715
56,Dilithium3,0.1989,0.6343,0.1863,1.0195
57,Dilithium3,0.1993,0.7207,0.2930,1.2130
58,Dilithium3,0.2350,0.6123,0.2422,1.0895
59,Dilithium3,0.2367,3.6127,0.1868,4.0362
60,Dilithium3,0.1928,0.6367,0.1854,1.0149
61,Dilithium3,0.1938,0.4824,0.2009,0.8771
62,Dilithium3,0.1968,0.6818,0.2005,1.0791
63,Dilithium3,0.1954,0.6514,0.1859,1.0327
64,Dilithium3,0.1919,0.3792,0.1922,0.7633
65,Dilithium3,0.1951,0.7011,0.2030,1.0992
66,Dilithium3,0.1927,0.5193,0.1927,0.9047
67,Dilithium3,0.1905,0.4926,0.1812,0.8643
68,Dilithium3,0.2042,1.3903,0.1878,1.7823
69,Dilithium3,0.1928,0.5958,0.1862,0.9748
70,Dilithium3,0.1917,0.8390,0.1800,1.2107
71,Dilithium3,0.1974,0.7916,0.2107,1.1997
72,Dilithium3,0.1892,1.2928,0.1797,1.6617
73,Dilithium3,0.2007,1.6989,0.1875,2.0871
74,Dilithium3,0.1981,0.8089,0.1901,1.1971
75,Dilithium3,0.1873,0.4924,0.1816,0.8613
76,Dilithium3,0.2039,0.4718,0.1859,0.8616
77,Dilithium3,0.1995,0.4017,0.1808,0.7820
78,Dilithium3,0.1870,0.4797,0.1803,0.8470
79,Dilithium3,0.1870,0.2775,0.1908,0.6553
80,Dilithium3,0.2999,1.3173,0.1823,1.7995
81,Dilithium3,0.1986,1.1502,0.1854,1.5342
82,Dilithium3,0.3114,0.5070,0.1830,1.0014
83,Dilithium3,0.1910,0.3852,0.1895,0.7657
84,Dilithium3,0.1898,0.3952,0.1893,0.7743
85,Dilithium3,0.1955,0.9167,0.1831,1.2953
86,Dilithium3,0.1879,1.8996,0.1802,2.2677
87,Dilithium3,0.1863,0.3881,0.1849,0.7593
88,Dilithium3,0.1942,0.4975,0.1843,0.8760
89,Dilithium3,0.1880,1.4831,0.1886,1.8597
90,Dilithium3,0.2848,0.4962,0.1901,0.9711
91,Dilithium3,0.1912,0.8117,0.1840,1.1869
92,Dilithium3,0.1884,0.2810,0.1796,0.6490
93,Dilithium3,0.1951,0.3894,0.2041,0.7886
94,Dilithium3,0.1963,0.5223,0.1826,0.9012
95,Dilithium3,0.1903,0.4077,0.1824,0.7804
96,Dilithium3,0.1908,0.6245,0.1813,0.9966
97,Dilithium3,0.3143,0.5038,0.1810,0.9991
98,Dilithium3,0.1875,0.6940,0.1805,1.0620
99,Dilithium3,0.1892,1.7068,0.1871,2.0831
100,Dilithium3,0.1893,0.6211,0.1860,0.9964
101,Dilithium3,0.1868,1.3760,0.3372,1.9000
102,Dilithium3,0.2407,0.7971,0.1855,1.2233
103,Dilithium3,0.1939,0.9509,0.1889,1.3337
104,Dilithium3,0.1932,0.7414,0.1837,1.1183
