Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
886,Dilithium5,0.2890,0.4297,0.3109,1.0296
887,Dilithium5,0.2871,0.7781,0.4053,1.4705
888,Dilithium5,0.2847,0.6054,0.2942,1.1843
889,Dilithium5,0.2935,0.4216,0.3020,1.0171
890,Dilithium5,0.2940,0.5566,0.2986,1.1492
891,Dilithium5,0.2974,1.8703,0.2974,2.4651
892,Dilithium5,0.3954,0.5832,0.3002,1.2788
893,Dilithium5,0.2864,0.5760,0.3002,1.1626
894,Dilithium5,0.2905,0.6968,0.3070,1.2943
895,Dilithium5,0.3236,0.6167,0.3017,1.2420
896,Dilithium5,0.2886,0.9499,0.2992,1.5377
897,Dilithium5,0.2940,0.5749,0.3171,1.1860
898,Dilithium5,0.2857,1.2260,0.3115,1.8232
899,Dilithium5,0.2956,0.9067,0.3009,1.5032
900,Dilithium5,0.2831,0.5600,0.2985,1.1416
901,Dilithium5,0.2835,1.0225,0.3058,1.6118
902,Dilithium5,0.2808,1.6281,0.2949,2.2038
903,Dilithium5,0.2773,0.4412,0.2938,1.0123
904,Dilithium5,0.2760,0.4382,0.2994,1.0136
905,Dilithium5,0.2833,1.7579,0.4579,2.4991
906,Dilithium5,0.2913,1.4084,0.3124,2.0121
907,Dilithium5,0.2891,1.7096,0.2977,2.2964
908,Dilithium5,0.2888,0.9557,0.3052,1.5497
909,Dilithium5,0.3053,0.5998,0.3117,1.2168
910,Dilithium5,0.2932,1.7816,0.3042,2.3790
911,Dilithium5,0.2882,0.7832,0.3051,1.3765
912,Dilithium5,0.2919,0.8670,0.4112,1.5701
913,Dilithium5,0.2862,0.4380,0.2945,1.0187
914,Dilithium5,0.2758,0.4390,0.3003,1.0151
915,Dilithium5,0.2803,1.5612,0.2967,2.1382
916,Dilithium5,0.2806,0.4410,0.2946,1.0162
917,Dilithium5,0.2747,1.3998,0.2986,1.9731
918,Dilithium5,0.2824,0.6098,0.2998,1.1920
919,Dilithium5,0.2984,0.7418,0.3150,1.3552
920,Dilithium5,0.2808,0.6029,0.3051,1.1888
921,Dilithium5,0.2816,0.8619,0.3186,1.4621
922,Dilithium5,0.2961,1.2515,0.3073,1.8549
923,Dilithium5,0.3011,0.9728,0.3053,1.5792
924,Dilithium5,0.2852,0.6051,0.2975,1.1878
925,Dilithium5,0.2800,0.8775,0.2951,1.4526
926,Dilithium5,0.2928,2.7087,0.3043,3.3058
927,Dilithium5,0.2894,1.4202,0.4369,2.1465
928,Dilithium5,0.2888,1.2229,0.3120,1.8237
929,Dilithium5,0.2866,0.4375,0.4358,1.1599
930,Dilithium5,0.2928,0.5859,0.3010,1.1797
931,Dilithium5,0.2895,0.9168,0.3072,1.5135
932,Dilithium5,0.3928,0.7429,0.2991,1.4348
933,Dilithium5,0.2780,0.4369,0.2943,1.0092
934,Dilithium5,0.2815,1.3321,0.2965,1.9101
935,Dilithium5,0.2788,0.6244,0.3128,1.2160
936,Dilithium5,0.2975,0.5719,0.3026,1.1720
937,Dilithium5,0.2996,1.9152,0.3051,2.5199
938,Dilithium5,0.2938,0.4426,0.3053,1.0417
939,Dilithium5,0.2853,1.2458,0.3007,1.8318
940,Dilithium5,0.4140,0.7184,0.2941,1.4265
941,Dilithium5,0.2881,1.2252,0.3014,1.8147
942,Dilithium5,0.4000,1.8596,0.3041,2.5637
943,Dilithium5,0.2857,1.4183,0.3047,2.0087
944,Dilithium5,0.2796,0.8800,0.2938,1.4534
945,Dilithium5,0.2824,0.4318,0.2977,1.0119
946,Dilithium5,0.2874,0.4474,0.3007,1.0355
947,Dilithium5,0.2873,0.9606,0.3147,1.5626
948,Dilithium5,0.2881,0.4330,0.3104,1.0315
949,Dilithium5,0.2866,0.8273,0.3077,1.4216
950,Dilithium5,0.4734,0.4327,0.3061,1.2122
951,Dilithium5,0.2994,1.3709,0.2993,1.9696
952,Dilithium5,0.2869,0.8404,0.2975,1.4248
953,Dilithium5,0.2769,1.0168,0.2967,1.5904
954,Dilithium5,0.2963,0.5587,0.3056,1.1606
955,Dilithium5,0.2887,0.4244,0.3030,1.0161
956,Dilithium5,0.2815,0.8802,0.2984,1.4601
957,Dilithium5,0.2885,0.7495,0.3030,1.3410
958,Dilithium5,0.3009,0.9715,0.3023,1.5747
959,Dilithium5,0.2907,0.4460,0.3058,1.0425
960,Dilithium5,0.2897,0.7581,0.3040,1.3518
961,Dilithium5,0.4255,0.5940,0.3072,1.3267
962,Dilithium5,0.2767,0.4214,0.3095,1.0076
963,Dilithium5,0.2817,1.9205,0.2965,2.4987
964,Dilithium5,0.3272,0.5767,0.3006,1.2045
965,Dilithium5,0.2954,0.6173,0.3150,1.2277
966,Dilithium5,0.2905,0.9973,0.3034,1.5912
967,Dilithium5,0.2976,0.9529,0.3004,1.5509
968,Dilithium5,0.2890,0.4381,0.3028,1.0299
