Iteración,Dilithium Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,Dilithium2,0.1155,0.2635,0.1173,0.4963
2,Dilithium2,0.1087,0.2523,0.1164,0.4774
3,Dilithium2,0.1137,0.9268,0.1285,1.1690
4,Dilithium2,0.1069,0.4725,0.1157,0.6951
5,Dilithium2,0.1111,0.3429,0.1120,0.5660
6,Dilithium2,0.1053,0.3986,0.1203,0.6242
7,Dilithium2,0.1039,0.3335,0.1103,0.5477
8,Dilithium2,0.1065,0.1811,0.1206,0.4082
9,Dilithium2,0.1273,0.4702,0.1136,0.7111
10,Dilithium2,0.1104,0.1914,0.1122,0.4140
11,Dilithium2,0.1058,0.2614,0.1166,0.4838
12,Dilithium2,0.1048,0.3530,0.1129,0.5707
13,Dilithium2,0.1107,0.5896,0.1213,0.8216
14,Dilithium2,0.1058,0.5971,0.1139,0.8168
15,Dilithium2,0.1095,0.4251,0.1162,0.6508
16,Dilithium2,0.1104,0.3178,0.1203,0.5485
17,Dilithium2,0.1046,0.4379,0.1171,0.6596
18,Dilithium2,0.1088,0.5564,0.1130,0.7782
19,Dilithium2,0.2742,0.2764,0.1143,0.6649
20,Dilithium2,0.1103,0.2658,0.1170,0.4931
21,Dilithium2,0.1113,0.2740,0.1143,0.4996
22,Dilithium2,0.1109,0.9365,0.1111,1.1585
23,Dilithium2,0.1087,0.2623,0.2271,0.5981
24,Dilithium2,0.1190,0.3320,0.1128,0.5638
25,Dilithium2,0.1098,0.1854,0.1112,0.4064
26,Dilithium2,0.1111,0.6438,0.1148,0.8697
27,Dilithium2,0.1029,0.2704,0.1150,0.4883
28,Dilithium2,0.1042,0.1791,0.1104,0.3937
29,Dilithium2,0.2190,0.1961,0.1117,0.5268
30,Dilithium2,0.1061,0.4889,0.1168,0.7118
31,Dilithium2,0.1141,0.1807,0.1118,0.4066
32,Dilithium2,0.1088,0.1806,0.1122,0.4016
33,Dilithium2,0.1054,0.2729,0.1110,0.4893
34,Dilithium2,0.1042,0.2671,0.1130,0.4843
35,Dilithium2,0.3196,0.5765,0.1217,1.0178
36,Dilithium2,0.1076,0.1956,0.1147,0.4179
37,Dilithium2,0.1118,0.1843,0.1145,0.4106
38,Dilithium2,0.1067,0.6590,0.1164,0.8821
39,Dilithium2,0.1122,1.0713,0.1173,1.3008
40,Dilithium2,0.1110,0.1979,0.1139,0.4228
41,Dilithium2,0.1066,0.1848,0.1143,0.4057
42,Dilithium2,0.1067,0.4856,0.1139,0.7062
43,Dilithium2,0.1127,0.1869,0.1141,0.4137
44,Dilithium2,0.1069,0.2595,0.1192,0.4856
45,Dilithium2,0.2728,0.5575,0.1147,0.9450
46,Dilithium2,0.1074,0.3394,0.1149,0.5617
47,Dilithium2,0.1085,1.0144,0.1220,1.2449
48,Dilithium2,0.1127,0.3257,0.1197,0.5581
49,Dilithium2,0.2528,0.2620,0.1140,0.6288
50,Dilithium2,0.1082,0.2176,0.1238,0.4496
51,Dilithium2,0.1084,0.1826,0.1449,0.4359
52,Dilithium2,0.1060,1.4623,0.1143,1.6826
53,Dilithium2,0.3037,0.8520,0.1377,1.2934
54,Dilithium2,0.1086,1.2217,0.1165,1.4468
55,Dilithium2,0.1074,0.2660,0.1242,0.4976
56,Dilithium2,0.1058,0.7568,0.1274,0.9900
57,Dilithium2,0.1059,0.2553,0.1128,0.4740
58,Dilithium2,0.1046,0.2629,0.1230,0.4905
59,Dilithium2,0.1058,0.1808,0.1151,0.4017
60,Dilithium2,0.1064,0.7923,0.1150,1.0137
61,Dilithium2,0.1098,0.2904,0.1154,0.5156
62,Dilithium2,0.1182,0.9692,0.1118,1.1992
63,Dilithium2,0.1083,0.3368,0.1169,0.5620
64,Dilithium2,0.1039,0.3262,0.1099,0.5400
65,Dilithium2,0.1024,0.3522,0.2494,0.7040
66,Dilithium2,0.1074,0.3915,0.1171,0.6160
67,Dilithium2,0.1058,0.6471,0.1137,0.8666
68,Dilithium2,0.1120,0.4253,0.1129,0.6502
69,Dilithium2,0.1107,0.1857,0.1146,0.4110
70,Dilithium2,0.1045,0.1808,0.2471,0.5324
71,Dilithium2,0.1069,0.7939,0.1159,1.0167
72,Dilithium2,0.1044,0.1845,0.1121,0.4010
73,Dilithium2,0.1025,0.2488,0.1201,0.4714
74,Dilithium2,0.1082,0.1831,0.1145,0.4058
75,Dilithium2,0.1034,1.1382,0.1162,1.3578
76,Dilithium2,0.1034,0.4748,0.1109,0.6891
77,Dilithium2,0.1085,0.5684,0.1152,0.7921
78,Dilithium2,0.1052,0.1785,0.1109,0.3946
79,Dilithium2,0.1043,0.1866,0.1448,0.4357
80,Dilithium2,0.2651,0.1858,0.1161,0.5670
81,Dilithium2,0.1116,0.3464,0.1173,0.5753
82,Dilithium2,0.1062,0.8706,0.1139,1.0907
83,Dilithium2,0.1055,0.3247,0.1173,0.5475
84,Dilithium2,0.1153,0.2651,0.2271,0.6075
85,Dilithium2,0.1081,0.1808,0.1164,0.4053
86,Dilithium2,0.1163,0.3169,0.1116,0.5448
87,Dilithium2,0.1101,0.2500,0.1122,0.4723
88,Dilithium2,0.1178,0.1845,0.1115,0.4138
89,Dilithium2,0.1053,0.4188,0.1201,0.6442
90,Dilithium2,0.1040,0.8956,0.1123,1.1119
91,Dilithium2,0.1089,0.2477,0.1148,0.4714
92,Dilithium2,0.1093,0.6372,0.1101,0.8566
93,Dilithium2,0.1090,0.8411,0.1132,1.0633
94,Dilithium2,0.2018,0.1840,0.1203,0.5061
95,Dilithium2,0.1052,0.4014,0.1110,0.6176
96,Dilithium2,0.1033,0.1890,0.1149,0.4072
