Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,shake-192s-robust,471.4356,4617.1141,3.4101,5091.9598
2,shake-192s-robust,470.3784,4631.4314,3.4383,5105.2481
3,shake-192s-robust,472.1817,4620.8238,3.5701,5096.5756
4,shake-192s-robust,471.2786,4624.7104,3.5321,5099.5211
5,shake-192s-robust,471.9964,4627.1094,3.6407,5102.7465
6,shake-192s-robust,472.9775,4616.7207,3.4943,5093.1925
7,shake-192s-robust,471.9907,4625.0932,3.4592,5100.5431
8,shake-192s-robust,472.2524,4609.3969,3.6049,5085.2542
9,shake-192s-robust,470.6981,4617.1256,3.3253,5091.1490
10,shake-192s-robust,471.0383,4607.8681,3.6469,5082.5533
11,shake-192s-robust,470.7852,4609.7014,3.4960,5083.9826
12,shake-192s-robust,470.4856,4607.4061,3.7709,5081.6626
13,shake-192s-robust,471.2474,4609.8468,3.6052,5084.6994
14,shake-192s-robust,470.1523,4627.5614,3.6145,5101.3282
15,shake-192s-robust,472.2065,4618.3138,3.6675,5094.1878
16,shake-192s-robust,471.0185,4623.0529,3.5127,5097.5841
17,shake-192s-robust,471.9160,4627.1917,3.4946,5102.6023
18,shake-192s-robust,471.7680,4629.0885,3.4178,5104.2743
19,shake-192s-robust,471.2690,4620.0691,3.6052,5094.9433
20,shake-192s-robust,472.5524,4619.5046,3.5331,5095.5901
21,shake-192s-robust,472.2819,4631.3042,3.3889,5106.9750
22,shake-192s-robust,471.9968,4629.3608,3.6949,5105.0525
23,shake-192s-robust,472.0371,4631.7129,3.6823,5107.4323
24,shake-192s-robust,471.6125,4629.7175,3.5157,5104.8457
25,shake-192s-robust,472.3452,4630.0411,3.6119,5105.9982
26,shake-192s-robust,473.3140,4626.9984,3.6595,5103.9719
27,shake-192s-robust,471.7379,4630.5505,3.5554,5105.8438
28,shake-192s-robust,471.9005,4618.4060,3.5969,5093.9034
29,shake-192s-robust,473.1671,4629.3705,3.4276,5105.9652
30,shake-192s-robust,472.1680,4620.8854,3.4459,5096.4993
31,shake-192s-robust,471.8538,4632.7196,3.4998,5108.0732
32,shake-192s-robust,472.2227,4628.5576,3.4710,5104.2513
33,shake-192s-robust,471.5440,4618.4364,3.5069,5093.4873
34,shake-192s-robust,471.1837,4615.8174,3.6070,5090.6081
35,shake-192s-robust,470.4286,4626.5899,3.5000,5100.5185
36,shake-192s-robust,471.4515,4609.5743,3.6046,5084.6304
37,shake-192s-robust,470.7724,4626.6337,3.4507,5100.8568
38,shake-192s-robust,472.0921,4617.1825,3.4696,5092.7442
39,shake-192s-robust,471.9687,4624.2999,3.6737,5099.9423
40,shake-192s-robust,472.8943,4636.8577,3.5399,5113.2919
41,shake-192s-robust,473.6919,4631.6412,3.4262,5108.7593
42,shake-192s-robust,472.4991,4618.9074,3.7513,5095.1578
43,shake-192s-robust,471.4364,4618.8138,3.6903,5093.9405
44,shake-192s-robust,470.7024,4622.7791,3.5403,5097.0218
45,shake-192s-robust,470.9427,4624.9587,3.6051,5099.5065
46,shake-192s-robust,471.8746,4614.5420,3.2296,5089.6462
47,shake-192s-robust,470.9528,4613.5347,3.4195,5087.9070
48,shake-192s-robust,470.8350,4609.6446,3.3938,5083.8734
49,shake-192s-robust,471.3424,4608.8982,3.7588,5083.9994
50,shake-192s-robust,470.5998,4628.7115,3.7832,5103.0945
51,shake-192s-robust,470.9081,4641.3797,3.5490,5115.8368
52,shake-192s-robust,472.6787,4625.1161,3.5886,5101.3834
53,shake-192s-robust,470.4306,4614.3034,3.5904,5088.3244
54,shake-192s-robust,470.9541,4611.1402,3.4525,5085.5468
55,shake-192s-robust,472.0734,4632.2995,3.5466,5107.9195
56,shake-192s-robust,472.9060,4614.9720,3.8149,5091.6929
57,shake-192s-robust,472.7405,4618.5259,3.4865,5094.7529
58,shake-192s-robust,471.0618,4609.8207,3.5575,5084.4400
59,shake-192s-robust,470.5095,4617.4284,3.5950,5091.5329
60,shake-192s-robust,472.7060,4628.9421,3.4209,5105.0690
61,shake-192s-robust,470.3937,4624.6040,3.5011,5098.4988
62,shake-192s-robust,473.2364,4628.2898,3.6702,5105.1964
63,shake-192s-robust,472.0533,4638.3831,3.6753,5114.1117
64,shake-192s-robust,472.6697,4636.2114,3.5648,5112.4459
65,shake-192s-robust,474.8836,4634.4276,3.3837,5112.6949
