Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
90,shake-256f-robust,19.6498,408.5397,10.8959,439.0854
91,shake-256f-robust,19.7007,408.8611,10.8036,439.3654
92,shake-256f-robust,19.5083,407.6903,10.6205,437.8191
93,shake-256f-robust,19.6079,407.4491,10.4010,437.4580
94,shake-256f-robust,19.6940,407.9626,10.6628,438.3194
95,shake-256f-robust,19.5927,407.3513,10.8104,437.7544
96,shake-256f-robust,19.6037,409.1186,10.6738,439.3961
97,shake-256f-robust,19.7048,408.1520,10.6089,438.4657
98,shake-256f-robust,19.6685,408.1164,10.6638,438.4487
99,shake-256f-robust,19.6403,408.0485,10.2635,437.9523
100,shake-256f-robust,19.6753,408.1223,10.5326,438.3302
