Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-128f-robust,4.7322,108.2880,6.2547,119.2749
2,sha2-128f-robust,4.3765,105.6656,6.1541,116.1962
3,sha2-128f-robust,4.4185,105.2051,6.1979,115.8215
4,sha2-128f-robust,4.3083,106.0954,6.0384,116.4421
5,sha2-128f-robust,4.3313,105.5414,6.4050,116.2777
6,sha2-128f-robust,4.2832,105.8268,6.2841,116.3941
7,sha2-128f-robust,4.3964,105.7704,6.6763,116.8431
8,sha2-128f-robust,4.3306,105.9591,6.2015,116.4912
9,sha2-128f-robust,4.3814,105.9489,6.3324,116.6627
10,sha2-128f-robust,4.3444,105.1912,6.4751,116.0107
11,sha2-128f-robust,4.2329,105.4669,6.3274,116.0272
12,sha2-128f-robust,4.3143,105.5996,6.2547,116.1686
13,sha2-128f-robust,4.2912,105.8253,6.1917,116.3082
14,sha2-128f-robust,4.3816,105.7538,6.1761,116.3115
15,sha2-128f-robust,4.3715,105.5243,6.3187,116.2145
16,sha2-128f-robust,4.2763,106.0127,6.2227,116.5117
17,sha2-128f-robust,4.3519,105.9057,6.3435,116.6011
18,sha2-128f-robust,4.3046,106.6659,5.9916,116.9621
19,sha2-128f-robust,4.3831,105.1125,6.3976,115.8932
20,sha2-128f-robust,4.3719,105.6895,6.4846,116.5460
21,sha2-128f-robust,4.3012,106.0697,6.4709,116.8418
22,sha2-128f-robust,4.3772,105.8913,6.4936,116.7621
23,sha2-128f-robust,4.3594,105.7731,6.3044,116.4369
24,sha2-128f-robust,4.3760,105.3495,6.4833,116.2088
25,sha2-128f-robust,4.4114,106.0931,6.1548,116.6593
26,sha2-128f-robust,4.2666,106.3222,6.1498,116.7386
27,sha2-128f-robust,4.4713,105.8252,6.2786,116.5751
28,sha2-128f-robust,4.3215,106.0015,6.4701,116.7931
29,sha2-128f-robust,4.3345,105.7494,6.2531,116.3370
30,sha2-128f-robust,4.3465,105.8187,6.5359,116.7011
31,sha2-128f-robust,4.2812,105.7896,6.3516,116.4224
32,sha2-128f-robust,4.4191,105.6033,6.3595,116.3819
33,sha2-128f-robust,4.3516,105.7654,6.3066,116.4236
34,sha2-128f-robust,4.4397,106.2778,6.2593,116.9768
35,sha2-128f-robust,4.3614,105.8477,6.2229,116.4320
36,sha2-128f-robust,4.2773,105.7618,6.0947,116.1338
37,sha2-128f-robust,4.3699,106.2139,6.5621,117.1459
38,sha2-128f-robust,4.2643,105.9222,6.2771,116.4636
39,sha2-128f-robust,4.4291,105.7365,6.4128,116.5784
40,sha2-128f-robust,4.4683,106.0546,6.3802,116.9031
41,sha2-128f-robust,4.2771,105.3097,6.0609,115.6477
42,sha2-128f-robust,4.4109,105.9821,6.4265,116.8195
43,sha2-128f-robust,4.2824,106.2168,6.1216,116.6208
44,sha2-128f-robust,4.3487,105.4493,6.3325,116.1305
45,sha2-128f-robust,4.3353,105.9389,6.3463,116.6205
46,sha2-128f-robust,4.3161,105.5276,6.1716,116.0153
47,sha2-128f-robust,4.4059,105.6611,6.1805,116.2475
48,sha2-128f-robust,4.2549,105.8012,6.5341,116.5902
49,sha2-128f-robust,4.3712,105.7971,6.1754,116.3437
50,sha2-128f-robust,4.3416,105.7031,6.4738,116.5185
51,sha2-128f-robust,4.3230,105.8341,6.1629,116.3200
52,sha2-128f-robust,4.3674,106.2156,6.5206,117.1036
53,sha2-128f-robust,4.3334,105.8864,6.3551,116.5749
54,sha2-128f-robust,4.3533,105.8548,5.7958,116.0039
55,sha2-128f-robust,4.2735,105.8348,6.2697,116.3780
56,sha2-128f-robust,4.3835,106.0391,6.1252,116.5478
57,sha2-128f-robust,4.3615,105.8176,6.1879,116.3670
58,sha2-128f-robust,4.3732,106.0458,6.4260,116.8450
59,sha2-128f-robust,4.4202,106.4413,6.4366,117.2981
60,sha2-128f-robust,4.2743,105.7343,6.0783,116.0869
61,sha2-128f-robust,4.3423,105.9634,6.1048,116.4105
62,sha2-128f-robust,4.2814,105.8855,6.2320,116.3989
63,sha2-128f-robust,4.3704,105.8749,6.2630,116.5083
64,sha2-128f-robust,4.3481,105.7434,6.5239,116.6154
65,sha2-128f-robust,4.3064,105.7518,6.5820,116.6402
66,sha2-128f-robust,4.4085,106.1365,6.3809,116.9259
67,sha2-128f-robust,4.3294,105.6072,6.1771,116.1137
68,sha2-128f-robust,4.4270,105.4116,6.1487,115.9873
69,sha2-128f-robust,4.3254,105.7932,6.4239,116.5425
70,sha2-128f-robust,4.2735,105.7880,6.3344,116.3959
71,sha2-128f-robust,4.3043,105.1991,6.1381,115.6415
72,sha2-128f-robust,4.3067,105.5265,6.1419,115.9751
73,sha2-128f-robust,4.3408,105.5069,6.2892,116.1369
74,sha2-128f-robust,4.3341,105.3854,6.2561,115.9756
75,sha2-128f-robust,4.3502,105.5709,6.2098,116.1309
76,sha2-128f-robust,4.3374,105.7388,6.3105,116.3867
77,sha2-128f-robust,4.2829,105.4076,6.0103,115.7008
78,sha2-128f-robust,4.3384,105.8952,6.3567,116.5903
79,sha2-128f-robust,4.5520,105.8189,6.4980,116.8689
80,sha2-128f-robust,4.3344,105.8641,5.9966,116.1951
81,sha2-128f-robust,4.3342,105.6667,5.9591,115.9600
82,sha2-128f-robust,4.4200,105.5898,6.3241,116.3339
