Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-192s-robust,428.3929,4032.3177,3.2071,4463.9177
2,sha2-192s-robust,408.9377,3992.0255,3.2009,4404.1641
3,sha2-192s-robust,408.0727,4008.7953,3.6468,4420.5148
4,sha2-192s-robust,407.1606,3996.6368,3.2368,4407.0342
5,sha2-192s-robust,405.2655,4020.7052,3.2051,4429.1758
6,sha2-192s-robust,407.8474,4007.4027,3.4901,4418.7402
7,sha2-192s-robust,406.0917,4020.5169,3.4336,4430.0422
8,sha2-192s-robust,406.6760,4005.2279,3.1151,4415.0190
9,sha2-192s-robust,405.5068,4006.1051,3.1283,4414.7402
10,sha2-192s-robust,406.4592,3997.8657,3.3428,4407.6677
11,sha2-192s-robust,404.1147,3969.6871,3.2956,4377.0974
12,sha2-192s-robust,405.3443,4005.1125,3.1362,4413.5930
13,sha2-192s-robust,403.6788,3977.5789,3.1140,4384.3717
14,sha2-192s-robust,405.2866,4004.3516,3.2594,4412.8976
15,sha2-192s-robust,406.8793,3998.1385,3.1935,4408.2113
16,sha2-192s-robust,405.6030,4016.4794,3.2923,4425.3747
17,sha2-192s-robust,405.6394,4006.3979,3.3954,4415.4327
18,sha2-192s-robust,406.6988,4013.9357,3.1186,4423.7531
19,sha2-192s-robust,407.0076,4003.2567,3.1381,4413.4024
20,sha2-192s-robust,411.2926,3990.4926,3.7016,4405.4868
21,sha2-192s-robust,404.7653,4011.0459,3.0102,4418.8214
22,sha2-192s-robust,406.5154,3995.6337,3.1339,4405.2830
23,sha2-192s-robust,407.4602,4027.1047,3.0226,4437.5875
24,sha2-192s-robust,406.7787,4014.6797,3.2890,4424.7474
25,sha2-192s-robust,408.7038,4011.9912,3.1796,4423.8746
26,sha2-192s-robust,405.9281,3996.5306,3.2808,4405.7395
27,sha2-192s-robust,406.0933,4020.7235,3.2134,4430.0302
28,sha2-192s-robust,412.0456,4015.2851,3.2590,4430.5897
29,sha2-192s-robust,405.4963,3980.9370,3.1019,4389.5352
30,sha2-192s-robust,405.4115,4005.6679,3.2832,4414.3626
31,sha2-192s-robust,406.5323,3988.7213,3.4424,4398.6960
32,sha2-192s-robust,405.2277,4009.2883,3.2231,4417.7391
33,sha2-192s-robust,406.7221,4001.4455,3.1843,4411.3519
34,sha2-192s-robust,406.1211,4007.1535,3.3693,4416.6439
35,sha2-192s-robust,407.5538,4008.7975,3.1676,4419.5189
36,sha2-192s-robust,406.7316,3979.1713,3.2123,4389.1152
37,sha2-192s-robust,406.0313,4001.7783,3.2383,4411.0479
38,sha2-192s-robust,406.2838,3973.2329,3.1087,4382.6254
39,sha2-192s-robust,404.6982,3993.0843,3.2484,4401.0309
40,sha2-192s-robust,406.3634,3990.6306,3.2276,4400.2216
41,sha2-192s-robust,403.5195,3993.8206,3.1958,4400.5359
42,sha2-192s-robust,405.0960,3991.9049,3.1766,4400.1775
43,sha2-192s-robust,403.9640,3987.6748,3.0880,4394.7268
44,sha2-192s-robust,404.4534,3986.9527,3.2091,4394.6152
45,sha2-192s-robust,405.2878,3971.7194,3.1676,4380.1748
46,sha2-192s-robust,405.5640,3999.0450,3.2493,4407.8583
47,sha2-192s-robust,406.6712,3975.5241,3.1462,4385.3415
48,sha2-192s-robust,404.0011,3992.0837,3.2127,4399.2975
49,sha2-192s-robust,404.7328,3976.0568,3.2373,4384.0269
50,sha2-192s-robust,404.0543,3977.7284,3.1244,4384.9071
51,sha2-192s-robust,403.5617,3986.6251,3.2638,4393.4506
52,sha2-192s-robust,404.4454,3965.4846,3.1986,4373.1286
53,sha2-192s-robust,405.7823,3996.8349,3.0978,4405.7150
54,sha2-192s-robust,405.7015,3969.4546,3.2751,4378.4312
55,sha2-192s-robust,404.5443,4003.0527,3.1612,4410.7582
56,sha2-192s-robust,402.3636,3963.2669,3.2278,4368.8583
57,sha2-192s-robust,404.6747,3996.6342,3.1874,4404.4963
58,sha2-192s-robust,406.4776,4009.7978,3.0670,4419.3424
59,sha2-192s-robust,405.0418,3982.7670,3.1251,4390.9339
60,sha2-192s-robust,404.0162,3997.5328,3.2010,4404.7500
61,sha2-192s-robust,407.0240,3967.2961,3.1842,4377.5043
62,sha2-192s-robust,405.0980,4005.7642,3.1558,4414.0180
63,sha2-192s-robust,405.6524,3990.1328,3.6921,4399.4773
64,sha2-192s-robust,408.4481,4012.9437,3.1704,4424.5622
65,sha2-192s-robust,406.8443,3995.3822,3.2259,4405.4524
66,sha2-192s-robust,404.3344,3998.3244,3.2670,4405.9258
67,sha2-192s-robust,405.2667,4007.4637,3.2511,4415.9815
68,sha2-192s-robust,405.4073,4017.0617,3.3543,4425.8233
69,sha2-192s-robust,406.1671,4001.1576,3.1381,4410.4628
70,sha2-192s-robust,406.5093,3976.1449,3.2596,4385.9138
71,sha2-192s-robust,407.3089,3986.5291,3.2748,4397.1128
72,sha2-192s-robust,404.1072,3983.0596,3.0828,4390.2496
