Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,shake-128f-robust,5.2343,121.2697,7.1541,133.6581
2,shake-128f-robust,4.9713,120.7082,6.9525,132.6320
3,shake-128f-robust,4.9970,120.7513,6.8056,132.5539
4,shake-128f-robust,4.9503,120.7067,6.9665,132.6235
5,shake-128f-robust,4.9535,122.0288,8.0472,135.0295
6,shake-128f-robust,5.0202,124.6069,7.0765,136.7036
7,shake-128f-robust,5.1349,121.0227,7.0977,133.2553
8,shake-128f-robust,4.9764,120.8449,6.5534,132.3747
9,shake-128f-robust,4.9733,122.0042,7.2909,134.2684
10,shake-128f-robust,4.9801,122.9650,7.2466,135.1917
11,shake-128f-robust,4.9807,122.5766,7.1497,134.7070
12,shake-128f-robust,5.1851,122.7619,6.8849,134.8319
13,shake-128f-robust,5.1038,122.3886,6.9281,134.4205
14,shake-128f-robust,4.9881,120.9481,7.0324,132.9686
15,shake-128f-robust,4.9763,120.8040,6.8938,132.6741
16,shake-128f-robust,5.0882,120.7917,6.9610,132.8409
17,shake-128f-robust,4.9584,122.0667,6.7682,133.7933
18,shake-128f-robust,4.9577,120.7858,7.1805,132.9240
19,shake-128f-robust,4.9673,120.4884,7.4826,132.9383
20,shake-128f-robust,4.9686,120.3891,6.9704,132.3281
21,shake-128f-robust,5.0777,120.7255,7.0452,132.8484
22,shake-128f-robust,4.9855,121.0719,7.0121,133.0695
23,shake-128f-robust,4.9688,120.6382,6.8954,132.5024
24,shake-128f-robust,4.9802,120.4082,6.8687,132.2571
25,shake-128f-robust,5.0560,121.0071,7.0232,133.0863
26,shake-128f-robust,4.9421,120.4786,6.6029,132.0236
27,shake-128f-robust,4.9862,120.7406,7.2055,132.9323
28,shake-128f-robust,4.9574,120.3044,7.1058,132.3676
29,shake-128f-robust,4.9753,120.4119,6.9209,132.3081
30,shake-128f-robust,5.0427,120.8508,7.1440,133.0375
31,shake-128f-robust,4.9576,120.4550,6.9297,132.3423
32,shake-128f-robust,4.9585,120.1597,7.1714,132.2896
33,shake-128f-robust,4.9839,120.6280,7.4137,133.0256
34,shake-128f-robust,4.9593,120.3598,7.2523,132.5714
35,shake-128f-robust,5.0675,120.4358,6.8739,132.3772
36,shake-128f-robust,4.9538,120.5364,6.9056,132.3958
37,shake-128f-robust,4.9583,120.3366,7.0850,132.3799
38,shake-128f-robust,4.9656,121.2113,7.1310,133.3079
39,shake-128f-robust,5.1112,121.0318,7.0687,133.2117
40,shake-128f-robust,4.9750,120.2459,7.2707,132.4916
41,shake-128f-robust,4.9615,120.5374,7.0749,132.5738
42,shake-128f-robust,4.9743,121.2258,7.0054,133.2055
43,shake-128f-robust,4.9599,120.3930,6.9367,132.2896
44,shake-128f-robust,5.1163,122.5163,7.0598,134.6924
45,shake-128f-robust,4.9625,121.0626,6.8388,132.8639
46,shake-128f-robust,4.9723,120.4757,7.2808,132.7288
47,shake-128f-robust,4.9914,120.4793,6.7667,132.2374
48,shake-128f-robust,4.9659,120.5239,7.0497,132.5395
49,shake-128f-robust,4.9554,120.5618,6.8334,132.3506
50,shake-128f-robust,4.9833,120.5532,6.9593,132.4958
51,shake-128f-robust,4.9602,120.3299,6.9849,132.2750
52,shake-128f-robust,4.9640,120.6052,6.9223,132.4915
53,shake-128f-robust,5.1842,120.3090,6.8708,132.3640
54,shake-128f-robust,4.9483,120.5036,6.9260,132.3779
55,shake-128f-robust,4.9598,120.3586,7.2547,132.5731
56,shake-128f-robust,4.9669,120.2022,7.1395,132.3086
57,shake-128f-robust,4.9486,120.3755,6.9486,132.2727
58,shake-128f-robust,5.1069,122.0561,6.9902,134.1532
59,shake-128f-robust,4.9538,125.6696,6.9823,137.6057
60,shake-128f-robust,4.9584,120.4478,7.2375,132.6437
61,shake-128f-robust,4.9612,120.2496,6.9215,132.1323
62,shake-128f-robust,5.0592,120.4069,9.1329,134.5990
63,shake-128f-robust,4.9613,120.4366,7.2421,132.6400
64,shake-128f-robust,4.9630,120.4781,7.0450,132.4861
65,shake-128f-robust,4.9639,120.3721,7.4444,132.7804
66,shake-128f-robust,4.9871,120.4948,7.0463,132.5282
67,shake-128f-robust,5.0816,120.4983,6.8968,132.4767
68,shake-128f-robust,5.0151,122.7295,6.9718,134.7164
69,shake-128f-robust,4.9569,120.5246,6.8364,132.3179
70,shake-128f-robust,4.9631,120.6348,6.7918,132.3897
71,shake-128f-robust,4.9655,120.8900,6.9318,132.7873
72,shake-128f-robust,4.9601,120.4419,7.1359,132.5379
73,shake-128f-robust,4.9739,120.8085,6.9160,132.6984
74,shake-128f-robust,4.9655,120.7709,7.0580,132.7944
75,shake-128f-robust,4.9652,120.7980,7.1305,132.8937
76,shake-128f-robust,5.1005,120.5974,7.2078,132.9057
77,shake-128f-robust,5.0037,121.1371,6.7377,132.8785
78,shake-128f-robust,4.9782,120.4931,6.6717,132.1430
79,shake-128f-robust,4.9710,120.7196,6.8982,132.5888
80,shake-128f-robust,4.9623,120.4912,7.0479,132.5014
81,shake-128f-robust,5.1033,120.6187,6.7698,132.4918
82,shake-128f-robust,4.9630,120.6780,6.8516,132.4926
83,shake-128f-robust,4.9649,120.5631,6.9249,132.4529
84,shake-128f-robust,4.9774,120.5228,6.6859,132.1861
85,shake-128f-robust,5.0909,120.6098,7.0141,132.7148
86,shake-128f-robust,4.9579,120.7048,6.6256,132.2883
87,shake-128f-robust,4.9795,120.4473,7.4542,132.8810
88,shake-128f-robust,4.9767,120.5947,7.3103,132.8817
89,shake-128f-robust,4.9694,120.7100,7.1184,132.7978
90,shake-128f-robust,5.1220,120.5303,7.1845,132.8368
91,shake-128f-robust,4.9851,120.7516,6.8895,132.6262
92,shake-128f-robust,4.9721,120.8853,7.1761,133.0335
93,shake-128f-robust,4.9777,120.6756,7.2963,132.9496
94,shake-128f-robust,4.9762,120.7096,7.4953,133.1811
95,shake-128f-robust,4.9632,120.6068,6.9173,132.4873
96,shake-128f-robust,4.9723,120.6347,7.0750,132.6820
97,shake-128f-robust,4.9744,120.5850,7.1348,132.6942
98,shake-128f-robust,4.9640,120.6757,6.7726,132.4123
99,shake-128f-robust,5.1062,120.8283,6.9531,132.8876
100,shake-128f-robust,4.9647,120.7908,6.9785,132.7340
