Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,shake-256s-robust,317.2719,3937.8699,5.4115,4260.5533
2,shake-256s-robust,313.8889,3935.1337,5.3100,4254.3326
3,shake-256s-robust,313.9488,3928.9268,5.1419,4248.0175
4,shake-256s-robust,316.0675,3936.7509,5.2929,4258.1113
5,shake-256s-robust,313.7707,3926.0860,5.4819,4245.3386
6,shake-256s-robust,313.4764,3926.1912,5.3152,4244.9828
7,shake-256s-robust,313.4093,3928.4052,5.1999,4247.0144
8,shake-256s-robust,313.2517,3945.3350,5.2183,4263.8050
9,shake-256s-robust,313.5050,3937.9062,5.4152,4256.8264
10,shake-256s-robust,313.9807,3933.2679,5.0535,4252.3021
11,shake-256s-robust,317.3092,3921.5703,5.1823,4244.0618
12,shake-256s-robust,312.8878,3938.5307,5.1834,4256.6019
13,shake-256s-robust,313.3506,3932.6000,5.4922,4251.4428
14,shake-256s-robust,314.1167,3946.4041,5.3627,4265.8835
15,shake-256s-robust,314.7967,3921.1328,5.0715,4241.0010
16,shake-256s-robust,313.2695,3958.4079,5.1423,4276.8197
17,shake-256s-robust,319.3658,3961.2240,5.1733,4285.7631
18,shake-256s-robust,313.4822,3926.3216,5.2746,4245.0784
19,shake-256s-robust,313.6213,3932.6957,5.2291,4251.5461
20,shake-256s-robust,316.9248,3940.9732,5.2365,4263.1345
21,shake-256s-robust,314.5502,3950.7110,5.9711,4271.2323
22,shake-256s-robust,314.4391,3936.1114,5.5804,4256.1309
23,shake-256s-robust,314.1031,3936.4950,5.2614,4255.8595
24,shake-256s-robust,314.1162,3933.8230,5.2056,4253.1448
25,shake-256s-robust,314.5560,3932.5824,5.2438,4252.3822
26,shake-256s-robust,314.2565,3938.7166,5.2074,4258.1805
27,shake-256s-robust,314.6288,3934.7588,5.3327,4254.7203
28,shake-256s-robust,314.2821,3942.4237,5.1901,4261.8959
29,shake-256s-robust,313.8233,3937.6422,5.1029,4256.5684
30,shake-256s-robust,313.6458,3937.2061,5.4374,4256.2893
31,shake-256s-robust,314.0497,3932.8758,5.4707,4252.3962
32,shake-256s-robust,314.5908,3935.2070,5.0929,4254.8907
33,shake-256s-robust,313.6370,3934.8585,5.3373,4253.8328
34,shake-256s-robust,313.9884,3939.2816,5.1779,4258.4479
35,shake-256s-robust,314.1378,3934.7064,5.2315,4254.0757
36,shake-256s-robust,316.3587,3929.2319,5.4837,4251.0743
37,shake-256s-robust,313.7005,3929.8900,5.0435,4248.6340
38,shake-256s-robust,312.9711,3933.2148,5.0701,4251.2560
39,shake-256s-robust,314.2854,3943.1773,5.2363,4262.6990
40,shake-256s-robust,314.2688,3941.7569,5.2166,4261.2423
41,shake-256s-robust,314.3892,3935.7181,5.0623,4255.1696
