Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-192f-robust,7.1786,173.5379,9.1798,189.8963
2,sha2-192f-robust,6.3883,171.8662,9.2720,187.5265
3,sha2-192f-robust,6.4200,171.0317,9.0353,186.4870
4,sha2-192f-robust,6.3828,170.5805,9.3768,186.3401
5,sha2-192f-robust,6.3048,170.8746,9.2821,186.4615
6,sha2-192f-robust,6.4646,171.0968,9.4912,187.0526
7,sha2-192f-robust,6.4689,170.9107,9.3034,186.6830
8,sha2-192f-robust,6.3129,171.6693,9.1165,187.0987
9,sha2-192f-robust,6.3692,171.3832,9.2922,187.0446
10,sha2-192f-robust,6.4716,170.9584,9.2759,186.7059
11,sha2-192f-robust,6.4010,172.5775,9.3755,188.3540
12,sha2-192f-robust,6.3182,171.2367,9.3378,186.8927
13,sha2-192f-robust,6.3527,171.6273,9.4323,187.4123
14,sha2-192f-robust,6.5889,170.7080,9.0569,186.3538
15,sha2-192f-robust,6.3822,170.2253,9.1968,185.8043
16,sha2-192f-robust,6.4375,170.1643,9.2600,185.8618
17,sha2-192f-robust,6.3243,170.5034,9.4827,186.3104
18,sha2-192f-robust,6.4223,170.8841,9.1944,186.5008
19,sha2-192f-robust,6.4214,170.9612,9.4039,186.7865
20,sha2-192f-robust,6.3592,170.4703,9.1469,185.9764
21,sha2-192f-robust,6.3897,171.1241,9.3926,186.9064
22,sha2-192f-robust,6.4478,170.6631,9.7963,186.9072
23,sha2-192f-robust,6.5019,169.8950,9.2481,185.6450
24,sha2-192f-robust,6.3883,170.6413,9.3914,186.4210
25,sha2-192f-robust,6.3112,170.5123,9.0965,185.9200
26,sha2-192f-robust,6.3490,170.7718,9.6212,186.7420
27,sha2-192f-robust,6.3934,170.4752,9.2530,186.1216
28,sha2-192f-robust,6.5171,171.1126,9.1930,186.8227
29,sha2-192f-robust,6.3933,170.4737,9.2149,186.0819
30,sha2-192f-robust,6.3655,170.6855,9.1154,186.1664
31,sha2-192f-robust,6.5765,170.6955,9.2390,186.5110
32,sha2-192f-robust,6.3952,171.2113,9.1181,186.7246
33,sha2-192f-robust,6.3991,171.2941,9.3136,187.0068
34,sha2-192f-robust,6.3421,171.4120,8.9981,186.7522
35,sha2-192f-robust,6.3155,172.1918,9.2692,187.7765
36,sha2-192f-robust,6.4189,170.9625,9.1978,186.5792
37,sha2-192f-robust,6.4777,170.8246,9.4631,186.7654
38,sha2-192f-robust,6.3483,171.4090,9.4362,187.1935
39,sha2-192f-robust,6.3688,171.0725,9.2716,186.7129
40,sha2-192f-robust,6.4253,172.2950,9.4752,188.1955
41,sha2-192f-robust,6.4040,171.4364,9.5097,187.3501
42,sha2-192f-robust,6.3455,171.2374,9.1174,186.7003
43,sha2-192f-robust,6.4837,171.2608,9.2442,186.9887
44,sha2-192f-robust,6.4806,171.1349,9.1983,186.8138
45,sha2-192f-robust,6.4479,171.3006,9.3622,187.1107
46,sha2-192f-robust,6.4647,171.4250,9.4449,187.3346
47,sha2-192f-robust,6.4151,170.9055,9.1936,186.5142
48,sha2-192f-robust,6.4455,171.0498,9.5345,187.0298
49,sha2-192f-robust,6.3612,171.3680,9.2153,186.9445
50,sha2-192f-robust,6.3790,171.5403,9.1855,187.1048
51,sha2-192f-robust,6.5040,171.5454,9.2795,187.3289
52,sha2-192f-robust,6.4054,171.3561,9.3261,187.0876
53,sha2-192f-robust,6.3459,171.2120,9.0499,186.6078
54,sha2-192f-robust,6.3471,170.7210,9.1227,186.1908
55,sha2-192f-robust,6.4939,170.8615,9.1081,186.4635
56,sha2-192f-robust,6.5507,171.6149,9.2522,187.4178
57,sha2-192f-robust,6.5167,171.8451,9.0874,187.4492
58,sha2-192f-robust,6.3699,171.1574,9.4800,187.0073
59,sha2-192f-robust,6.5340,170.4563,9.2943,186.2846
60,sha2-192f-robust,6.4817,170.7928,9.3458,186.6203
61,sha2-192f-robust,6.5388,170.1288,9.1414,185.8090
62,sha2-192f-robust,6.5888,171.6066,9.3021,187.4975
63,sha2-192f-robust,6.3368,170.8714,9.3522,186.5604
64,sha2-192f-robust,6.3652,170.4022,9.2820,186.0494
65,sha2-192f-robust,6.4278,171.0052,9.4681,186.9011
66,sha2-192f-robust,6.3416,172.2637,9.4801,188.0854
67,sha2-192f-robust,6.3631,170.7797,10.0271,187.1699
68,sha2-192f-robust,6.4264,170.5213,9.3279,186.2756
69,sha2-192f-robust,6.6375,169.9658,8.9975,185.6008
70,sha2-192f-robust,6.3195,171.6110,9.0602,186.9907
71,sha2-192f-robust,6.3251,171.0774,9.5345,186.9370
72,sha2-192f-robust,6.3666,172.0120,9.5938,187.9724
73,sha2-192f-robust,6.3621,173.2178,9.4535,189.0334
74,sha2-192f-robust,6.3674,171.4709,9.9460,187.7843
75,sha2-192f-robust,6.6620,171.3397,9.0633,187.0650
76,sha2-192f-robust,6.8383,171.5850,8.9054,187.3287
77,sha2-192f-robust,6.3800,171.8109,9.1579,187.3488
78,sha2-192f-robust,6.3698,172.6564,9.1051,188.1313
79,sha2-192f-robust,6.4137,170.3221,9.0322,185.7680
80,sha2-192f-robust,6.4782,171.1942,9.3573,187.0297
81,sha2-192f-robust,6.3923,170.7352,9.5037,186.6312
82,sha2-192f-robust,6.3237,169.9083,9.2969,185.5289
83,sha2-192f-robust,6.3603,170.5572,9.2739,186.1914
84,sha2-192f-robust,6.3761,170.4121,8.9072,185.6954
85,sha2-192f-robust,6.4738,170.1613,8.9989,185.6340
86,sha2-192f-robust,6.4252,170.5508,9.2568,186.2328
87,sha2-192f-robust,6.3586,171.7728,9.4493,187.5807
88,sha2-192f-robust,6.2971,169.7888,9.6503,185.7362
89,sha2-192f-robust,6.7219,172.1307,9.0043,187.8569
90,sha2-192f-robust,6.3926,171.1633,9.3016,186.8575
91,sha2-192f-robust,6.2999,171.2656,9.4169,186.9824
92,sha2-192f-robust,6.3551,171.3634,9.1926,186.9111
93,sha2-192f-robust,6.3854,171.7027,9.0699,187.1580
94,sha2-192f-robust,6.3718,172.2861,9.3478,188.0057
95,sha2-192f-robust,6.3383,169.9046,9.8850,186.1279
96,sha2-192f-robust,6.5468,169.7598,9.2466,185.5532
97,sha2-192f-robust,6.3604,170.5495,9.0840,185.9939
98,sha2-192f-robust,6.3968,171.0794,9.1096,186.5858
99,sha2-192f-robust,6.3201,171.6424,9.2173,187.1798
100,sha2-192f-robust,6.2889,171.3926,9.1342,186.8157
