Iteración,SPHINCS+ Version,Tiempo Generación Claves,Tiempo Firma,Tiempo Verificación,Tiempo Total
1,sha2-256s-robust,347.5051,4195.0206,5.9627,4548.4884
2,sha2-256s-robust,345.2853,4167.2897,5.7860,4518.3610
3,sha2-256s-robust,344.1973,4183.1880,5.9937,4533.3790
4,sha2-256s-robust,346.2307,4176.4947,5.9627,4528.6881
5,sha2-256s-robust,346.2440,4188.5362,5.8360,4540.6162
6,sha2-256s-robust,346.0482,4180.0407,6.0460,4532.1349
7,sha2-256s-robust,345.0450,4190.9292,6.2128,4542.1870
8,sha2-256s-robust,346.0515,4186.3550,6.0774,4538.4839
9,sha2-256s-robust,345.1752,4195.5266,6.0042,4546.7060
10,sha2-256s-robust,345.6778,4191.1567,6.1236,4542.9581
11,sha2-256s-robust,349.7022,4187.2004,5.9361,4542.8387
12,sha2-256s-robust,348.0451,4199.0128,6.0355,4553.0934
13,sha2-256s-robust,346.1822,4171.5703,6.0023,4523.7548
14,sha2-256s-robust,345.8733,4189.5387,5.9743,4541.3863
15,sha2-256s-robust,344.2848,4167.4655,6.0434,4517.7937
16,sha2-256s-robust,345.2724,4185.3302,5.7902,4536.3928
17,sha2-256s-robust,344.2982,4178.9264,6.0194,4529.2440
18,sha2-256s-robust,344.8066,4193.2477,6.2160,4544.2703
19,sha2-256s-robust,346.9928,4193.2431,5.8557,4546.0916
20,sha2-256s-robust,345.0523,4183.7133,5.7857,4534.5513
21,sha2-256s-robust,353.4474,4191.8032,5.9856,4551.2362
22,sha2-256s-robust,346.3577,4180.4298,5.8218,4532.6093
23,sha2-256s-robust,346.4738,4201.9876,5.8007,4554.2621
24,sha2-256s-robust,348.0262,4168.7040,5.8717,4522.6019
25,sha2-256s-robust,344.7287,4187.3687,5.9539,4538.0513
26,sha2-256s-robust,346.7070,4167.1321,5.8627,4519.7018
27,sha2-256s-robust,345.1601,4175.0472,5.8921,4526.0994
28,sha2-256s-robust,344.8615,4183.3433,5.7958,4534.0006
29,sha2-256s-robust,345.5573,4188.1316,5.7378,4539.4267
